GeneID	S3	S4	S19	S20	S20prime
CAGL0A00165g	46	61	93	120	133
CAGL0A00187g	267	340	754	1082	1344
CAGL0A00209g	1428	1820	1591	2130	2712
CAGL0A00231g	312	397	296	395	483
CAGL0A00253g	447	671	718	943	1219
CAGL0A00275g	589	810	484	719	930
CAGL0A00297g	159	168	379	438	587
CAGL0A00319g	149	222	239	286	379
CAGL0A00341g	26	41	611	850	1104
CAGL0A00363g	1483	1637	1598	2081	2514
CAGL0A00385g	72	101	39	49	64
CAGL0A00407g	779	929	1505	1779	2432
CAGL0A00429g	1407	1687	938	1183	1450
CAGL0A00451g	513	441	577	791	983
CAGL0A00473g	488	604	484	762	912
CAGL0A00495g	16845	23541	20440	28173	36279
CAGL0A00517g	337	430	1190	1956	2452
CAGL0A00539g	333	499	889	1075	1325
CAGL0A00561g	69	114	182	226	284
CAGL0A00583g	164	220	144	203	247
CAGL0A00605g	163	229	284	371	494
CAGL0A00627g	340	449	70	96	97
CAGL0A00649g	0	0	7	3	15
CAGL0A00737g	0	2	27	23	34
CAGL0A00781g	245	338	892	1363	1751
CAGL0A00803g	287	345	421	610	668
CAGL0A00825g	231	265	241	284	403
CAGL0A00847g	151	180	58	59	101
CAGL0A00869g	185	272	242	334	365
CAGL0A00891g	268	349	289	391	537
CAGL0A00913g	271	335	246	325	382
CAGL0A00935g	132	232	33	35	41
CAGL0A00957g	244	376	498	725	997
CAGL0A00979g	4485	5220	144	145	163
CAGL0A01001g	231	314	204	359	470
CAGL0A01023g	297	434	202	215	300
CAGL0A01045g	1109	1489	2444	4201	5455
CAGL0A01067g	824	1035	320	439	556
CAGL0A01089g	42	54	101	141	204
CAGL0A01111g	675	912	2213	3959	5369
CAGL0A01133g	234	300	689	977	1245
CAGL0A01155g	157	237	99	94	103
CAGL0A01177g	66	67	82	135	141
CAGL0A01193g	170	247	247	305	432
CAGL0A01199g	495	617	58	61	84
CAGL0A01221g	839	984	1001	1116	1492
CAGL0A01243g	630	732	25928	35954	48604
CAGL0A01284g	23	33	151	251	300
CAGL0A01325g	16	18	35	34	41
CAGL0A01366g	31	32	248	300	394
CAGL0A01408g	9	9	14	20	37
CAGL0A01430g	3364	4197	1741	2198	2919
CAGL0A01452g	234	361	207	244	292
CAGL0A01474g	567	607	980	1318	1552
CAGL0A01540g	8759	10240	130	134	115
CAGL0A01562g	16140	18298	509	563	694
CAGL0A01584g	12	5	11	3	6
CAGL0A01606g	13	14	183	312	388
CAGL0A01628g	287	405	266	434	569
CAGL0A01650g	161	181	4556	5952	7944
CAGL0A01672g	511	690	795	975	1250
CAGL0A01694g	101	160	503	634	806
CAGL0A01716g	356	467	5047	9843	12859
CAGL0A01738g	569	782	1878	2174	2714
CAGL0A01760g	192	247	507	634	846
CAGL0A01782g	6659	9769	3095	3426	4841
CAGL0A01804g	763	1146	222	549	728
CAGL0A01826g	4	5	61	50	73
CAGL0A01848g	690	945	1181	1561	1939
CAGL0A01870g	73	109	1095	1780	2217
CAGL0A01914g	678	876	538	704	841
CAGL0A01958g	457	610	127	191	230
CAGL0A01980g	170	212	434	556	680
CAGL0A02002g	13	11	1278	1786	2229
CAGL0A02024g	115	138	587	759	894
CAGL0A02046g	225	322	752	1022	1313
CAGL0A02090g	2159	2709	243	304	359
CAGL0A02112g	4406	5333	397	426	573
CAGL0A02134g	283	330	210	265	330
CAGL0A02145g	6	15	370	484	623
CAGL0A02189g	2670	3551	388	473	698
CAGL0A02211g	834	449	865	811	1139
CAGL0A02233g	171	170	339	380	530
CAGL0A02299g	87	107	30	28	38
CAGL0A02321g	774	744	767	1086	1481
CAGL0A02365g	1024	1220	1959	2600	3265
CAGL0A02387g	438	448	1021	1334	1724
CAGL0A02409g	637	861	648	952	1142
CAGL0A02431g	227	314	185	670	849
CAGL0A02475g	130	185	246	673	955
CAGL0A02486g	358	438	637	870	1023
CAGL0A02508g	317	450	407	506	659
CAGL0A02530g	894	1192	1292	1531	2186
CAGL0A02552g	670	858	386	624	754
CAGL0A02574g	1315	1628	1531	2551	3555
CAGL0A02596g	289	361	248	290	329
CAGL0A02618g	203	243	559	714	1055
CAGL0A02629g	1233	1493	2875	3975	5122
CAGL0A02651g	382	432	336	440	581
CAGL0A02673g	1101	1372	367	436	596
CAGL0A02695g	193	246	288	659	911
CAGL0A02706g	80	98	119	299	347
CAGL0A02728g	244	310	577	959	1376
CAGL0A02750g	847	1044	1722	2567	3249
CAGL0A02772g	163	207	64	74	117
CAGL0A02794g	398	464	235	277	354
CAGL0A02816g	190	226	593	904	1123
CAGL0A02838g	75	111	220	237	342
CAGL0A02860g	160	178	162	213	259
CAGL0A02882g	289	434	1028	1333	1654
CAGL0A02904g	80	127	207	312	386
CAGL0A02926g	743	1007	847	1075	1426
