# Date: The experiments conducted date
# Strain: lab strain ID
# Species: Cg - C. glabrata; Sc - S. cerevisiae
# Genotype: wt - wild type strains without any genetic manipulation
# Group: treatment type; MM - Mock treatment as the primary stress and secondary stress; MO - Mock treatment as the primary stress and H2O2 stress as the secondary stress; PM: Phosphate starvation as the primary stress and mock treatment as the secondary stress; PO: phosphate starvation as the primary stress and H2O2 as the secondarys tress,,,,,,,,,,,,
# Len_1: Primary stress treatment time
# Len_2: Secondaty stress treatment time
# H2O2: H2O2 stress concentration in mM; Mock - 0mM
# Dilutions: the final dilutions for the culture used for CFU Count
# Count: CFU count
# MO/MM: survival rate on H2O2 stress without the primary stress (calculated from the corresponding MO count)
# PO/PM: survival rate on H2O2 stress with phosphate starvation as the primary stress (calculated from the corresponding PO count)
# Experimenter: the person who did the experiments
Date,Strain,Species,Genotype,Group,Len_1,Len_2,H2O2,Dilutions,Count,MO/MM,PO/PM,Experimenter
d072922,yH001,Cg,wt,MM,45min,2hr,Mock,1000,587,1,,JL
d072922,yH001,Cg,wt,MO,45min,2hr,20mM,1000,128,0.218057922,,JL
d072922,yH001,Cg,wt,MO,45min,2hr,40mM,1000,93,0.158432709,,JL
d072922,yH001,Cg,wt,MO,45min,2hr,60mM,1000,51,0.086882453,,JL
d072922,yH001,Cg,wt,MO,45min,2hr,80mM,1000,26,0.044293015,,JL
d072922,yH001,Cg,wt,MO,45min,2hr,100mM,1000,10,0.017035775,,JL
d072922,yH001,Cg,wt,PM,45min,2hr,Mock,1000,415,,1,JL
d072922,yH001,Cg,wt,PO,45min,2hr,20mM,1000,153,,0.368674699,JL
d072922,yH001,Cg,wt,PO,45min,2hr,40mM,1000,135,,0.325301205,JL
d072922,yH001,Cg,wt,PO,45min,2hr,60mM,1000,130,,0.313253012,JL
d072922,yH001,Cg,wt,PO,45min,2hr,80mM,1000,92,,0.221686747,JL
d072922,yH001,Cg,wt,PO,45min,2hr,100mM,1000,55,,0.132530121,JL
d072922,yH154,Sc,wt,MM,45min,2hr,Mock,1000,291,1,,JL
d072922,yH154,Sc,wt,MO,45min,2hr,2mM,1000,27,0.092783505,,JL
d072922,yH154,Sc,wt,MO,45min,2hr,4mM,1000,20,0.068728522,,JL
d072922,yH154,Sc,wt,MO,45min,2hr,6mM,1000,18,0.06185567,,JL
d072922,yH154,Sc,wt,MO,45min,2hr,8mM,1000,6,0.020618557,,JL
d072922,yH154,Sc,wt,MO,45min,2hr,10mM,1000,2,0.006872852,,JL
d072922,yH154,Sc,wt,PM,45min,2hr,Mock,1000,271,,1,JL
d072922,yH154,Sc,wt,PO,45min,2hr,2mM,1000,33,,0.121771218,JL
d072922,yH154,Sc,wt,PO,45min,2hr,4mM,1000,17,,0.062730627,JL
d072922,yH154,Sc,wt,PO,45min,2hr,6mM,1000,14,,0.051660517,JL
d072922,yH154,Sc,wt,PO,45min,2hr,8mM,1000,15,,0.055350554,JL
d072922,yH154,Sc,wt,PO,45min,2hr,10mM,1000,7,,0.025830258,JL
d080122,yH001,Cg,wt,MM,45min,2hr,Mock,1000,556,1,,JL
d080122,yH001,Cg,wt,MO,45min,2hr,20mM,1000,147,0.264388489,,JL
d080122,yH001,Cg,wt,MO,45min,2hr,40mM,1000,129,0.232014389,,JL
d080122,yH001,Cg,wt,MO,45min,2hr,60mM,1000,71,0.127697842,,JL
d080122,yH001,Cg,wt,MO,45min,2hr,80mM,1000,26,0.04676259,,JL
d080122,yH001,Cg,wt,MO,45min,2hr,100mM,1000,7,0.012589928,,JL
d080122,yH001,Cg,wt,PM,45min,2hr,Mock,1000,460,,1,JL
d080122,yH001,Cg,wt,PO,45min,2hr,20mM,1000,176,,0.382608696,JL
d080122,yH001,Cg,wt,PO,45min,2hr,40mM,1000,170,,0.369565217,JL
d080122,yH001,Cg,wt,PO,45min,2hr,60mM,1000,164,,0.356521739,JL
d080122,yH001,Cg,wt,PO,45min,2hr,80mM,1000,117,,0.254347826,JL
d080122,yH001,Cg,wt,PO,45min,2hr,100mM,1000,78,,0.169565217,JL
d080122,yH154,Sc,wt,MM,45min,2hr,Mock,1000,317,1,,JL
d080122,yH154,Sc,wt,MO,45min,2hr,2mM,1000,16,0.050473186,,JL
d080122,yH154,Sc,wt,MO,45min,2hr,4mM,1000,15,0.047318612,,JL
d080122,yH154,Sc,wt,MO,45min,2hr,6mM,1000,9,0.028391167,,JL
d080122,yH154,Sc,wt,MO,45min,2hr,8mM,500,12,0.018927445,,JL
d080122,yH154,Sc,wt,MO,45min,2hr,10mM,500,2,0.003154574,,JL
d080122,yH154,Sc,wt,PM,45min,2hr,Mock,1000,321,,1,JL
d080122,yH154,Sc,wt,PO,45min,2hr,2mM,1000,14,,0.043613707,JL
d080122,yH154,Sc,wt,PO,45min,2hr,4mM,1000,15,,0.046728972,JL
d080122,yH154,Sc,wt,PO,45min,2hr,6mM,1000,17,,0.052959502,JL
d080122,yH154,Sc,wt,PO,45min,2hr,8mM,500,10,,0.015576324,JL
d080122,yH154,Sc,wt,PO,45min,2hr,10mM,500,4,,0.00623053,JL
d080222,yH001,Cg,wt,MM,45min,2hr,Mock,1000,530,1,,JL
d080222,yH001,Cg,wt,MO,45min,2hr,20mM,1000,144,0.271698113,,JL
d080222,yH001,Cg,wt,MO,45min,2hr,40mM,1000,110,0.20754717,,JL
