# Strain: yeast strain ID
# Species: Sc = S. cerevisiae; Cg = C. glabrata
# Primary, Secondary: -Pi = phosphate starvation, O = H2O2
# H2O2: concentration of hydrogen peroxided used for the secondary stress
# Dilutions: fold dilution for CFU
# Count: raw CFU
# scaled: Count * Dilutions / 1000
# r: scaled value divided by the corresponding 0 mM treated sample in each group
Date	Strain	Species	Genotype	Primary	Secondary	H2O2	Dilutions	Count	scaled	r
07/12/22	yH001	Cg	wildtype	Mock	O	100 mM	1000	3	30	0.004451038575667656
07/12/22	yH001	Cg	wildtype	-Pi	O	100 mM	1000	61	610	0.0991869918699187
07/12/22	yH002	Cg	wildtype	Mock	O	100 mM	1000	7	70	0.010542168674698794
07/12/22	yH002	Cg	wildtype	-Pi	O	100 mM	1000	48	480	0.08759124087591241
07/12/22	yH271	Cg	cta1Δ	Mock	O	2.5 mM	100	48	48	0.00897196261682243
07/12/22	yH271	Cg	cta1Δ	-Pi	O	2.5 mM	100	53	53	0.00954954954954955
07/12/22	yH272	Cg	cta1Δ	Mock	O	2.5 mM	100	80	80	0.014059753954305799
07/12/22	yH272	Cg	cta1Δ	-Pi	O	2.5 mM	100	104	104	0.019294990723562153
07/11/22	yH001	Cg	wildtype	Mock	O	100 mM	100	179	179	0.022802547770700638
07/11/22	yH001	Cg	wildtype	-Pi	O	100 mM	100	746	746	0.11184407796101949
07/11/22	yH002	Cg	wildtype	Mock	O	100 mM	100	62	62	0.011191335740072202
07/11/22	yH002	Cg	wildtype	-Pi	O	100 mM	100	813	813	0.13779661016949152
07/11/22	yH271	Cg	cta1Δ	Mock	O	2.5 mM	100	63	63	0.012701612903225806
07/11/22	yH271	Cg	cta1Δ	-Pi	O	2.5 mM	100	148	148	0.028461538461538462
07/11/22	yH272	Cg	cta1Δ	Mock	O	2.5 mM	100	74	74	0.014068441064638783
07/11/22	yH272	Cg	cta1Δ	-Pi	O	2.5 mM	100	116	116	0.019173553719008266
07/08/22	yH001	Cg	wildtype	Mock	O	100 mM	1000	15	150	0.02722323049001815
07/08/22	yH001	Cg	wildtype	-Pi	O	100 mM	1000	45	450	0.10022271714922049
07/08/22	yH002	Cg	wildtype	Mock	O	100 mM	1000	4	40	0.0091324200913242
07/08/22	yH002	Cg	wildtype	-Pi	O	100 mM	1000	31	310	0.06609808102345416
07/08/22	yH271	Cg	cta1Δ	Mock	O	2.5 mM	100	146	146	0.03133047210300429
07/08/22	yH271	Cg	cta1Δ	-Pi	O	2.5 mM	100	175	175	0.03493013972055888
07/08/22	yH272	Cg	cta1Δ	Mock	O	2.5 mM	100	114	114	0.026027397260273973
07/08/22	yH272	Cg	cta1Δ	-Pi	O	2.5 mM	100	180	180	0.043583535108958835
