# Strain: yeast strain ID
# Species: Sc = S. cerevisiae; Cg = C. glabrata
# Dilutions: fold dilution for CFU
# Count: raw CFU
# scaled: Count * Dilutions / 1000
# r: scaled value divided by the corresponding 0 mM treated sample in each group
Date	Strain	Species	H2O2	Dilutions	Count	scaled	r
04/01/22	yH154	Sc	0 mM	1000	301	301	1
04/01/22	yH154	Sc	2 mM	100	474	47.4	0.1574750830564784
04/01/22	yH154	Sc	4 mM	100	360	36	0.11960132890365449
04/01/22	yH154	Sc	6 mM	100	260	26	0.08637873754152824
04/01/22	yH154	Sc	8 mM	100	202	20.2	0.06710963455149502
04/01/22	yH154	Sc	10 mM	100	150	15	0.04983388704318937
04/01/22	yH001	Cg	0 mM	1000	521	521	1
04/01/22	yH001	Cg	20 mM	1000	114	114	0.21880998080614203
04/01/22	yH001	Cg	40 mM	1000	95	95	0.18234165067178504
04/01/22	yH001	Cg	60 mM	1000	41	41	0.07869481765834933
04/01/22	yH001	Cg	80 mM	1000	18	18	0.0345489443378119
04/01/22	yH001	Cg	100 mM	1000	7	7	0.013435700575815739
03/28/22	yH154	Sc	0 mM	1000	367	367	1
03/28/22	yH154	Sc	2 mM	100	180	18	0.04904632152588556
03/28/22	yH154	Sc	4 mM	100	76	7.6000000000000005	0.020708446866485014
03/28/22	yH154	Sc	6 mM	100	35	3.5	0.009536784741144414
03/28/22	yH154	Sc	8 mM	100	20	2	0.005449591280653951
03/28/22	yH154	Sc	10 mM	100	11	1.1	0.0029972752043596735
03/28/22	yH001	Cg	0 mM	1000	594	594	1
03/28/22	yH001	Cg	20 mM	1000	152	152	0.2558922558922559
03/28/22	yH001	Cg	40 mM	1000	71	71	0.11952861952861953
03/28/22	yH001	Cg	60 mM	1000	42	42	0.0707070707070707
03/28/22	yH001	Cg	80 mM	1000	12	12	0.020202020202020204
03/28/22	yH001	Cg	100 mM	1000	1	1	0.0016835016835016834
03/24/22	yH154	Sc	0 mM	1000	337	337	1
03/24/22	yH154	Sc	2 mM	100	378	37.800000000000004	0.11216617210682493
03/24/22	yH154	Sc	4 mM	100	324	32.4	0.09614243323442136
03/24/22	yH154	Sc	6 mM	100	290	29	0.08605341246290801
03/24/22	yH154	Sc	8 mM	100	218	21.8	0.06468842729970327
03/24/22	yH154	Sc	10 mM	100	110	11	0.032640949554896145
03/24/22	yH001	Cg	0 mM	1000	570	570	1
03/24/22	yH001	Cg	20 mM	1000	180	180	0.3157894736842105
03/24/22	yH001	Cg	40 mM	1000	138	138	0.24210526315789474
03/24/22	yH001	Cg	60 mM	1000	122	122	0.21403508771929824
03/24/22	yH001	Cg	80 mM	1000	61	61	0.10701754385964912
03/24/22	yH001	Cg	100 mM	1000	47	47	0.0824561403508772
03/22/22	yH154	Sc	0 mM	1000	338	338	1
03/22/22	yH154	Sc	2 mM	100	390	39	0.11538461538461539
03/22/22	yH154	Sc	4 mM	100	276	27.6	0.08165680473372781
03/22/22	yH154	Sc	6 mM	100	230	23	0.06804733727810651
03/22/22	yH154	Sc	8 mM	100	174	17.400000000000002	0.051479289940828406
03/22/22	yH154	Sc	10 mM	100	113	11.3	0.03343195266272189
03/22/22	yH001	Cg	0 mM	1000	667	667	1
03/22/22	yH001	Cg	20 mM	1000	162	162	0.24287856071964017
03/22/22	yH001	Cg	40 mM	1000	126	126	0.1889055472263868
03/22/22	yH001	Cg	60 mM	1000	95	95	0.1424287856071964
03/22/22	yH001	Cg	80 mM	1000	37	37	0.05547226386806597
03/22/22	yH001	Cg	100 mM	1000	23	23	0.034482758620689655
03/21/22	yH154	Sc	0 mM	1000	242	242	1
03/21/22	yH154	Sc	2 mM	100	216	21.6	0.08925619834710745
03/21/22	yH154	Sc	4 mM	100	130	13	0.05371900826446281
03/21/22	yH154	Sc	6 mM	100	75	7.5	0.030991735537190084
03/21/22	yH154	Sc	8 mM	100	43	4.3	0.017768595041322312
03/21/22	yH154	Sc	10 mM	100	9	0.9	0.00371900826446281
03/21/22	yH001	Cg	0 mM	1000	628	628	1
03/21/22	yH001	Cg	20 mM	1000	96	96	0.15286624203821655
03/21/22	yH001	Cg	40 mM	1000	70	70	0.11146496815286625
03/21/22	yH001	Cg	60 mM	1000	28	28	0.044585987261146494
03/21/22	yH001	Cg	80 mM	1000	4	4	0.006369426751592357
03/21/22	yH001	Cg	100 mM	1000	2	2	0.0031847133757961785
