Date	Species	Strain	Genotype	Primary	H2O2	Dilutions	Count	scaled	r
05/14/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	Mock	1000	333	333	1
05/14/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	20 mM	250	735	183.75	0.5518018018018018
05/14/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	40 mM	250	524	131	0.3933933933933934
05/14/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	60 mM	250	497	124.25	0.3731231231231231
05/14/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	80 mM	250	397	99.25	0.2980480480480481
05/14/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	100 mM	250	322	80.5	0.24174174174174173
05/14/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	Mock	1000	304	304	1
05/14/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	20 mM	250	659	164.75	0.5419407894736842
05/14/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	40 mM	250	626	156.5	0.5148026315789473
05/14/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	60 mM	250	448	112	0.3684210526315789
05/14/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	80 mM	250	401	100.25	0.32976973684210525
05/14/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	100 mM	250	214	53.5	0.17598684210526316
05/14/23	Cg	yH692	sch9::Sch9-WT-NAT	Mock	Mock	1000	632	632	1
05/14/23	Cg	yH692	sch9::Sch9-WT-NAT	Mock	20 mM	250	767	191.75	0.3034018987341772
05/14/23	Cg	yH692	sch9::Sch9-WT-NAT	Mock	40 mM	250	673	168.25	0.2662183544303797
05/14/23	Cg	yH692	sch9::Sch9-WT-NAT	Mock	60 mM	250	512	128	0.20253164556962025
05/14/23	Cg	yH692	sch9::Sch9-WT-NAT	Mock	80 mM	250	271	67.75	0.1071993670886076
05/14/23	Cg	yH692	sch9::Sch9-WT-NAT	Mock	100 mM	250	147	36.75	0.05814873417721519
05/14/23	Cg	yH692	sch9::Sch9-WT-NAT	-Pi	Mock	1000	410	410	1
05/14/23	Cg	yH692	sch9::Sch9-WT-NAT	-Pi	20 mM	250	633	158.25	0.38597560975609757
05/14/23	Cg	yH692	sch9::Sch9-WT-NAT	-Pi	40 mM	250	671	167.75	0.4091463414634146
05/14/23	Cg	yH692	sch9::Sch9-WT-NAT	-Pi	60 mM	250	594	148.5	0.3621951219512195
05/14/23	Cg	yH692	sch9::Sch9-WT-NAT	-Pi	80 mM	250	425	106.25	0.25914634146341464
05/14/23	Cg	yH692	sch9::Sch9-WT-NAT	-Pi	100 mM	250	395	98.75	0.24085365853658536
05/15/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	Mock	1000	357	357	1
05/15/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	20 mM	250	756	189	0.5294117647058824
05/15/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	40 mM	250	689	172.25	0.48249299719887956
05/15/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	60 mM	250	639	159.75	0.4474789915966387
05/15/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	80 mM	250	638	159.5	0.44677871148459386
05/15/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	100 mM	250	253	63.25	0.17717086834733894
05/15/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	Mock	1000	411	411	1
05/15/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	20 mM	250	862	215.5	0.524330900243309
05/15/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	40 mM	250	674	168.5	0.4099756690997567
05/15/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	60 mM	250	586	146.5	0.3564476885644769
05/15/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	80 mM	250	519	129.75	0.3156934306569343
05/15/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	100 mM	250	293	73.25	0.17822384428223845
05/15/23	Cg	yH693	sch9::Sch9-WT-NAT	Mock	Mock	1000	561	561	1
05/15/23	Cg	yH693	sch9::Sch9-WT-NAT	Mock	20 mM	250	616	154	0.27450980392156865
05/15/23	Cg	yH693	sch9::Sch9-WT-NAT	Mock	40 mM	250	542	135.5	0.2415329768270945
05/15/23	Cg	yH693	sch9::Sch9-WT-NAT	Mock	60 mM	250	409	102.25	0.18226381461675578
05/15/23	Cg	yH693	sch9::Sch9-WT-NAT	Mock	80 mM	250	288	72	0.12834224598930483
05/15/23	Cg	yH693	sch9::Sch9-WT-NAT	Mock	100 mM	250	198	49.5	0.08823529411764706
05/15/23	Cg	yH693	sch9::Sch9-WT-NAT	-Pi	Mock	1000	452	452	1
05/15/23	Cg	yH693	sch9::Sch9-WT-NAT	-Pi	20 mM	250	760	190	0.42035398230088494
05/15/23	Cg	yH693	sch9::Sch9-WT-NAT	-Pi	40 mM	250	693	173.25	0.38329646017699115
05/15/23	Cg	yH693	sch9::Sch9-WT-NAT	-Pi	60 mM	250	620	155	0.34292035398230086
05/15/23	Cg	yH693	sch9::Sch9-WT-NAT	-Pi	80 mM	250	505	126.25	0.2793141592920354
05/15/23	Cg	yH693	sch9::Sch9-WT-NAT	-Pi	100 mM	250	458	114.5	0.25331858407079644
05/16/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	Mock	1000	308	308	1
05/16/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	20 mM	250	540	135	0.4383116883116883
05/16/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	40 mM	250	456	114	0.37012987012987014
05/16/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	60 mM	250	360	90	0.2922077922077922
05/16/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	80 mM	250	258	64.5	0.20941558441558442
05/16/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	100 mM	250	142	35.5	0.11525974025974026
05/16/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	Mock	1000	470	470	1
05/16/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	20 mM	250	506	126.5	0.2691489361702128
05/16/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	40 mM	250	682	170.5	0.3627659574468085
05/16/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	60 mM	250	597	149.25	0.3175531914893617
05/16/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	80 mM	250	399	99.75	0.21223404255319148
05/16/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	100 mM	250	196	49	0.10425531914893617
05/16/23	Cg	yH694	sch9::Sch9-WT-NAT	Mock	Mock	1000	473	473	1
05/16/23	Cg	yH694	sch9::Sch9-WT-NAT	Mock	20 mM	250	353	88.25	0.18657505285412262
05/16/23	Cg	yH694	sch9::Sch9-WT-NAT	Mock	40 mM	250	102	25.5	0.05391120507399577
05/16/23	Cg	yH694	sch9::Sch9-WT-NAT	Mock	60 mM	250	83	20.75	0.04386892177589852
05/16/23	Cg	yH694	sch9::Sch9-WT-NAT	Mock	80 mM	250	57	14.25	0.030126849894291756
05/16/23	Cg	yH694	sch9::Sch9-WT-NAT	Mock	100 mM	250	20	5	0.010570824524312896
05/16/23	Cg	yH694	sch9::Sch9-WT-NAT	-Pi	Mock	1000	538	538	1
05/16/23	Cg	yH694	sch9::Sch9-WT-NAT	-Pi	20 mM	250	636	159	0.2955390334572491
05/16/23	Cg	yH694	sch9::Sch9-WT-NAT	-Pi	40 mM	250	421	105.25	0.19563197026022305
05/16/23	Cg	yH694	sch9::Sch9-WT-NAT	-Pi	60 mM	250	206	51.5	0.09572490706319703
05/16/23	Cg	yH694	sch9::Sch9-WT-NAT	-Pi	80 mM	250	115	28.75	0.05343866171003717
05/16/23	Cg	yH694	sch9::Sch9-WT-NAT	-Pi	100 mM	250	45	11.25	0.020910780669144983
