# Date: experiment date						
# Group: MM = mock primary, mock secondary; MO = mock primary, Menadione in 95% Ethanol secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, Menadione in 95% Ethanol  secondary
# Len_1: length of primary stress treatment
# Len_2: length of secondary stress treatment
# Dilutions: dilutions for CFU assay
# Count: raw counts on CFU plates
Date	Species	Strain	Genotype	Group	Len_1	Len_2	Concentration	Dilutions	Count
7/17/23	Cg	yH181	wildtype	MM	45 min	2 hr	0 uM	1000	466
7/17/23	Cg	yH181	wildtype	MO	45 min	2 hr	250 uM	1000	41
7/17/23	Cg	yH181	wildtype	MO	45 min	2 hr	300 uM	1000	25
7/17/23	Cg	yH181	wildtype	MO	45 min	2 hr	350 uM	1000	33
7/17/23	Cg	yH181	wildtype	PM	45 min	2 hr	0 uM	1000	317
7/17/23	Cg	yH181	wildtype	PO	45 min	2 hr	250 uM	1000	121
7/17/23	Cg	yH181	wildtype	PO	45 min	2 hr	300 uM	1000	90
7/17/23	Cg	yH181	wildtype	PO	45 min	2 hr	350 uM	1000	153
7/18/23	Cg	yH181	wildtype	MM	45 min	2 hr	0 uM	1000	293
7/18/23	Cg	yH181	wildtype	MO	45 min	2 hr	250 uM	1000	17
7/18/23	Cg	yH181	wildtype	MO	45 min	2 hr	300 uM	1000	5
7/18/23	Cg	yH181	wildtype	MO	45 min	2 hr	350 uM	1000	1
7/18/23	Cg	yH181	wildtype	PM	45 min	2 hr	0 uM	1000	407
7/18/23	Cg	yH181	wildtype	PO	45 min	2 hr	250 uM	1000	126
7/18/23	Cg	yH181	wildtype	PO	45 min	2 hr	300 uM	1000	97
7/18/23	Cg	yH181	wildtype	PO	45 min	2 hr	350 uM	1000	75
7/19/23	Cg	yH181	wildtype	MM	45 min	2 hr	0 uM	1000	524
7/19/23	Cg	yH181	wildtype	MO	45 min	2 hr	350 uM	100	525
7/19/23	Cg	yH181	wildtype	MO	45 min	2 hr	400 uM	100	371
7/19/23	Cg	yH181	wildtype	MO	45 min	2 hr	450 uM	100	59
7/19/23	Cg	yH181	wildtype	PM	45 min	2 hr	0 uM	1000	492
7/19/23	Cg	yH181	wildtype	PO	45 min	2 hr	350 uM	100	977
7/19/23	Cg	yH181	wildtype	PO	45 min	2 hr	400 uM	100	764
7/19/23	Cg	yH181	wildtype	PO	45 min	2 hr	450 uM	100	576
7/20/23	Cg	yH181	wildtype	MM	45 min	2 hr	0 uM	1000	422
7/20/23	Cg	yH181	wildtype	MO	45 min	2 hr	350 uM	100	278
7/20/23	Cg	yH181	wildtype	MO	45 min	2 hr	400 uM	100	172
7/20/23	Cg	yH181	wildtype	MO	45 min	2 hr	450 uM	100	149
7/20/23	Cg	yH181	wildtype	PM	45 min	2 hr	0 uM	1000	394
7/20/23	Cg	yH181	wildtype	PO	45 min	2 hr	350 uM	100	834
7/20/23	Cg	yH181	wildtype	PO	45 min	2 hr	400 uM	100	631
7/20/23	Cg	yH181	wildtype	PO	45 min	2 hr	450 uM	100	426
7/22/23	Cg	yH181	wildtype	MM	45 min	2 hr	0 uM	1000	466
7/22/23	Cg	yH181	wildtype	MO	45 min	2 hr	250 uM	1000	55
7/22/23	Cg	yH181	wildtype	MO	45 min	2 hr	300 uM	1000	11
7/22/23	Cg	yH181	wildtype	MO	45 min	2 hr	450 uM	100	4
7/22/23	Cg	yH181	wildtype	PM	45 min	2 hr	0 uM	1000	699
7/22/23	Cg	yH181	wildtype	PO	45 min	2 hr	250 uM	1000	93
7/22/23	Cg	yH181	wildtype	PO	45 min	2 hr	300 uM	1000	103
7/22/23	Cg	yH181	wildtype	PO	45 min	2 hr	450 uM	100	190
7/24/23	Cg	yH181	wildtype	MM	45 min	2 hr	0 uM	1000	437
7/24/23	Cg	yH181	wildtype	MO	45 min	2 hr	250 uM	1000	60
7/24/23	Cg	yH181	wildtype	MO	45 min	2 hr	300 uM	1000	33
7/24/23	Cg	yH181	wildtype	MO	45 min	2 hr	450 uM	100	10
7/24/23	Cg	yH181	wildtype	PM	45 min	2 hr	0 uM	1000	249
7/24/23	Cg	yH181	wildtype	PO	45 min	2 hr	250 uM	1000	64
7/24/23	Cg	yH181	wildtype	PO	45 min	2 hr	300 uM	1000	59
7/24/23	Cg	yH181	wildtype	PO	45 min	2 hr	450 uM	100	151
7/25/23	Cg	yH181	wildtype	MM	45 min	2 hr	0 uM	1000	490
7/25/23	Cg	yH181	wildtype	MO	45 min	2 hr	250 uM	1000	204
7/25/23	Cg	yH181	wildtype	MO	45 min	2 hr	300 uM	1000	141
7/25/23	Cg	yH181	wildtype	MO	45 min	2 hr	350 uM	100	903
7/25/23	Cg	yH181	wildtype	PM	45 min	2 hr	0 uM	1000	209
7/25/23	Cg	yH181	wildtype	PO	45 min	2 hr	250 uM	1000	98
7/25/23	Cg	yH181	wildtype	PO	45 min	2 hr	300 uM	1000	113
7/25/23	Cg	yH181	wildtype	PO	45 min	2 hr	350 uM	100	614
7/26/23	Cg	yH181	wildtype	MM	45 min	2 hr	0 uM	1000	395
7/26/23	Cg	yH181	wildtype	MO	45 min	2 hr	250 uM	1000	177
7/26/23	Cg	yH181	wildtype	MO	45 min	2 hr	300 uM	1000	141
7/26/23	Cg	yH181	wildtype	MO	45 min	2 hr	350 uM	100	835
7/26/23	Cg	yH181	wildtype	PM	45 min	2 hr	0 uM	1000	245
7/26/23	Cg	yH181	wildtype	PO	45 min	2 hr	250 uM	1000	107
7/26/23	Cg	yH181	wildtype	PO	45 min	2 hr	300 uM	1000	97
7/26/23	Cg	yH181	wildtype	PO	45 min	2 hr	350 uM	100	627
