# Date: experiment date, A/B/letters is biological replicates done on the same day
# Group: MM = mock primary, mock secondary; MO = mock primary, H2O2 secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, H2O2 secondary
# Len_1: length of primary stress treatment
# Len_2: length of secondary stress treatment
# Dilutions: dilutions for CFU assay
# Count: raw counts on CFU plates
Date	Index	Strain	Species	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
07/31/23	20230731a	yH271	Cg	cta1::URA3	MM	45 min	2 hr	0 mM	1000	274
07/31/23	20230731a	yH271	Cg	cta1::URA3	MO	45 min	2 hr	2 mM	100	184
07/31/23	20230731a	yH271	Cg	cta1::URA3	MO	45 min	2 hr	2.5 mM	100	139
07/31/23	20230731a	yH271	Cg	cta1::URA3	MO	45 min	2 hr	3 mM	100	47
07/31/23	20230731a	yH271	Cg	cta1::URA3	PM	45 min	2 hr	0 mM	1000	163
07/31/23	20230731a	yH271	Cg	cta1::URA3	PO	45 min	2 hr	2 mM	100	294
07/31/23	20230731a	yH271	Cg	cta1::URA3	PO	45 min	2 hr	2.5 mM	100	174
07/31/23	20230731a	yH271	Cg	cta1::URA3	PO	45 min	2 hr	3 mM	100	97
07/31/23	20230731a	yH285	Cg	Cgcta1::CgCTA1	MM	45 min	2 hr	0 mM	1000	252
07/31/23	20230731a	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	60 mM	100	236
07/31/23	20230731a	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	80 mM	100	130
07/31/23	20230731a	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	100 mM	100	65
07/31/23	20230731a	yH285	Cg	Cgcta1::CgCTA1	PM	45 min	2 hr	0 mM	1000	178
07/31/23	20230731a	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	60 mM	1000	85
07/31/23	20230731a	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	80 mM	1000	87
07/31/23	20230731a	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	100 mM	1000	48
07/31/23	20230731a	yH181	Cg	wt	MM	45 min	2 hr	0 mM	1000	297
07/31/23	20230731a	yH181	Cg	wt	MO	45 min	2 hr	60 mM	100	153
07/31/23	20230731a	yH181	Cg	wt	MO	45 min	2 hr	80 mM	100	70
07/31/23	20230731a	yH181	Cg	wt	MO	45 min	2 hr	100 mM	100	17
07/31/23	20230731a	yH181	Cg	wt	PM	45 min	2 hr	0 mM	1000	178
07/31/23	20230731a	yH181	Cg	wt	PO	45 min	2 hr	60 mM	1000	63
07/31/23	20230731a	yH181	Cg	wt	PO	45 min	2 hr	80 mM	1000	62
07/31/23	20230731a	yH181	Cg	wt	PO	45 min	2 hr	100 mM	1000	38
07/31/23	20230731b	yH271	Cg	cta1::URA3	MM	45 min	2 hr	0 mM	1000	315
07/31/23	20230731b	yH271	Cg	cta1::URA3	MO	45 min	2 hr	2 mM	100	341
07/31/23	20230731b	yH271	Cg	cta1::URA3	MO	45 min	2 hr	2.5 mM	100	190
07/31/23	20230731b	yH271	Cg	cta1::URA3	MO	45 min	2 hr	3 mM	100	84
07/31/23	20230731b	yH271	Cg	cta1::URA3	PM	45 min	2 hr	0 mM	1000	161
07/31/23	20230731b	yH271	Cg	cta1::URA3	PO	45 min	2 hr	2 mM	100	310
07/31/23	20230731b	yH271	Cg	cta1::URA3	PO	45 min	2 hr	2.5 mM	100	273
07/31/23	20230731b	yH271	Cg	cta1::URA3	PO	45 min	2 hr	3 mM	100	89
07/31/23	20230731b	yH285	Cg	Cgcta1::CgCTA1	MM	45 min	2 hr	0 mM	1000	268
07/31/23	20230731b	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	60 mM	100	230
07/31/23	20230731b	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	80 mM	100	177
07/31/23	20230731b	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	100 mM	100	121
07/31/23	20230731b	yH285	Cg	Cgcta1::CgCTA1	PM	45 min	2 hr	0 mM	1000	183
07/31/23	20230731b	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	60 mM	1000	38
07/31/23	20230731b	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	80 mM	1000	62
07/31/23	20230731b	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	100 mM	1000	34
07/31/23	20230731b	yH181	Cg	wt	MM	45 min	2 hr	0 mM	1000	231
07/31/23	20230731b	yH181	Cg	wt	MO	45 min	2 hr	60 mM	100	76
07/31/23	20230731b	yH181	Cg	wt	MO	45 min	2 hr	80 mM	100	30
07/31/23	20230731b	yH181	Cg	wt	MO	45 min	2 hr	100 mM	100	15
07/31/23	20230731b	yH181	Cg	wt	PM	45 min	2 hr	0 mM	1000	175
07/31/23	20230731b	yH181	Cg	wt	PO	45 min	2 hr	60 mM	1000	56
07/31/23	20230731b	yH181	Cg	wt	PO	45 min	2 hr	80 mM	1000	69
07/31/23	20230731b	yH181	Cg	wt	PO	45 min	2 hr	100 mM	1000	39
08/01/23	20230801a	yH271	Cg	cta1::URA3	MM	45 min	2 hr	0 mM	1000	329
08/01/23	20230801a	yH271	Cg	cta1::URA3	MO	45 min	2 hr	2 mM	100	59
08/01/23	20230801a	yH271	Cg	cta1::URA3	MO	45 min	2 hr	2.5 mM	100	10
08/01/23	20230801a	yH271	Cg	cta1::URA3	MO	45 min	2 hr	3 mM	100	2
08/01/23	20230801a	yH271	Cg	cta1::URA3	PM	45 min	2 hr	0 mM	1000	198
