# Date: experiment date, A/B/letters is biological replicates done on the same day
# Group: MM = mock primary, mock secondary; MO = mock primary, H2O2 secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, H2O2 secondary
# Len_1: length of primary stress treatment
# Len_2: length of secondary stress treatment
# Dilutions: dilutions for CFU assay
# Count: raw counts on CFU plates
Date	Strain	Species	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
08/08/23	yH609	Cg	rim15::His3	MM	45 min	2 hr	0 mM	1000	315
08/08/23	yH609	Cg	rim15::His3	MO	45 min	2 hr	60 mM	100	203
08/08/23	yH609	Cg	rim15::His3	MO	45 min	2 hr	80 mM	100	71
08/08/23	yH609	Cg	rim15::His3	MO	45 min	2 hr	100 mM	100	45
08/08/23	yH609	Cg	rim15::His3	PM	45 min	2 hr	0 mM	1000	271
08/08/23	yH609	Cg	rim15::His3	PO	45 min	2 hr	60 mM	100	423
08/08/23	yH609	Cg	rim15::His3	PO	45 min	2 hr	80 mM	100	214
08/08/23	yH609	Cg	rim15::His3	PO	45 min	2 hr	100 mM	100	141
08/08/23	yH732	Cg	rim15::RIM15	MM	45 min	2 hr	0 mM	1000	484
08/08/23	yH732	Cg	rim15::RIM15	MO	45 min	2 hr	60 mM	100	310
08/08/23	yH732	Cg	rim15::RIM15	MO	45 min	2 hr	80 mM	100	161
08/08/23	yH732	Cg	rim15::RIM15	MO	45 min	2 hr	100 mM	100	55
08/08/23	yH732	Cg	rim15::RIM15	PM	45 min	2 hr	0 mM	1000	499
08/08/23	yH732	Cg	rim15::RIM15	PO	45 min	2 hr	60 mM	1000	93
08/08/23	yH732	Cg	rim15::RIM15	PO	45 min	2 hr	80 mM	1000	63
08/08/23	yH732	Cg	rim15::RIM15	PO	45 min	2 hr	100 mM	1000	59
08/08/23	yH001	Cg	wt	MM	45 min	2 hr	0 mM	1000	498
08/08/23	yH001	Cg	wt	MO	45 min	2 hr	60 mM	100	297
08/08/23	yH001	Cg	wt	MO	45 min	2 hr	80 mM	100	177
08/08/23	yH001	Cg	wt	MO	45 min	2 hr	100 mM	100	86
08/08/23	yH001	Cg	wt	PM	45 min	2 hr	0 mM	1000	527
08/08/23	yH001	Cg	wt	PO	45 min	2 hr	60 mM	1000	117
08/08/23	yH001	Cg	wt	PO	45 min	2 hr	80 mM	1000	72
