Date	Species	Strain	Genotype	Primary	H2O2	Dilutions	Count	scaled	scaled_M	r
d09/04/23	Cg	yH396	msn4Δ	Mock	0 mM	1000	366	366	366	1
d09/04/23	Cg	yH396	msn4Δ	Mock	20 mM	100	348	34.800000000000004	366	0.09508196721311477
d09/04/23	Cg	yH396	msn4Δ	Mock	40 mM	100	105	10.5	366	0.028688524590163935
d09/04/23	Cg	yH396	msn4Δ	Mock	60 mM	100	20	2	366	0.00546448087431694
d09/04/23	Cg	yH396	msn4Δ	-Pi	0 mM	1000	179	179	179	1
d09/04/23	Cg	yH396	msn4Δ	-Pi	20 mM	100	514	51.4	179	0.2871508379888268
d09/04/23	Cg	yH396	msn4Δ	-Pi	40 mM	100	401	40.1	179	0.2240223463687151
d09/04/23	Cg	yH396	msn4Δ	-Pi	60 mM	100	250	25	179	0.13966480446927373
d09/04/23	Cg	yH001	wt	Mock	0 mM	1000	125	125	125	1
d09/04/23	Cg	yH001	wt	Mock	60 mM	100	75	7.5	125	0.06
d09/04/23	Cg	yH001	wt	Mock	80 mM	100	46	4.6000000000000005	125	0.036800000000000006
d09/04/23	Cg	yH001	wt	Mock	100 mM	100	22	2.2	125	0.0176
d09/04/23	Cg	yH001	wt	-Pi	0 mM	1000	137	137	137	1
d09/04/23	Cg	yH001	wt	-Pi	60 mM	100	368	36.800000000000004	137	0.2686131386861314
d09/04/23	Cg	yH001	wt	-Pi	80 mM	100	250	25	137	0.18248175182481752
d09/04/23	Cg	yH001	wt	-Pi	100 mM	100	186	18.6	137	0.13576642335766426
d09/05/23	Cg	yH397	msn4Δ	Mock	0 mM	1000	115	115	115	1
d09/05/23	Cg	yH397	msn4Δ	Mock	20 mM	100	136	13.6	115	0.11826086956521739
d09/05/23	Cg	yH397	msn4Δ	Mock	40 mM	100	49	4.9	115	0.042608695652173914
d09/05/23	Cg	yH397	msn4Δ	Mock	60 mM	100	2	0.2	115	0.0017391304347826088
d09/05/23	Cg	yH397	msn4Δ	-Pi	0 mM	1000	123	123	123	1
d09/05/23	Cg	yH397	msn4Δ	-Pi	20 mM	100	385	38.5	123	0.3130081300813008
d09/05/23	Cg	yH397	msn4Δ	-Pi	40 mM	100	315	31.5	123	0.25609756097560976
d09/05/23	Cg	yH397	msn4Δ	-Pi	60 mM	100	121	12.1	123	0.0983739837398374
d09/05/23	Cg	yH423	skn7Δ	Mock	0 mM	1000	263	263	263	1
d09/05/23	Cg	yH423	skn7Δ	Mock	10 mM	100	335	33.5	263	0.12737642585551331
d09/05/23	Cg	yH423	skn7Δ	Mock	20 mM	100	178	17.8	263	0.06768060836501902
d09/05/23	Cg	yH423	skn7Δ	Mock	40 mM	100	14	1.4000000000000001	263	0.005323193916349811
d09/05/23	Cg	yH423	skn7Δ	-Pi	0 mM	1000	146	146	146	1
d09/05/23	Cg	yH423	skn7Δ	-Pi	10 mM	100	665	66.5	146	0.4554794520547945
d09/05/23	Cg	yH423	skn7Δ	-Pi	20 mM	100	613	61.300000000000004	146	0.41986301369863016
d09/05/23	Cg	yH423	skn7Δ	-Pi	40 mM	100	382	38.2	146	0.2616438356164384
d09/05/23	Cg	yH002	wt	Mock	0 mM	1000	187	187	187	1
d09/05/23	Cg	yH002	wt	Mock	60 mM	100	126	12.6	187	0.06737967914438503
d09/05/23	Cg	yH002	wt	Mock	80 mM	100	54	5.4	187	0.028877005347593583
d09/05/23	Cg	yH002	wt	Mock	100 mM	100	20	2	187	0.0106951871657754
d09/05/23	Cg	yH002	wt	-Pi	0 mM	1000	95	95	95	1
d09/05/23	Cg	yH002	wt	-Pi	60 mM	100	320	32	95	0.3368421052631579
d09/05/23	Cg	yH002	wt	-Pi	80 mM	100	413	41.300000000000004	95	0.4347368421052632
d09/05/23	Cg	yH002	wt	-Pi	100 mM	100	193	19.3	95	0.20315789473684212
d09/06/23	Cg	yH396	msn4Δ	Mock	0 mM	1000	104	104	104	1
d09/06/23	Cg	yH396	msn4Δ	Mock	20 mM	100	240	24	104	0.23076923076923078
d09/06/23	Cg	yH396	msn4Δ	Mock	40 mM	100	42	4.2	104	0.04038461538461539
d09/06/23	Cg	yH396	msn4Δ	Mock	60 mM	100	2	0.2	104	0.0019230769230769232
d09/06/23	Cg	yH396	msn4Δ	-Pi	0 mM	1000	170	170	170	1
d09/06/23	Cg	yH396	msn4Δ	-Pi	20 mM	100	549	54.9	170	0.32294117647058823
d09/06/23	Cg	yH396	msn4Δ	-Pi	40 mM	100	313	31.3	170	0.18411764705882352
d09/06/23	Cg	yH396	msn4Δ	-Pi	60 mM	100	190	19	170	0.11176470588235295
d09/06/23	Cg	yH422	skn7Δ	Mock	0 mM	1000	139	139	139	1
d09/06/23	Cg	yH422	skn7Δ	Mock	10 mM	100	229	22.900000000000002	139	0.16474820143884894
d09/06/23	Cg	yH422	skn7Δ	Mock	20 mM	100	69	6.9	139	0.04964028776978417
d09/06/23	Cg	yH422	skn7Δ	Mock	30 mM	100	18	1.8	139	0.012949640287769784
d09/06/23	Cg	yH422	skn7Δ	-Pi	0 mM	1000	220	220	220	1
d09/06/23	Cg	yH422	skn7Δ	-Pi	10 mM	100	663	66.3	220	0.30136363636363633
d09/06/23	Cg	yH422	skn7Δ	-Pi	20 mM	100	450	45	220	0.20454545454545456
d09/06/23	Cg	yH422	skn7Δ	-Pi	30 mM	100	300	30	220	0.13636363636363635
d09/06/23	Cg	yH001	wt	Mock	0 mM	1000	186	186	186	1
d09/06/23	Cg	yH001	wt	Mock	60 mM	100	77	7.7	186	0.04139784946236559
d09/06/23	Cg	yH001	wt	Mock	80 mM	100	35	3.5	186	0.01881720430107527
d09/06/23	Cg	yH001	wt	Mock	100 mM	100	10	1	186	0.005376344086021506
d09/06/23	Cg	yH001	wt	-Pi	0 mM	1000	159	159	159	1
d09/06/23	Cg	yH001	wt	-Pi	60 mM	100	403	40.300000000000004	159	0.25345911949685535
d09/06/23	Cg	yH001	wt	-Pi	80 mM	100	265	26.5	159	0.16666666666666666
d09/06/23	Cg	yH001	wt	-Pi	100 mM	100	108	10.8	159	0.06792452830188679
d09/07/23	Cg	yH397	msn4Δ	Mock	0 mM	1000	162	162	162	1
d09/07/23	Cg	yH397	msn4Δ	Mock	20 mM	100	194	19.400000000000002	162	0.1197530864197531
d09/07/23	Cg	yH397	msn4Δ	Mock	40 mM	100	7	0.7000000000000001	162	0.004320987654320988
d09/07/23	Cg	yH397	msn4Δ	Mock	60 mM	100	2	0.2	162	0.0012345679012345679
d09/07/23	Cg	yH397	msn4Δ	-Pi	0 mM	1000	135	135	135	1
d09/07/23	Cg	yH397	msn4Δ	-Pi	20 mM	100	568	56.800000000000004	135	0.42074074074074075
d09/07/23	Cg	yH397	msn4Δ	-Pi	40 mM	100	271	27.1	135	0.20074074074074075
d09/07/23	Cg	yH397	msn4Δ	-Pi	60 mM	100	142	14.200000000000001	135	0.10518518518518519
d09/07/23	Cg	yH423	skn7Δ	Mock	0 mM	1000	278	278	278	1
d09/07/23	Cg	yH423	skn7Δ	Mock	10 mM	100	350	35	278	0.12589928057553956
d09/07/23	Cg	yH423	skn7Δ	Mock	20 mM	100	196	19.6	278	0.07050359712230217
d09/07/23	Cg	yH423	skn7Δ	Mock	30 mM	100	17	1.7	278	0.006115107913669065
d09/07/23	Cg	yH423	skn7Δ	-Pi	0 mM	1000	243	243	243	1
d09/07/23	Cg	yH423	skn7Δ	-Pi	10 mM	100	687	68.7	243	0.28271604938271605
d09/07/23	Cg	yH423	skn7Δ	-Pi	20 mM	100	603	60.300000000000004	243	0.24814814814814817
d09/07/23	Cg	yH423	skn7Δ	-Pi	30 mM	100	281	28.1	243	0.11563786008230453
d09/07/23	Cg	yH002	wt	Mock	0 mM	1000	190	190	190	1
d09/07/23	Cg	yH002	wt	Mock	60 mM	100	125	12.5	190	0.06578947368421052
d09/07/23	Cg	yH002	wt	Mock	80 mM	100	55	5.5	190	0.02894736842105263
d09/07/23	Cg	yH002	wt	Mock	100 mM	100	17	1.7	190	0.008947368421052631
d09/07/23	Cg	yH002	wt	-Pi	0 mM	1000	257	257	257	1
d09/07/23	Cg	yH002	wt	-Pi	60 mM	100	471	47.1	257	0.1832684824902724
d09/07/23	Cg	yH002	wt	-Pi	80 mM	100	247	24.7	257	0.0961089494163424
d09/07/23	Cg	yH002	wt	-Pi	100 mM	100	155	15.5	257	0.06031128404669261
d09/08/23	Cg	yH396	msn4Δ	Mock	0 mM	1000	215	215	215	1
d09/08/23	Cg	yH396	msn4Δ	Mock	20 mM	100	360	36	215	0.16744186046511628
d09/08/23	Cg	yH396	msn4Δ	Mock	40 mM	100	58	5.8	215	0.026976744186046512
d09/08/23	Cg	yH396	msn4Δ	Mock	60 mM	100	12	1.2	215	0.005581395348837209
d09/08/23	Cg	yH396	msn4Δ	-Pi	0 mM	1000	88	88	88	1
d09/08/23	Cg	yH396	msn4Δ	-Pi	20 mM	100	404	40.4	88	0.45909090909090905
d09/08/23	Cg	yH396	msn4Δ	-Pi	40 mM	100	209	20.900000000000002	88	0.23750000000000002
d09/08/23	Cg	yH396	msn4Δ	-Pi	60 mM	100	124	12.4	88	0.1409090909090909
d09/08/23	Cg	yH422	skn7Δ	Mock	0 mM	1000	231	231	231	1
d09/08/23	Cg	yH422	skn7Δ	Mock	10 mM	100	363	36.300000000000004	231	0.15714285714285717
d09/08/23	Cg	yH422	skn7Δ	Mock	20 mM	100	212	21.2	231	0.09177489177489177
d09/08/23	Cg	yH422	skn7Δ	Mock	30 mM	100	47	4.7	231	0.02034632034632035
d09/08/23	Cg	yH422	skn7Δ	-Pi	0 mM	1000	125	125	125	1
d09/08/23	Cg	yH422	skn7Δ	-Pi	10 mM	100	665	66.5	125	0.532
d09/08/23	Cg	yH422	skn7Δ	-Pi	20 mM	100	651	65.1	125	0.5207999999999999
d09/08/23	Cg	yH422	skn7Δ	-Pi	30 mM	100	353	35.300000000000004	125	0.28240000000000004
d09/08/23	Cg	yH001	wt	Mock	0 mM	1000	156	156	156	1
d09/08/23	Cg	yH001	wt	Mock	60 mM	100	109	10.9	156	0.06987179487179487
d09/08/23	Cg	yH001	wt	Mock	80 mM	100	25	2.5	156	0.016025641025641024
d09/08/23	Cg	yH001	wt	Mock	100 mM	100	16	1.6	156	0.010256410256410256
d09/08/23	Cg	yH001	wt	-Pi	0 mM	1000	131	131	131	1
