Date,Species,Strain,Genotype,Len_1,Len_2,H2O2,Dilutions,Count_MO_MM,Count_PO_PM,MO/MM,PO/PM,MO/MM_percent,PO/PM_percent,ASR_score,Experimenter
d090423,Cg,yH001,wt,45min,2hr,Mock,1000,125,137,1,1,100,100,1,JL
d090423,Cg,yH001,wt,45min,2hr,60mM,100,75,368,0.06,0.2686131387,6,26.86131387,4.476885645,JL
d090423,Cg,yH001,wt,45min,2hr,80mM,100,46,250,0.0368,0.1824817518,3.68,18.24817518,4.958743255,JL
d090423,Cg,yH001,wt,45min,2hr,100mM,100,22,186,0.0176,0.1357664234,1.76,13.57664234,7.71400133,JL
d090423,Cg,yH396,msn4Δ,45min,2hr,Mock,1000,366,179,1,1,100,100,1,JL
d090423,Cg,yH396,msn4Δ,45min,2hr,20mM,100,348,514,0.09508196721,0.287150838,9.508196721,28.7150838,3.020034676,JL
d090423,Cg,yH396,msn4Δ,45min,2hr,40mM,100,105,401,0.02868852459,0.2240223464,2.868852459,22.40223464,7.808778932,JL
d090423,Cg,yH396,msn4Δ,45min,2hr,60mM,100,20,250,0.005464480874,0.1396648045,0.5464480874,13.96648045,25.55865922,JL
d090523,Cg,yH002,wt,45min,2hr,Mock,1000,187,95,1,1,100,100,1,JL
d090523,Cg,yH002,wt,45min,2hr,60mM,100,126,320,0.06737967914,0.3368421053,6.737967914,33.68421053,4.999164579,JL
d090523,Cg,yH002,wt,45min,2hr,80mM,100,54,413,0.02887700535,0.4347368421,2.887700535,43.47368421,15.05477583,JL
d090523,Cg,yH002,wt,45min,2hr,100mM,100,20,193,0.01069518717,0.2031578947,1.069518717,20.31578947,18.99526315,JL
d090523,Cg,yH423,skn7Δ,45min,2hr,Mock,1000,263,146,1,1,100,100,1,JL
d090523,Cg,yH423,skn7Δ,45min,2hr,10mM,100,335,665,0.1273764259,0.4554794521,12.73764259,45.54794521,3.575853608,JL
d090523,Cg,yH423,skn7Δ,45min,2hr,20mM,100,178,613,0.06768060837,0.4198630137,6.768060837,41.98630137,6.203593966,JL
d090523,Cg,yH423,skn7Δ,45min,2hr,40mM,100,14,382,0.005323193916,0.2616438356,0.5323193916,26.16438356,49.15166341,JL
d090523,Cg,yH397,msn4Δ,45min,2hr,Mock,1000,115,123,1,1,100,100,1,JL
d090523,Cg,yH397,msn4Δ,45min,2hr,20mM,100,136,385,0.1182608696,0.3130081301,11.82608696,31.30081301,2.646759923,JL
d090523,Cg,yH397,msn4Δ,45min,2hr,40mM,100,49,315,0.04260869565,0.256097561,4.260869565,25.6097561,6.010452963,JL
d090523,Cg,yH397,msn4Δ,45min,2hr,60mM,100,2,121,0.001739130435,0.09837398374,0.1739130435,9.837398374,56.56504064,JL
d090623,Cg,yH001,wt,45min,2hr,Mock,1000,186,159,1,1,100,100,1,JL
d090623,Cg,yH001,wt,45min,2hr,60mM,100,77,403,0.04139784946,0.2534591195,4.139784946,25.34591195,6.122518991,JL
d090623,Cg,yH001,wt,45min,2hr,80mM,100,35,265,0.0188172043,0.1666666667,1.88172043,16.66666667,8.857142859,JL
d090623,Cg,yH001,wt,45min,2hr,100mM,100,10,108,0.005376344086,0.0679245283,0.5376344086,6.79245283,12.63396226,JL
d090623,Cg,yH422,skn7Δ,45min,2hr,Mock,1000,139,220,1,1,100,100,1,JL
d090623,Cg,yH422,skn7Δ,45min,2hr,10mM,100,229,663,0.1647482014,0.3013636364,16.47482014,30.13636364,1.829237793,JL
d090623,Cg,yH422,skn7Δ,45min,2hr,20mM,100,69,450,0.04964028777,0.2045454545,4.964028777,20.45454545,4.120553359,JL
d090623,Cg,yH422,skn7Δ,45min,2hr,30mM,100,18,300,0.01294964029,0.1363636364,1.294964029,13.63636364,10.53030303,JL
d090623,Cg,yH396,msn4Δ,45min,2hr,Mock,1000,104,170,1,1,100,100,1,JL
d090623,Cg,yH396,msn4Δ,45min,2hr,20mM,100,240,549,0.2307692308,0.3229411765,23.07692308,32.29411765,1.399411765,JL
d090623,Cg,yH396,msn4Δ,45min,2hr,40mM,100,42,313,0.04038461538,0.1841176471,4.038461538,18.41176471,4.559103643,JL
