H2O2_mM,Strain,ASR_Score,Biological_Replicate
20,Cg,2.145827,R1
20,Cg,1.765814,R2
20,Cg,1.319315,R3
20,Cg,1.203484,R4
40,Cg,2.312585,R1
40,Cg,2.630877,R2
40,Cg,2.381707,R3
40,Cg,2.545609,R4
60,Cg,9.089286,R1
60,Cg,5.606648,R2
60,Cg,2.795917,R3
60,Cg,4.278155,R4
80,Cg,27.99329,R1
80,Cg,8.566802,R2
80,Cg,8.574144,R3
80,Cg,17.71156,R4
100,Cg,56.32797,R1
100,Cg,19.06579,R2
100,Cg,14.98733,R3
100,Cg,18.22177,R4
2,Sc,0.824954,R1
2,Sc,0.819574,R2
4,Sc,1.139197,R1
4,Sc,0.940166,R2
6,Sc,1.179638,R1
6,Sc,0.875259,R2
8,Sc,1.132323,R1
8,Sc,1.06231,R2
10,Sc,1.245198,R1
10,Sc,0.870967,R2
