Date,Species,Strain,Genotype,Group,1st_Stress,H2O2,Dilutions,Count,MO/MM,PO/PM,ASR_Score
d020223,Cg,yH181,wt,MM,Mock,Mock,1000,422,1,,
d020223,Cg,yH181,wt,RM,62.5,Mock,1000,240,,,
d020223,Cg,yH181,wt,RM,125,Mock,1000,247,,,
d020223,Cg,yH181,wt,NM,0Ni,Mock,1000,132,,,
d020223,Cg,yH181,wt,MO,Mock,40mM,100,689,0.1632701422,,
d020223,Cg,yH181,wt,RO,62.5,40mM,100,249,,0.10375,0.6354499274
d020223,Cg,yH181,wt,RO,125,40mM,100,486,,0.1967611336,1.205126246
d020223,Cg,yH181,wt,NO,0Ni,40mM,100,220,,0.1666666667,1.020803096
d020223,Cg,yH181,wt,MO,Mock,60mM,100,330,0.07819905213,,
d020223,Cg,yH181,wt,RO,62.5,60mM,100,110,,0.04583333333,0.5861111111
d020223,Cg,yH181,wt,RO,125,60mM,100,291,,0.1178137652,1.506588149
d020223,Cg,yH181,wt,NO,0Ni,60mM,100,32,,0.02424242424,0.3100091827
d013123,Cg,yH181,wt,MM,Mock,Mock,1000,373,,,
d013123,Cg,yH181,wt,RM,62.5,Mock,1000,400,,,
d013123,Cg,yH181,wt,RM,125,Mock,1000,366,,,
d013123,Cg,yH181,wt,NM,0Ni,Mock,1000,268,,,
d013123,Cg,yH181,wt,MO,Mock,40mM,100,384,0.1029490617,,
d013123,Cg,yH181,wt,RO,62.5,40mM,100,476,,0.119,1.155911458
d013123,Cg,yH181,wt,RO,125,40mM,100,411,,0.112295082,1.090782958
d013123,Cg,yH181,wt,NO,0Ni,40mM,100,234,,0.08731343284,0.8481226679
d013123,Cg,yH181,wt,MO,Mock,60mM,100,186,0.04986595174,,
d013123,Cg,yH181,wt,RO,62.5,60mM,100,259,,0.06475,1.298481183
d013123,Cg,yH181,wt,RO,125,60mM,100,345,,0.09426229508,1.890313767
d013123,Cg,yH181,wt,NO,0Ni,60mM,100,39,,0.01455223881,0.2918271545
d013123,Sc,yH154,wt,MM,Mock,Mock,1000,21,,,
d013123,Sc,yH154,wt,RM,62.5,Mock,1000,20,,,
d013123,Sc,yH154,wt,RM,125,Mock,1000,11,,,
d013123,Sc,yH154,wt,NM,0Ni,Mock,1000,12,,,
d013123,Sc,yH154,wt,MO,Mock,4mM,100,32,0.1523809524,,
d013123,Sc,yH154,wt,RO,62.5,4mM,100,47,,0.235,1.5421875
d013123,Sc,yH154,wt,RO,125,4mM,100,61,,0.5545454545,3.639204545
d013123,Sc,yH154,wt,NO,0Ni,4mM,100,68,,0.5666666667,3.71875
d013123,Sc,yH154,wt,MO,Mock,6mM,100,26,0.1238095238,,
d013123,Sc,yH154,wt,RO,62.5,6mM,100,39,,0.195,1.575
d013123,Sc,yH154,wt,RO,125,6mM,100,24,,0.2181818182,1.762237762
d013123,Sc,yH154,wt,NO,0Ni,6mM,100,45,,0.375,3.028846154
d012623,Cg,yH181,wt,MM,Mock,Mock,1000,895,,,
d012623,Cg,yH181,wt,RM,62.5,Mock,1000,684,,,
d012623,Cg,yH181,wt,RM,125,Mock,1000,286,,,
d012623,Cg,yH181,wt,NM,0Ni,Mock,1000,77,,,
d012623,Cg,yH181,wt,MO,Mock,40mM,100,380,0.04245810056,,
d012623,Cg,yH181,wt,RO,62.5,40mM,100,414,,0.06052631579,1.425554017
d012623,Cg,yH181,wt,RO,125,40mM,100,436,,0.1524475524,3.590541038
d012623,Cg,yH181,wt,NO,0Ni,40mM,100,159,,0.2064935065,4.863465482
d012623,Cg,yH181,wt,MO,Mock,60mM,100,205,0.02290502793,,
d012623,Cg,yH181,wt,RO,62.5,60mM,100,192,,0.02807017544,1.225502781
d012623,Cg,yH181,wt,RO,125,60mM,100,191,,0.06678321678,2.915657513
d012623,Cg,yH181,wt,NO,0Ni,60mM,100,41,,0.05324675325,2.324675325
d012623,Sc,yH154,wt,MM,Mock,Mock,1000,303,,,
d012623,Sc,yH154,wt,RM,62.5,Mock,1000,198,,,
d012623,Sc,yH154,wt,RM,125,Mock,1000,139,,,
d012623,Sc,yH154,wt,NM,0Ni,Mock,1000,49,,,
d012623,Sc,yH154,wt,MO,Mock,4mM,100,264,0.08712871287,,
d012623,Sc,yH154,wt,RO,62.5,4mM,100,176,,0.08888888889,1.02020202
d012623,Sc,yH154,wt,RO,125,4mM,100,43,,0.0309352518,0.3550523218
d012623,Sc,yH154,wt,NO,0Ni,4mM,100,60,,0.1224489796,1.405380334
d012623,Sc,yH154,wt,MO,Mock,6mM,100,23,0.007590759076,,
d012623,Sc,yH154,wt,RO,62.5,6mM,100,32,,0.01616161616,2.12911726
d012623,Sc,yH154,wt,RO,125,6mM,100,29,,0.02086330935,2.748514232
d012623,Sc,yH154,wt,NO,0Ni,6mM,100,22,,0.04489795918,5.914818101
d012523,Cg,yH181,wt,MM,Mock,Mock,1000,553,,,
d012523,Cg,yH181,wt,RM,62.5,Mock,1000,503,,,
d012523,Cg,yH181,wt,RM,125,Mock,1000,457,,,
d012523,Cg,yH181,wt,NM,0Ni,Mock,1000,232,,,
d012523,Cg,yH181,wt,MO,Mock,40mM,100,335,0.06057866184,,
d012523,Cg,yH181,wt,RO,62.5,40mM,100,504,,0.1001988072,1.65402807
d012523,Cg,yH181,wt,RO,125,40mM,100,582,,0.1273522976,2.102263301
d012523,Cg,yH181,wt,NO,0Ni,40mM,100,283,,0.1219827586,2.013625836
d012523,Cg,yH181,wt,MO,Mock,60mM,100,148,0.02676311031,,
d012523,Cg,yH181,wt,RO,62.5,60mM,100,133,,0.02644135189,0.9879775402
d012523,Cg,yH181,wt,RO,125,60mM,100,202,,0.04420131291,1.651576084
d012523,Cg,yH181,wt,NO,0Ni,60mM,100,50,,0.02155172414,0.80527726
d012523,Sc,yH154,wt,MM,Mock,Mock,1000,255,,,
d012523,Sc,yH154,wt,RM,62.5,Mock,1000,250,,,
d012523,Sc,yH154,wt,RM,125,Mock,1000,185,,,
d012523,Sc,yH154,wt,NM,0Ni,Mock,1000,161,,,
d012523,Sc,yH154,wt,MO,Mock,4mM,100,113,0.04431372549,,
d012523,Sc,yH154,wt,RO,62.5,4mM,100,102,,0.0408,0.9207079646
d012523,Sc,yH154,wt,RO,125,4mM,100,130,,0.07027027027,1.585745037
d012523,Sc,yH154,wt,NO,0Ni,4mM,100,83,,0.05155279503,1.163359534
d012523,Sc,yH154,wt,MO,Mock,6mM,100,47,0.01843137255,,
d012523,Sc,yH154,wt,RO,62.5,6mM,100,51,,0.0204,1.106808511
d012523,Sc,yH154,wt,RO,125,6mM,100,52,,0.02810810811,1.525014376
d012523,Sc,yH154,wt,NO,0Ni,6mM,100,38,,0.02360248447,1.280560328
d012123,Cg,yH181,wt,MM,Mock,Mock,1000,529,,,
d012123,Cg,yH181,wt,RM,62.5,Mock,1000,534,,,
d012123,Cg,yH181,wt,RM,125,Mock,1000,419,,,
d012123,Cg,yH181,wt,NM,0Ni,Mock,1000,406,,,
d012123,Cg,yH181,wt,MO,Mock,40mM,100,192,0.03629489603,,
d012123,Cg,yH181,wt,RO,62.5,40mM,100,199,,0.0372659176,1.026753667
d012123,Cg,yH181,wt,RO,125,40mM,100,200,,0.0477326969,1.315135243
d012123,Cg,yH181,wt,NO,0Ni,40mM,100,385,,0.09482758621,2.612697557
d012123,Cg,yH181,wt,MO,Mock,60mM,100,115,0.02173913043,,
d012123,Cg,yH181,wt,RO,62.5,60mM,100,31,,0.005805243446,0.2670411985
