Date	Species	Strain	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
07/18/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	505
07/18/22	Cg	yH001	wt	MO	45 min	2 hr	20 mM	1000	123
07/18/22	Cg	yH001	wt	MO	45 min	2 hr	40 mM	1000	66
07/18/22	Cg	yH001	wt	MO	45 min	2 hr	60 mM	1000	45
07/18/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	20
07/18/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	1000	1
07/18/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	567
07/18/22	Cg	yH001	wt	PO	45 min	2 hr	20 mM	1000	178
07/18/22	Cg	yH001	wt	PO	45 min	2 hr	40 mM	1000	142
07/18/22	Cg	yH001	wt	PO	45 min	2 hr	60 mM	1000	131
07/18/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	121
07/18/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	1000	82
07/18/22	Cg	yH002	wt	MM	45 min	2 hr	0 mM	1000	478
07/18/22	Cg	yH002	wt	MO	45 min	2 hr	20 mM	1000	103
07/18/22	Cg	yH002	wt	MO	45 min	2 hr	40 mM	1000	66
07/18/22	Cg	yH002	wt	MO	45 min	2 hr	60 mM	1000	34
07/18/22	Cg	yH002	wt	MO	45 min	2 hr	80 mM	1000	8
07/18/22	Cg	yH002	wt	MO	45 min	2 hr	100 mM	1000	6
07/18/22	Cg	yH002	wt	PM	45 min	2 hr	0 mM	1000	542
07/18/22	Cg	yH002	wt	PO	45 min	2 hr	20 mM	1000	167
07/18/22	Cg	yH002	wt	PO	45 min	2 hr	40 mM	1000	152
07/18/22	Cg	yH002	wt	PO	45 min	2 hr	60 mM	1000	95
07/18/22	Cg	yH002	wt	PO	45 min	2 hr	80 mM	1000	102
07/18/22	Cg	yH002	wt	PO	45 min	2 hr	100 mM	1000	82
07/17/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	550
07/17/22	Cg	yH001	wt	MO	45 min	2 hr	20 mM	1000	149
07/17/22	Cg	yH001	wt	MO	45 min	2 hr	40 mM	1000	72
07/17/22	Cg	yH001	wt	MO	45 min	2 hr	60 mM	1000	46
07/17/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	10
