Species	Count_MO	Count_MM	Count_PO	Count_PM	Dilution_MO	Dilution_MM	Dilution_PO	Dilution_PM	MO/MM	PO/PM	Date							
C. glabrata	684	659	2187	659	40	2500	40	2500	1.660698	5.049351	d053020							
C. glabrata	228	487	810	577	40	2500	40	2500	0.7490759	2.2461	d053020							
C. glabrata	316	633	812	495	100	2500	100	2500	1.99684	6.561616	d060120							
C. glabrata	191	559	289	537	100	2500	100	2500	1.366726	2.1527	d060120							
C. glabrata	158	535	412	420	100	2500	100	2500	1.181308	3.92381	d060120							
C. glabrata	203	680	1002	610	100	2500	100	2500	1.194118	6.570492	d060420							
C. glabrata	94	652	391	519	100	2500	100	2500	0.5766871	3.013488	d060420							
C. glabrata	271	643	656	605	100	2500	100	2500	1.685848	4.33719	d060420							
S. cerevisiae	451	307	360	374	40	2500	40	2500	2.350489	1.540107	d053020							
S. cerevisiae	386	297	405	306	40	2500	40	2500	2.079461	2.117647	d053020							
S. cerevisiae	69	69	111	246	40	2500	40	2500	1.6	0.7219512	d060120							
S. cerevisiae	96	275	129	269	40	2500	40	2500	0.5585455	0.7672862	d060120							
S. cerevisiae	147	266	173	256	40	2500	40	2500	0.8842105	1.08125	d060120							
S. cerevisiae	57	329	94	304	40	2500	40	2500	0.2772036	0.4947369	d060420							
S. cerevisiae	116	341	185	391	40	2500	40	2500	0.5442815	0.7570332	d060420							
S. cerevisiae	128	393	238	325	40	2500	40	2500	0.5211196	1.171692	d060420							
