# Strain: yeast strain ID
# Species: Sc = S. cerevisiae; Cg = C. glabrata
# rM: survival rate without the primary stress
# rP: survival rate with the primary stress
# ASR_score: rP/rM
Date	Strain	Species	H2O2	rM	rP	ASR_score
07/29/22	yH001	Cg	20mM	0.21805792163543442	0.3686746987951807	1.690719126506024
07/29/22	yH001	Cg	40mM	0.15843270868824533	0.3253012048192771	2.0532452390205984
07/29/22	yH001	Cg	60mM	0.0868824531516184	0.3132530120481928	3.605480746515474
07/29/22	yH001	Cg	80mM	0.044293015332197615	0.2216867469879518	5.005004633920296
07/29/22	yH001	Cg	100mM	0.017035775127768313	0.13253012048192772	7.779518072289157
07/29/22	yH154	Sc	2mM	0.09278350515463918	0.12177121771217712	1.3124231242312423
07/29/22	yH154	Sc	4mM	0.06872852233676977	0.06273062730627306	0.912730627306273
07/29/22	yH154	Sc	6mM	0.061855670103092786	0.05166051660516605	0.8351783517835178
07/29/22	yH154	Sc	8mM	0.020618556701030927	0.055350553505535055	2.6845018450184504
07/29/22	yH154	Sc	10mM	NA	0.025830258302583026	NA
08/01/22	yH001	Cg	20mM	0.2643884892086331	0.3826086956521739	1.4471458148476781
08/01/22	yH001	Cg	40mM	0.23201438848920863	0.3695652173913043	1.592854735422986
08/01/22	yH001	Cg	60mM	0.12769784172661872	0.3565217391304348	2.791916717697489
08/01/22	yH001	Cg	80mM	0.046762589928057555	0.2543478260869565	5.439130434782608
08/01/22	yH001	Cg	100mM	0.012589928057553957	0.16956521739130434	13.468322981366459
08/01/22	yH154	Sc	2mM	0.050473186119873815	0.04361370716510903	0.8640965732087227
08/01/22	yH154	Sc	4mM	0.0473186119873817	0.04672897196261682	0.9875389408099688
08/01/22	yH154	Sc	6mM	0.028391167192429023	0.0529595015576324	1.8653513326410522
08/01/22	yH154	Sc	8mM	0.01892744479495268	0.01557632398753894	0.8229491173416407
08/01/22	yH154	Sc	10mM	NA	0.006230529595015576	NA
08/02/22	yH001	Cg	20mM	0.27169811320754716	0.344106463878327	1.2665029573299535
08/02/22	yH001	Cg	40mM	0.20754716981132076	0.2737642585551331	1.3190459730383686
08/02/22	yH001	Cg	60mM	0.05849056603773585	0.25285171102661597	4.322948607874402
08/02/22	yH001	Cg	80mM	0.0509433962264151	0.155893536121673	3.060132375721729
08/02/22	yH001	Cg	100mM	0.011320754716981131	0.0779467680608365	6.885297845373891
08/02/22	yH154	Sc	2mM	0.08438818565400844	0.08108108108108109	0.9608108108108109
08/02/22	yH154	Sc	4mM	0.0379746835443038	0.0694980694980695	1.83011583011583
08/02/22	yH154	Sc	6mM	0.0759493670886076	0.08108108108108109	1.0675675675675675
08/02/22	yH154	Sc	8mM	0.0189873417721519	0.03088803088803089	1.6267696267696268
08/02/22	yH154	Sc	10mM	0.03375527426160337	0.017374517374517374	0.5147200772200773
08/04/22	yH001	Cg	20mM	0.21460506706408347	0.346	1.6122638888888887
08/04/22	yH001	Cg	40mM	0.15499254843517138	0.27	1.742019230769231
08/04/22	yH001	Cg	60mM	0.046199701937406856	0.294	6.363677419354838
08/04/22	yH001	Cg	80mM	0.013412816691505217	0.198	14.762
08/04/22	yH001	Cg	100mM	0.004470938897168405	0.144	32.208
08/04/22	yH154	Sc	2mM	0.047493403693931395	0.04477611940298507	0.9427860696517413
08/04/22	yH154	Sc	4mM	0.06068601583113457	0.08955223880597014	1.4756651524983775
08/04/22	yH154	Sc	6mM	0.018469656992084433	0.024875621890547265	1.3468372423596304
08/04/22	yH154	Sc	8mM	0.027704485488126648	0.02736318407960199	0.9876806443970624
08/04/22	yH154	Sc	10mM	0.0079155672823219	0.014925373134328358	1.8855721393034823
08/11/22	yH001	Cg	20mM	0.1792717086834734	0.2860696517412935	1.5957322761194028
08/11/22	yH001	Cg	40mM	0.10084033613445378	0.31094527363184077	3.083540630182421
08/11/22	yH001	Cg	60mM	0.04341736694677871	0.2512437810945274	5.786711603273954
08/11/22	yH001	Cg	80mM	0.0196078431372549	0.16666666666666666	8.5
08/11/22	yH001	Cg	100mM	0.011204481792717087	0.13681592039800994	12.210820895522387
08/11/22	yH154	Sc	2mM	0.044673539518900345	0.0703125	1.5739182692307692
08/11/22	yH154	Sc	4mM	0.037800687285223365	0.0546875	1.4467329545454546
08/11/22	yH154	Sc	6mM	0.030927835051546393	0.04296875	1.3893229166666665
08/11/22	yH154	Sc	8mM	0.018900343642611683	0.025390625	1.3433948863636365
08/11/22	yH154	Sc	10mM	0.012027491408934709	0.005859375	0.48716517857142855
07/18/22	yH001	Cg	20 mM	0.24356435643564356	0.31393298059964725	1.288911830917251
07/18/22	yH001	Cg	40 mM	0.1306930693069307	0.25044091710758376	1.9162524718080272
07/18/22	yH001	Cg	60 mM	0.0891089108910891	0.2310405643738977	2.5927885557515187
07/18/22	yH001	Cg	80 mM	0.039603960396039604	0.21340388007054673	5.3884479717813045
07/18/22	yH001	Cg	100 mM	NA	0.14462081128747795	NA
07/18/22	yH002	Cg	20 mM	0.21548117154811716	0.3081180811808118	1.4299072116934761
07/18/22	yH002	Cg	40 mM	0.13807531380753138	0.28044280442804426	2.0310857654031085
07/18/22	yH002	Cg	60 mM	0.07112970711297072	0.1752767527675277	2.464184935967007
07/18/22	yH002	Cg	80 mM	0.016736401673640166	0.1881918819188192	11.244464944649447
07/18/22	yH002	Cg	100 mM	0.012552301255230125	0.15129151291512916	12.052890528905289
07/17/22	yH001	Cg	20 mM	0.27090909090909093	0.3574144486692015	1.319315078980274
07/17/22	yH001	Cg	40 mM	0.13090909090909092	0.311787072243346	2.381706801858893
07/17/22	yH001	Cg	60 mM	0.08363636363636363	0.2338403041825095	2.7959166804430486
07/17/22	yH001	Cg	80 mM	0.01818181818181818	0.155893536121673	8.574144486692015
07/17/22	yH001	Cg	100 mM	0.005454545454545455	0.0817490494296578	14.987325728770596
07/17/22	yH002	Cg	20 mM	0.23933209647495363	0.2880324543610548	1.2034844410899885
07/17/22	yH002	Cg	40 mM	0.12430426716141002	0.31643002028397565	2.5456086706427294
07/17/22	yH002	Cg	60 mM	0.04267161410018553	0.18255578093306288	4.278155040126995
07/17/22	yH002	Cg	80 mM	0.00927643784786642	0.1643002028397566	17.711561866125763
07/17/22	yH002	Cg	100 mM	0.0055658627087198514	0.10141987829614604	18.221771467207574
07/16/22	yH001	Cg	20 mM	0.1650294695481336	0.35412474849094566	2.145827345022516
07/16/22	yH001	Cg	40 mM	0.12180746561886051	0.28169014084507044	2.312585188550659
07/16/22	yH001	Cg	60 mM	0.03143418467583497	0.2857142857142857	9.089285714285715
07/16/22	yH001	Cg	80 mM	0.005893909626719057	0.16498993963782696	27.99329309188464
07/16/22	yH001	Cg	100 mM	NA	0.11066398390342053	NA
07/16/22	yH002	Cg	20 mM	0.18227424749163879	0.32186234817813764	1.765813616610333
07/16/22	yH002	Cg	40 mM	0.1254180602006689	0.3299595141700405	2.630877192982456
07/16/22	yH002	Cg	60 mM	0.03177257525083612	0.17813765182186234	5.606648199445983
07/16/22	yH002	Cg	80 mM	0.021739130434782608	0.1862348178137652	8.5668016194332
07/16/22	yH002	Cg	100 mM	0.006688963210702341	0.12753036437246965	19.065789473684212
