Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d051221-0min-0Pi-R3-6-8I,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,29,1034.483,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d051221-0min-0Pi-R3-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28486,29,982.276,94.953,94.953,505844,134724,478104,125460,396197,125963,151949.79,49364.37,30.04,36.64,151581.76,38198.45,31.70,30.45
d051221-0min-0Pi-R3-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15858,29,546.828,52.860,99.880,464159,483166,447572,460905,396234,451552,116827.39,138981.64,25.17,28.76,115811.81,141530.48,25.88,30.71
d051221-0min-0Pi-R3-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,15877,29,547.483,52.923,52.923,464463,483614,447753,461159,396234,451552,117187.64,139544.82,25.23,28.85,115951.18,141834.41,25.90,30.76
d051221-0min-0Pi-R3-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,15858,29,546.828,52.860,52.860,11984,N/A,10455,N/A,13085,N/A,7235.06,N/A,60.37,N/A,5967.46,N/A,57.08,N/A
d051221-0min-0Pi-R3-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,15877,29,547.483,52.923,55.736,464463,86,447753,85,396234,86,117187.64,8.11,25.23,9.39,115951.18,7.41,25.90,8.72
d051221-0min-0Pi-R3-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28486,29,982.276,94.953,94.953,505844,108,478104,94,396197,86,151949.79,50.04,30.04,46.16,151581.76,17.79,31.70,18.93
d051221-0min-0Pi-R3-6-8I,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,62,483.871,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d051221-0min-0Pi-R3-6-8I,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28672,62,462.452,95.573,95.573,521826,127374,494331,119489,449667,119794,148688.80,45428.74,28.49,35.67,149351.19,35625.39,30.21,29.81
d051221-0min-0Pi-R3-6-8I,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,18125,62,292.339,60.417,99.983,479536,498748,464571,477704,451518,445256,111905.42,133194.56,23.34,26.71,113238.02,136559.32,24.37,28.59
d051221-0min-0Pi-R3-6-8I,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,18128,62,292.387,60.427,60.427,479591,498819,464589,477728,451518,445256,111978.94,133295.81,23.35,26.72,113257.29,136590.45,24.38,28.59
d051221-0min-0Pi-R3-6-8I,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,18125,62,292.339,60.417,60.417,9966,N/A,7846,N/A,12332,N/A,8603.08,N/A,86.32,N/A,5574.58,N/A,71.05,N/A
d051221-0min-0Pi-R3-6-8I,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,18128,62,292.387,60.427,63.225,479591,88,464589,87,451518,87,111978.94,8.03,23.35,9.09,113257.29,7.41,24.38,8.52
