Sample,group_name,treat,time_1_min,time_2_min,time_3_min
A1,wt,0Pi,0,90,180
B1,wt,0Pi,0,90,180
C1,MutS7Y1 #1,0Pi,0,90,180
D1,MutS7Y1 #1,0Pi,0,90,180
E1,MutS7Y1 #1,0Pi,0,90,180
F1,MutS7Y1 #1,0Pi,0,90,180
G1,MutS7Y1 #2,0Pi,0,90,180
H1,MutS7Y1 #2,0Pi,0,90,180
A2,MutScYap1,0Pi,0,90,180
B2,MutScYap1,0Pi,0,90,180
C2,MutScYap1,0Pi,0,90,180
D2,DelYap1 (6-8I),0Pi,0,90,180
E2,DelYap1 (6-8I),0Pi,0,90,180
F2,DelYap1 (6-8I),0Pi,0,90,180
G2,DelY1S7 (6-8I),0Pi,0,90,180
H2,DelY1S7 (6-8I),0Pi,0,90,180
A3,MutS7#1,0Pi,0,90,180
B3,MutS7#1,0Pi,0,90,180
C3,MutS7#2,0Pi,0,90,180
D3,MutS7#2,0Pi,0,90,180
E3,MutS7#2,0Pi,0,90,180
F3,MutY1#1,0Pi,0,90,180
G3,MutY1#1,0Pi,0,90,180
H3,MutY1#1,0Pi,0,90,180
A4,MutY1#2,0Pi,0,90,180
B4,MutY1#2,0Pi,0,90,180
C4,DelSkn7,0Pi,0,90,180
D4,DelSkn7,0Pi,0,90,180
E4,,,,,
F4,,,,,
G4,,,,,
H4,,,,,
A5,wt,0Pi,30,120,210
B5,wt,0Pi,30,120,210
C5,MutS7Y1 #1,0Pi,30,120,210
D5,MutS7Y1 #1,0Pi,30,120,210
E5,MutS7Y1 #1,0Pi,30,120,210
F5,MutS7Y1 #1,0Pi,30,120,210
G5,MutS7Y1 #2,0Pi,30,120,210
H5,MutS7Y1 #2,0Pi,30,120,210
A6,MutScYap1,0Pi,30,120,210
B6,MutScYap1,0Pi,30,120,210
C6,MutScYap1,0Pi,30,120,210
D6,DelYap1 (6-8I),0Pi,30,120,210
E6,DelYap1 (6-8I),0Pi,30,120,210
F6,DelYap1 (6-8I),0Pi,30,120,210
G6,DelY1S7 (6-8I),0Pi,30,120,210
H6,DelY1S7 (6-8I),0Pi,30,120,210
A7,MutS7#1,0Pi,30,120,210
B7,MutS7#1,0Pi,30,120,210
C7,MutS7#2,0Pi,30,120,210
D7,MutS7#2,0Pi,30,120,210
E7,MutS7#2,0Pi,30,120,210
F7,MutY1#1,0Pi,30,120,210
G7,MutY1#1,0Pi,30,120,210
H7,MutY1#1,0Pi,30,120,210
A8,MutY1#2,0Pi,30,120,210
B8,MutY1#2,0Pi,30,120,210
C8,DelSkn7,0Pi,30,120,210
D8,DelSkn7,0Pi,30,120,210
E8,,,,,
F8,,,,,
G8,,,,,
H8,,,,,
A9,wt,0Pi,60,150,240
B9,wt,0Pi,60,150,240
C9,MutS7Y1 #1,0Pi,60,150,240
D9,MutS7Y1 #1,0Pi,60,150,240
E9,MutS7Y1 #1,0Pi,60,150,240
F9,MutS7Y1 #1,0Pi,60,150,240
G9,MutS7Y1 #2,0Pi,60,150,240
H9,MutS7Y1 #2,0Pi,60,150,240
A10,MutScYap1,0Pi,60,150,240
B10,MutScYap1,0Pi,60,150,240
C10,MutScYap1,0Pi,60,150,240
D10,DelYap1 (6-8I),0Pi,60,150,240
E10,DelYap1 (6-8I),0Pi,60,150,240
F10,DelYap1 (6-8I),0Pi,60,150,240
G10,DelY1S7 (6-8I),0Pi,60,150,240
H10,DelY1S7 (6-8I),0Pi,60,150,240
A11,MutS7#1,0Pi,60,150,240
B11,MutS7#1,0Pi,60,150,240
C11,MutS7#2,0Pi,60,150,240
D11,MutS7#2,0Pi,60,150,240
E11,MutS7#2,0Pi,60,150,240
F11,MutY1#1,0Pi,60,150,240
G11,MutY1#1,0Pi,60,150,240
H11,MutY1#1,0Pi,60,150,240
A12,MutY1#2,0Pi,60,150,240
B12,MutY1#2,0Pi,60,150,240
C12,DelSkn7,0Pi,60,150,240
D12,DelSkn7,0Pi,60,150,240
E12,,,,,
F12,,,,,
G12,,,,,
H12,,,,,
