Sample,group_name,treat,time_1_min,time_2_min,time_3_min
A1,wt,H2O2,0,90,180
B1,wt,H2O2,0,90,180
C1,skn7_ko,H2O2,0,90,180
D1,skn7_ko,H2O2,0,90,180
E1,skn7_ko,H2O2,0,90,180
F1,yap1_ko,H2O2,0,90,180
G1,yap1_ko,H2O2,0,90,180
H1,yap1_ko,H2O2,0,90,180
A2,skn7yap1_ko,H2O2,0,90,180
B2,skn7yap1_ko,H2O2,0,90,180
C2,,,,,
D2,,,,,
E2,,,,,
F2,,,,,
G2,,,,,
H2,,,,,
A3,wt,ctrl,0,90,180
B3,wt,ctrl,0,90,180
C3,skn7_ko,ctrl,0,90,180
D3,skn7_ko,ctrl,0,90,180
E3,skn7_ko,ctrl,0,90,180
F3,yap1_ko,ctrl,0,90,180
G3,yap1_ko,ctrl,0,90,180
H3,yap1_ko,ctrl,0,90,180
A4,skn7yap1_ko,ctrl,0,90,180
B4,skn7yap1_ko,ctrl,0,90,180
C4,,,,,
D4,,,,,
E4,,,,,
F4,,,,,
G4,,,,,
H4,,,,,
A5,wt,H2O2,30,120,210
B5,wt,H2O2,30,120,210
C5,skn7_ko,H2O2,30,120,210
D5,skn7_ko,H2O2,30,120,210
E5,skn7_ko,H2O2,30,120,210
F5,yap1_ko,H2O2,30,120,210
G5,yap1_ko,H2O2,30,120,210
H5,yap1_ko,H2O2,30,120,210
A6,skn7yap1_ko,H2O2,30,120,210
B6,skn7yap1_ko,H2O2,30,120,210
C6,,,,,
D6,,,,,
E6,,,,,
F6,,,,,
G6,,,,,
H6,,,,,
A7,wt,ctrl,30,120,210
B7,wt,ctrl,30,120,210
C7,skn7_ko,ctrl,30,120,210
D7,skn7_ko,ctrl,30,120,210
E7,skn7_ko,ctrl,30,120,210
F7,yap1_ko,ctrl,30,120,210
G7,yap1_ko,ctrl,30,120,210
H7,yap1_ko,ctrl,30,120,210
A8,skn7yap1_ko,ctrl,30,120,210
B8,skn7yap1_ko,ctrl,30,120,210
C8,,,,,
D8,,,,,
E8,,,,,
F8,,,,,
G8,,,,,
H8,,,,,
A9,wt,H2O2,60,150,240
B9,wt,H2O2,60,150,240
C9,skn7_ko,H2O2,60,150,240
D9,skn7_ko,H2O2,60,150,240
E9,skn7_ko,H2O2,60,150,240
F9,yap1_ko,H2O2,60,150,240
G9,yap1_ko,H2O2,60,150,240
H9,yap1_ko,H2O2,60,150,240
A10,skn7yap1_ko,H2O2,60,150,240
B10,skn7yap1_ko,H2O2,60,150,240
C10,,,,,
D10,,,,,
E10,,,,,
F10,,,,,
G10,,,,,
H10,,,,,
A11,wt,ctrl,60,150,240
B11,wt,ctrl,60,150,240
C11,skn7_ko,ctrl,60,150,240
D11,skn7_ko,ctrl,60,150,240
E11,skn7_ko,ctrl,60,150,240
F11,yap1_ko,ctrl,60,150,240
G11,yap1_ko,ctrl,60,150,240
H11,yap1_ko,ctrl,60,150,240
A12,skn7yap1_ko,ctrl,60,150,240
B12,skn7yap1_ko,ctrl,60,150,240
C12,,,,,
D12,,,,,
E12,,,,,
F12,,,,,
G12,,,,,
H12,,,,,
