Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d050121-0min-H2O2-R2-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,26,1153.846,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d050121-0min-H2O2-R2-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28427,26,1093.346,94.757,94.757,504792,130954,475673,121370,449561,121885,156407.76,50106.64,30.98,38.26,154263.04,39643.24,32.43,32.66
d050121-0min-H2O2-R2-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14464,26,556.308,48.213,99.834,465586,479181,448046,455305,400307,400503,121823.50,144185.06,26.17,30.09,120877.86,144290.34,26.98,31.69
d050121-0min-H2O2-R2-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,14488,26,557.231,48.293,48.293,466006,479838,448427,455552,400307,400503,122269.55,145002.92,26.24,30.22,120896.39,144640.97,26.96,31.75
d050121-0min-H2O2-R2-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,14464,26,556.308,48.213,48.213,7093,N/A,6384,N/A,7131,N/A,3484.75,N/A,49.13,N/A,2683.51,N/A,42.03,N/A
d050121-0min-H2O2-R2-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,14488,26,557.231,48.293,50.966,466006,85,448427,84,400307,86,122269.55,8.26,26.24,9.70,120896.39,7.41,26.96,8.82
d050121-0min-H2O2-R2-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28427,26,1093.346,94.757,94.757,504792,111,475673,95,449561,86,156407.76,54.92,30.98,49.58,154263.04,19.27,32.43,20.29
d050121-0min-H2O2-R2-2-4I,0min,0Pi-0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,28,1071.429,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d050121-0min-H2O2-R2-2-4I,0min,0Pi-0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28400,28,1014.286,94.667,94.667,524542,134583,498179,126688,422892,130037,153507.63,48320.27,29.27,35.90,154635.92,38847.08,31.04,30.66
d050121-0min-H2O2-R2-2-4I,0min,0Pi-0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15148,28,541.000,50.493,99.855,479354,496101,467228,476985,422899,455717,117529.45,140605.09,24.52,28.34,120191.41,145416.37,25.72,30.49
