Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,A1,15776,3340,4329,2354.93,61.18,50.69
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,A2,15874,5623,6409,2879.61,47.2,39.54
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,A3,16279,5468,5970,2764.67,46.39,40.62
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,B1,17120,5291,7019,2764.71,47.57,41.33
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,B2,15503,5936,6803,2740.56,42.68,36.87
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,B3,17303,5052,5095,2696.82,48.5,41.79
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,C1,16792,4609,5224,2418.15,47.56,41.75
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,C2,15659,5829,5807,2679.57,42.32,36.4
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,C3,13446,3580,5427,2823.21,65.65,59.37
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,D1,16114,4264,4852,2246.63,47.81,41.31
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,D2,16192,3127,3580,2030.22,57.5,47.13
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,D3,16143,3082,4421,1900.25,54.65,47
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,E1,17001,4580,5361,2369.09,46.82,40.85
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,E2,16182,3532,4282,2051.99,51.94,45.28
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,E3,17685,3690,3979,1981.77,48.7,42.23
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,F1,18077,2713,3548,1680.43,54.99,49.46
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,F2,17261,4258,4913,2338.23,49.13,41.37
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,F3,17432,3983,4970,2060.94,47.1,41.47
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,G1,16261,2685,3363,1640.8,54.42,48.81
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,G2,16643,3224,4147,1823.19,50.91,46.68
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,G3,18569,4113,4852,1991.91,44.63,40.91
Rep1-0Pi,0min-CTA1pr-2-4Imp-V,0min,H1,12062,2502,2160,1854.52,62.44,58.66
