Sample,group_name,treat,time_1_min,time_2_min,time_3_min
A1,wt,0Pi,0,90,180
B1,wt,0Pi,0,90,180
C1,MutMsn4 #1,0Pi,0,90,180
D1,MutMsn4 #1,0Pi,0,90,180
E1,MutMsn4 #1,0Pi,0,90,180
F1,MutMsn4Yap1 Com,0Pi,0,90,180
G1,MutMsn4Yap1 Com,0Pi,0,90,180
H1,MutMsn4Yap1 Com,0Pi,0,90,180
A2,MutMsn4Yap1 #2,0Pi,0,90,180
B2,MutMsn4Yap1 #2,0Pi,0,90,180
C2,MutMsn4Yap1 #2,0Pi,0,90,180
D2,MutMsn4 #2,0Pi,0,90,180
E2,MutMsn4 #2,0Pi,0,90,180
F2,MutMsn4 #2,0Pi,0,90,180
G2,MutYap1 #1 (2-4),0Pi,0,90,180
H2,MutYap1 #1 (2-4),0Pi,0,90,180
A3,MutYap1 #2 (2-4),0Pi,0,90,180
B3,MutYap1 #2 (2-4),0Pi,0,90,180
C3,MutYap1 #2 (2-4),0Pi,0,90,180
D3,DelMsn4,0Pi,0,90,180
E3,DelMsn4,0Pi,0,90,180
F3,DelMsn4,0Pi,0,90,180
G3,DelMsn4Yap1,0Pi,0,90,180
H3,DelMsn4Yap1,0Pi,0,90,180
A4,DelMsn4Yap1,0Pi,0,90,180
B4,DelYap1 (2-4),0Pi,0,90,180
C4,DelYap1 (2-4),0Pi,0,90,180
D4,,,,,
E4,,,,,
F4,,,,,
G4,,,,,
H4,,,,,
A5,wt,0Pi,30,120,210
B5,wt,0Pi,30,120,210
C5,MutMsn4 #1,0Pi,30,120,210
D5,MutMsn4 #1,0Pi,30,120,210
E5,MutMsn4 #1,0Pi,30,120,210
F5,MutMsn4Yap1 Com,0Pi,30,120,210
G5,MutMsn4Yap1 Com,0Pi,30,120,210
H5,MutMsn4Yap1 Com,0Pi,30,120,210
A6,MutMsn4Yap1 #2,0Pi,30,120,210
B6,MutMsn4Yap1 #2,0Pi,30,120,210
C6,MutMsn4Yap1 #2,0Pi,30,120,210
D6,MutMsn4 #2,0Pi,30,120,210
E6,MutMsn4 #2,0Pi,30,120,210
F6,MutMsn4 #2,0Pi,30,120,210
G6,MutYap1 #1 (2-4),0Pi,30,120,210
H6,MutYap1 #1 (2-4),0Pi,30,120,210
A7,MutYap1 #2 (2-4),0Pi,30,120,210
B7,MutYap1 #2 (2-4),0Pi,30,120,210
C7,MutYap1 #2 (2-4),0Pi,30,120,210
D7,DelMsn4,0Pi,30,120,210
E7,DelMsn4,0Pi,30,120,210
F7,DelMsn4,0Pi,30,120,210
G7,DelMsn4Yap1,0Pi,30,120,210
H7,DelMsn4Yap1,0Pi,30,120,210
A8,DelMsn4Yap1,0Pi,30,120,210
B8,DelYap1 (2-4),0Pi,30,120,210
C8,DelYap1 (2-4),0Pi,30,120,210
D8,,,,,
E8,,,,,
F8,,,,,
G8,,,,,
H8,,,,,
A9,wt,0Pi,60,150,240
B9,wt,0Pi,60,150,240
C9,MutMsn4 #1,0Pi,60,150,240
D9,MutMsn4 #1,0Pi,60,150,240
E9,MutMsn4 #1,0Pi,60,150,240
F9,MutMsn4Yap1 Com,0Pi,60,150,240
G9,MutMsn4Yap1 Com,0Pi,60,150,240
H9,MutMsn4Yap1 Com,0Pi,60,150,240
A10,MutMsn4Yap1 #2,0Pi,60,150,240
B10,MutMsn4Yap1 #2,0Pi,60,150,240
C10,MutMsn4Yap1 #2,0Pi,60,150,240
D10,MutMsn4 #2,0Pi,60,150,240
E10,MutMsn4 #2,0Pi,60,150,240
F10,MutMsn4 #2,0Pi,60,150,240
G10,MutYap1 #1 (2-4),0Pi,60,150,240
H10,MutYap1 #1 (2-4),0Pi,60,150,240
A11,MutYap1 #2 (2-4),0Pi,60,150,240
B11,MutYap1 #2 (2-4),0Pi,60,150,240
C11,MutYap1 #2 (2-4),0Pi,60,150,240
D11,DelMsn4,0Pi,60,150,240
E11,DelMsn4,0Pi,60,150,240
F11,DelMsn4,0Pi,60,150,240
G11,DelMsn4Yap1,0Pi,60,150,240
H11,DelMsn4Yap1,0Pi,60,150,240
A12,DelMsn4Yap1,0Pi,60,150,240
B12,DelYap1 (2-4),0Pi,60,150,240
C12,DelYap1 (2-4),0Pi,60,150,240
D12,,,,,
E12,,,,,
F12,,,,,
G12,,,,,
H12,,,,,
