# ------
# strain information
# ------
# yH298/299	CTA1pr-CTA1-GFP
# yH001/181	WT
# yH347	CTA1pr::URA3
# met3	MET3pr-CTA1-GFP
strain	treatment	day	time	median	count
yH299	mock	1	0	9803	23196
yH298	Pi	1	0	9695	23193
yH299 	Pi	1	0	10182	24259
yH181	mock	1	0	178	25618
yH001	mock	1	0	165	23129
yH347	mock	1	0	192	20818
yH181	Pi	1	0	202	15535
yH001	Pi	1	0	183	24945
yH347	Pi	1	0	189	25434
yH181	met	1	0	183	25183
yH001	met	1	0	178	13490
yH347	met	1	0	199	6724
yH298	mock	1	0	9728	23924
met3-1	mock	1	0	390	19300
met3-2	mock	1	0	757	25149
met3-3	mock	1	0	342	21174
met3-4	mock	1	0	317	22286
met3-1 	met	1	0	415	15663
met3-2 	met	1	0	800	20951
met3-3	met 	1	0	371	24820
met3-4 	met	1	0	317	17240
yH299	mock	1	30	10288	20998
yH298	met	1	30	11752	24515
yH299	met	1	30	11447	22527
yH181	mock	1	30	203	22379
yH001	mock	1	30	177	21592
yH347	mock	1	30	209	22619
yH181	Pi	1	30	212	15428
yH001	Pi	1	30	164	21683
yH347	Pi	1	30	186	22020
yH181	met	1	30	195	22622
yH001	met	1	30	177	22314
yH347	met	1	30	206	22466
yH298	mock	1	30	11682	21696
met3-1	mock	1	30	358	24064
met3-2	mock	1	30	757	22729
met3-3	mock	1	30	399	23607
met3-4	mock	1	30	395	22138
met3-1	met	1	30	4774	23971
met3-2	met	1	30	9043	23794
met3-3	met	1	30	10642	23209
met3-4	met	1	30	9849	14276
yH299	mock	1	45	10921	21220
yH298	met	1	45	12804	24588
yH299	met	1	45	12104	23620
yH181	mock	1	45	228	22048
yH001	mock	1	45	200	20836
yH347	mock	1	45	236	23067
yH181	Pi	1	45	237	14478
yH001	Pi	1	45	188	21497
yH347	Pi	1	45	234	22310
yH181	met	1	45	218	22387
yH001	met	1	45	198	22990
yH347	met	1	45	238	21807
yH298	mock	1	45	12419	21237
met3-1	mock	1	45	384	23822
met3-2	mock	1	45	802	22143
met3-3	mock	1	45	431	23322
met3-4	mock	1	45	427	21899
met3-1	met	1	45	8948	23894
met3-2	met	1	45	17160	22158
met3-3	met	1	45	21140	22465
met3-4	met	1	45	16849	15432
yH299	mock	1	60	11617	20728
yH298	Pi	1	60	14614	23700
yH299	Pi	1	60	13748	21736
yH181	mock	1	60	237	21477
yH001	mock	1	60	214	20866
yH347	mock	1	60	256	22487
yH181	Pi	1	60	247	15169
yH001	Pi	1	60	209	20782
yH347	Pi	1	60	280	21833
yH181	met	1	60	247	22169
yH001	met	1	60	230	21680
yH347	met	1	60	274	21764
yH298	mock	1	60	12806	18305
met3-1	mock	1	60	425	22529
met3-2	mock	1	60	829	21973
met3-3	mock	1	60	454	21705
met3-4	mock	1	60	437	18494
met3-1	met	1	60	14792	23206
met3-2	met	1	60	24343	22599
met3-3	met	1	60	28854	22654
met3-4	met	1	60	21517	14092
yH001	mock	1	90	215	20210
yH001	met	1	90	276	20626
yH001	Pi	1	90	291	19895
yH181	mock	1	90	216	20600
yH181	met	1	90	283	20366
yH181	Pi	1	90	241	14517
yH298	mock	1	90	13963	20610
yH298	Pi	1	90	24753	23185
yH299	mock	1	90	14516	19568
yH299	Pi	1	90	23970	21969
met3-1	mock	1	90	449	21093
met3-2	mock	1	90	830	20466
met3-3	mock	1	90	548	20329
met3-4	mock	1	90	480	21160
met3-1	met	1	90	23228	21407
met3-2	met	1	90	33468	20877
met3-3	met	1	90	36654	21674
met3-4	met	1	90	28307	13950
yH347	mock	1	90	249	21213
yH347	met	1	90	304	20175
yH347	Pi	1	90	471	21298
yH299	mock	1	120	15246	19217
yH298	Pi	1	120	36012	20981
yH299	Pi	1	120	37873	22022
yH181	mock	1	120	203	19720
yH001	mock	1	120	203	19465
yH347	mock	1	120	224	20242
yH181	Pi	1	120	220	15676
yH001	Pi	1	120	260	20469
yH347	Pi	1	120	556	21584
yH181	met	1	120	268	20328
yH001	met	1	120	277	20131
yH347	met	1	120	262	20452
yH298	mock	1	120	14220	19168
met3-1	mock	1	120	439	19981
met3-2	mock	1	120	795	19447
met3-3	mock	1	120	563	20602
met3-4	mock	1	120	455	20970
met3-1	met	1	120	20612	21067
met3-2	met	1	120	30901	20657
met3-3	met	1	120	36130	21573
met3-4	met	1	120	28058	13487
yH001	mock	2	0	168	24593
yH001	met	2	0	157	25641
yH001	Pi	2	0	155	24320
yH181	mock	2	0	160	24013
yH181	met	2	0	165	24123
yH181	Pi	2	0	307	8075
yH298	mock	2	0	6228	23689
yH298	Pi	2	0	6123	24733
yH298	mock	2	0	7679	23538
yH299	Pi	2	0	8341	13291
yH347	mock	2	0	328	10125
yH347	met	2	0	172	24031
yH347	Pi	2	0	170	25095
met3-1	mock	2	0	271	26264
met3-1	met	2	0	274	26244
met3-2	mock	2	0	404	24164
met3-2	met	2	0	463	16468
met3-3	mock	2	0	294	24337
met3-3	met	2	0	300	24791
met3-4	mock	2	0	308	25546
met3-4	met	2	0	305	25470
yH001	mock	2	30	154	23127
yH001	met	2	30	160	23112
yH001	Pi	2	30	148	23272
yH181	mock	2	30	174	23312
yH181	met	2	30	172	22287
yH181	Pi	2	30	157	22577
yH298	mock	2	30	11838	53886
yH298	Pi	2	30	11710	22750
yH299	mock	2	30	9526	22724
yH299	Pi	2	30	9284	22808
yH347	mock	2	30	193	23644
yH347	met	2	30	190	23137
yH347	Pi	2	30	183	23556
met3-1	mock	2	30	329	23306
met3-1	met	2	30	5390	25092
met3-2	mock	2	30	484	22643
met3-2	met 	2	30	5449	22890
met3-3	mock	2	30	364	23718
met3-3	met	2	30	3559	18944
met3-4	mock	2	30	347	23230
met3-4	met	2	30	2600	22756
yH001	mock	2	45	184	22439
yH001	met	2	45	180	22351
yH001	Pi	2	45	172	22518
yH181	mock	2	45	207	23138
yH181	met	2	45	200	21601
yH181	Pi	2	45	182	22366
yH298	mock	2	45	13639	22960
yH298	Pi	2	45	14427	22681
yH299	mock	2	45	9897	22703
yH299	Pi	2	45	9960	22512
yH347	mock	2	45	229	23857
yH347	met	2	45	217	23192
yH347	Pi	2	45	214	23816
met3-1	mock	2	45	324	22046
met3-1	met	2	45	9137	24569
met3-2	mock	2	45	533	22463
met3-2	met 	2	45	8604	25099
met3-3	mock	2	45	398	22930
met3-3	met	2	45	6853	22951
met3-4	mock	2	45	386	22804
met3-4	met	2	45	4624	22861
yH001	mock	2	60	194	21821
yH001	met	2	60	197	22823
yH001	Pi	2	60	187	23245
yH181	mock	2	60	215	21751
yH181	met	2	60	208	22815
yH181	Pi	2	60	208	22394
yH298	mock	2	60	15760	21700
