Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d012523-0min-0Ni-Rapa-R3,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,43,697.674,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28514,43,663.116,95.047,95.047,470623,135424,443827,124187,361429,121791,144937.02,56476.01,30.80,41.70,138314.72,46064.38,31.16,37.09
d012523-0min-0Ni-Rapa-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13020,43,302.791,43.400,99.862,431439,449537,416024,426678,396266,449485,103996.14,127876.57,24.10,28.45,104660.44,127179.65,25.16,29.81
d012523-0min-0Ni-Rapa-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,13038,43,303.209,43.460,43.460,431891,450180,416156,426865,396266,449485,104655.23,128961.96,24.23,28.65,104741.24,127403.52,25.17,29.85
d012523-0min-0Ni-Rapa-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,13020,43,302.791,43.400,43.400,5445,N/A,4932,N/A,6231,N/A,2927.93,N/A,53.77,N/A,2470.75,N/A,50.10,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,13038,43,303.209,43.460,45.725,431891,87,416156,86,396266,86,104655.23,7.15,24.23,8.22,104741.24,7.41,25.17,8.62
d012523-0min-0Ni-Rapa-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28514,43,663.116,95.047,95.047,470623,106,443827,97,361429,86,144937.02,31.75,30.80,29.98,138314.72,17.79,31.16,18.34
d012523-0min-0Ni-Rapa-R3,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,44,681.818,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,27848,44,632.909,92.827,92.827,545715,113227,518532,105299,445377,101370,152355.12,41318.18,27.92,36.49,151698.89,31663.15,29.26,30.07
d012523-0min-0Ni-Rapa-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13551,44,307.977,45.170,99.956,483406,494381,473002,478995,455749,439135,107907.04,126645.47,22.32,25.62,106099.30,127413.16,22.43,26.60
d012523-0min-0Ni-Rapa-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,13557,44,308.114,45.190,45.190,483557,494540,473051,479023,455749,439135,108122.54,126844.99,22.36,25.65,106182.33,127499.15,22.45,26.62
d012523-0min-0Ni-Rapa-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,13551,44,307.977,45.170,45.170,4782,N/A,4404,N/A,5163,N/A,2389.31,N/A,49.97,N/A,2044.51,N/A,46.42,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,13557,44,308.114,45.190,48.682,483557,88,473051,87,455749,86,108122.54,7.91,22.36,8.98,106182.33,7.41,22.45,8.52
d012523-0min-0Ni-Rapa-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,27848,44,632.909,92.827,92.827,545715,109,518532,100,445377,86,152355.12,31.90,27.92,29.32,151698.89,22.24,29.26,22.24
d012523-0min-0Ni-Rapa-R3,0min,0min,B1.fcs,B1,Experiment,None,N/A,All Events,N/A,N/A,30000,42,714.286,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,SSC-H,28452,42,677.429,94.840,94.840,528979,114347,500443,102858,439292,87007,147490.11,50616.74,27.88,44.27,141052.34,41577.29,28.19,40.42
d012523-0min-0Ni-Rapa-R3,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12505,42,297.738,41.683,99.753,476567,489167,463144,466647,472097,431122,106131.75,128592.87,22.27,26.29,104041.45,125020.24,22.46,26.79
d012523-0min-0Ni-Rapa-R3,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-A,12536,42,298.476,41.787,41.787,477355,490236,463487,467080,472097,431122,107203.99,130230.86,22.46,26.56,104368.37,125432.41,22.52,26.85
d012523-0min-0Ni-Rapa-R3,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,BL1-H,,12505,42,297.738,41.683,41.683,4959,N/A,4560,N/A,5891,N/A,2568.43,N/A,51.79,N/A,2225.38,N/A,48.80,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-W,12536,42,298.476,41.787,44.060,477355,88,463487,86,472097,86,107203.99,7.81,22.46,8.91,104368.37,7.41,22.52,8.62
d012523-0min-0Ni-Rapa-R3,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,FSC-W,28452,42,677.429,94.840,94.840,528979,111,500443,102,439292,86,147490.11,34.19,27.88,30.81,141052.34,23.72,28.19,23.26
d012523-0min-0Ni-Rapa-R3,0min,0min,B2.fcs,B2,Experiment,None,N/A,All Events,N/A,N/A,30000,46,652.174,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,SSC-H,28132,46,611.565,93.773,93.773,534615,111529,505628,103830,457681,105463,152172.82,41000.50,28.46,36.76,149166.61,31295.46,29.50,30.14
d012523-0min-0Ni-Rapa-R3,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14268,46,310.174,47.560,99.937,470126,480660,460624,466447,472104,451463,104052.63,121733.28,22.13,25.33,101349.79,121663.64,22.00,26.08
d012523-0min-0Ni-Rapa-R3,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-A,14277,46,310.370,47.590,47.590,470311,480918,460659,466600,472104,451463,104318.30,122142.09,22.18,25.40,101420.22,121703.67,22.02,26.08
d012523-0min-0Ni-Rapa-R3,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,BL1-H,,14268,46,310.174,47.560,47.560,4703,N/A,4347,N/A,5727,N/A,2330.93,N/A,49.57,N/A,1997.06,N/A,45.94,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-W,14277,46,310.370,47.590,50.750,470311,88,460659,87,472104,86,104318.30,7.61,22.18,8.66,101420.22,7.41,22.02,8.52
d012523-0min-0Ni-Rapa-R3,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,FSC-W,28132,46,611.565,93.773,93.773,534615,108,505628,99,457681,86,152172.82,31.61,28.46,29.34,149166.61,20.76,29.50,20.97
d012523-0min-0Ni-Rapa-R3,0min,0min,C1.fcs,C1,Experiment,None,N/A,All Events,N/A,N/A,30000,44,681.818,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,C1.fcs,C1,Experiment,None,,cell,FSC-H,SSC-H,28397,44,645.386,94.657,94.657,520390,114007,488512,105373,406507,84972,155047.89,42876.02,29.79,37.61,146369.68,32310.30,29.96,30.66
d012523-0min-0Ni-Rapa-R3,0min,0min,C1.fcs,C1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14254,44,323.955,47.513,99.958,460257,471764,447537,453947,406467,412722,106848.60,126363.49,23.21,26.79,102410.59,124364.19,22.88,27.40
d012523-0min-0Ni-Rapa-R3,0min,0min,C1.fcs,C1,Experiment,None,,single cell,FSC-H,FSC-A,14260,44,324.091,47.533,47.533,460409,471936,447639,454004,406467,412722,107086.63,126624.68,23.26,26.83,102418.75,124463.53,22.88,27.41
d012523-0min-0Ni-Rapa-R3,0min,0min,C1.fcs,C1,Experiment,None,,CTA1-GFP,BL1-H,,14254,44,323.955,47.513,47.513,4651,N/A,4273,N/A,4579,N/A,2434.96,N/A,52.35,N/A,2106.03,N/A,49.29,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,C1.fcs,C1,Experiment,None,,single cell,FSC-H,FSC-W,14260,44,324.091,47.533,50.217,460409,87,447639,86,406467,86,107086.63,7.88,23.26,9.03,102418.75,7.41,22.88,8.62
d012523-0min-0Ni-Rapa-R3,0min,0min,C1.fcs,C1,Experiment,None,,cell,FSC-H,FSC-W,28397,44,645.386,94.657,94.657,520390,107,488512,98,406507,86,155047.89,32.47,29.79,30.22,146369.68,20.76,29.96,21.18
d012523-0min-0Ni-Rapa-R3,0min,0min,C2.fcs,C2,Experiment,None,N/A,All Events,N/A,N/A,30000,47,638.298,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,C2.fcs,C2,Experiment,None,,cell,FSC-H,SSC-H,28493,47,606.234,94.977,94.977,518034,116248,488053,108245,461783,95192,151132.08,41995.14,29.17,36.13,141297.71,31932.24,28.95,29.50
d012523-0min-0Ni-Rapa-R3,0min,0min,C2.fcs,C2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14705,47,312.872,49.017,99.952,461735,471633,450460,455820,414643,443231,104908.75,122577.04,22.72,25.99,100572.17,120431.60,22.33,26.42
d012523-0min-0Ni-Rapa-R3,0min,0min,C2.fcs,C2,Experiment,None,,single cell,FSC-H,FSC-A,14712,47,313.021,49.040,49.040,461911,471811,450497,455881,414643,443231,105194.91,122822.40,22.77,26.03,100640.37,120507.21,22.34,26.43
d012523-0min-0Ni-Rapa-R3,0min,0min,C2.fcs,C2,Experiment,None,,CTA1-GFP,BL1-H,,14705,47,312.872,49.017,49.017,4823,N/A,4464,N/A,5028,N/A,2378.93,N/A,49.32,N/A,2044.51,N/A,45.80,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,C2.fcs,C2,Experiment,None,,single cell,FSC-H,FSC-W,14712,47,313.021,49.040,51.634,461911,87,450497,86,414643,87,105194.91,7.58,22.77,8.71,100640.37,7.41,22.34,8.62
d012523-0min-0Ni-Rapa-R3,0min,0min,C2.fcs,C2,Experiment,None,,cell,FSC-H,FSC-W,28493,47,606.234,94.977,94.977,518034,106,488053,97,461783,87,151132.08,30.76,29.17,29.01,141297.71,19.27,28.95,19.87
d012523-0min-0Ni-Rapa-R3,0min,0min,D1.fcs,D1,Experiment,None,N/A,All Events,N/A,N/A,30000,44,681.818,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,D1.fcs,D1,Experiment,None,,cell,FSC-H,SSC-H,28544,44,648.727,95.147,95.147,519004,111008,489639,103077,435223,93183,151458.57,41442.02,29.18,37.33,140362.93,30709.09,28.67,29.79
d012523-0min-0Ni-Rapa-R3,0min,0min,D1.fcs,D1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14339,44,325.886,47.797,99.930,467745,476673,455243,457993,424960,431037,108834.57,127619.40,23.27,26.77,104065.17,125685.93,22.86,27.44
d012523-0min-0Ni-Rapa-R3,0min,0min,D1.fcs,D1,Experiment,None,,single cell,FSC-H,FSC-A,14349,44,326.114,47.830,47.830,467955,476935,455298,458072,424960,431037,109125.50,127987.57,23.32,26.84,104198.61,125803.06,22.89,27.46
d012523-0min-0Ni-Rapa-R3,0min,0min,D1.fcs,D1,Experiment,None,,CTA1-GFP,BL1-H,,14339,44,325.886,47.797,47.797,4692,N/A,4341,N/A,4853,N/A,2432.45,N/A,51.84,N/A,2126.05,N/A,48.98,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,D1.fcs,D1,Experiment,None,,single cell,FSC-H,FSC-W,14349,44,326.114,47.830,50.270,467955,87,455298,86,424960,86,109125.50,7.89,23.32,9.08,104198.61,7.41,22.89,8.62
d012523-0min-0Ni-Rapa-R3,0min,0min,D1.fcs,D1,Experiment,None,,cell,FSC-H,FSC-W,28544,44,648.727,95.147,95.147,519004,107,489639,98,435223,86,151458.57,32.92,29.18,30.68,140362.93,20.76,28.67,21.18
d012523-0min-0Ni-Rapa-R3,0min,0min,D2.fcs,D2,Experiment,None,N/A,All Events,N/A,N/A,30000,45,666.667,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,D2.fcs,D2,Experiment,None,,cell,FSC-H,SSC-H,28346,45,629.911,94.487,94.487,525763,107827,499192,101328,457801,103453,147048.17,38514.10,27.97,35.72,138666.83,29661.64,27.78,29.27
d012523-0min-0Ni-Rapa-R3,0min,0min,D2.fcs,D2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14754,45,327.867,49.180,99.939,471865,481523,462347,466761,457801,453607,104301.19,122411.25,22.10,25.42,102293.47,121953.48,22.12,26.13
d012523-0min-0Ni-Rapa-R3,0min,0min,D2.fcs,D2,Experiment,None,,single cell,FSC-H,FSC-A,14763,45,328.067,49.210,49.210,472052,481785,462376,466857,457801,453607,104560.47,122844.63,22.15,25.50,102380.94,122038.73,22.14,26.14
d012523-0min-0Ni-Rapa-R3,0min,0min,D2.fcs,D2,Experiment,None,,CTA1-GFP,BL1-H,,14754,45,327.867,49.180,49.180,4719,N/A,4380,N/A,4973,N/A,2324.42,N/A,49.26,N/A,2006.70,N/A,45.82,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,D2.fcs,D2,Experiment,None,,single cell,FSC-H,FSC-W,14763,45,328.067,49.210,52.081,472052,87,462376,86,457801,86,104560.47,7.62,22.15,8.71,102380.94,7.41,22.14,8.62
d012523-0min-0Ni-Rapa-R3,0min,0min,D2.fcs,D2,Experiment,None,,cell,FSC-H,FSC-W,28346,45,629.911,94.487,94.487,525763,107,499192,98,457801,86,147048.17,32.16,27.97,30.03,138666.83,20.76,27.78,21.18
d012523-0min-0Ni-Rapa-R3,0min,0min,E1.fcs,E1,Experiment,None,N/A,All Events,N/A,N/A,30000,44,681.818,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,E1.fcs,E1,Experiment,None,,cell,FSC-H,SSC-H,28554,44,648.955,95.180,95.180,521128,111562,490622,102824,418796,87088,151851.45,41985.16,29.14,37.63,142325.89,31078.26,29.01,30.22
d012523-0min-0Ni-Rapa-R3,0min,0min,E1.fcs,E1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14478,44,329.045,48.260,99.931,465850,475620,453806,459415,402399,404393,106658.19,124290.10,22.90,26.13,101476.56,121468.67,22.36,26.44
d012523-0min-0Ni-Rapa-R3,0min,0min,E1.fcs,E1,Experiment,None,,single cell,FSC-H,FSC-A,14488,44,329.273,48.293,48.293,466107,475902,453846,459588,402399,404393,107072.13,124714.97,22.97,26.21,101546.24,121593.21,22.37,26.46
d012523-0min-0Ni-Rapa-R3,0min,0min,E1.fcs,E1,Experiment,None,,CTA1-GFP,BL1-H,,14478,44,329.045,48.260,48.260,4662,N/A,4286,N/A,4573,N/A,2436.77,N/A,52.27,N/A,2107.52,N/A,49.17,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,E1.fcs,E1,Experiment,None,,single cell,FSC-H,FSC-W,14488,44,329.273,48.293,50.739,466107,87,453846,86,402399,86,107072.13,7.68,22.97,8.80,101546.24,7.41,22.37,8.62
d012523-0min-0Ni-Rapa-R3,0min,0min,E1.fcs,E1,Experiment,None,,cell,FSC-H,FSC-W,28554,44,648.955,95.180,95.180,521128,107,490622,98,418796,86,151851.45,31.81,29.14,29.75,142325.89,20.76,29.01,21.18
d012523-0min-0Ni-Rapa-R3,0min,0min,E2.fcs,E2,Experiment,None,N/A,All Events,N/A,N/A,30000,46,652.174,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012523-0min-0Ni-Rapa-R3,0min,0min,E2.fcs,E2,Experiment,None,,cell,FSC-H,SSC-H,28082,46,610.478,93.607,93.607,537365,112888,510310,105837,449582,95225,150058.28,40079.81,27.92,35.50,146336.32,31021.18,28.68,29.31
d012523-0min-0Ni-Rapa-R3,0min,0min,E2.fcs,E2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14264,46,310.087,47.547,99.979,474547,485614,465390,470960,449558,451690,102720.56,120959.34,21.65,24.91,100332.73,120038.71,21.56,25.49
