Sample,group_name,treat,time_1_min,time_2_min
A1,wt,Ctrl,0,180
B1,wt,0Pi,0,180
C1,wt,0Nitrogen,0,180
D1,wt,50_Rapa,0,180
E1,wt,62.5_Rapa,0,180
F1,wt,100_Rapa,0,180
G1,wt,125_Rapa,0,180
H1,wt,150_Rapa,0,180
A2,wt,Ctrl,0,180
B2,wt,0Pi,0,180
C2,wt,0Nitrogen,0,180
D2,wt,50_Rapa,0,180
E2,wt,62.5_Rapa,0,180
F2,wt,100_Rapa,0,180
G2,wt,125_Rapa,0,180
H2,wt,150_Rapa,0,180
A3,wt,Ctrl,30,210
B3,wt,0Pi,30,210
C3,wt,0Nitrogen,30,210
D3,wt,50_Rapa,30,210
E3,wt,62.5_Rapa,30,210
F3,wt,100_Rapa,30,210
G3,wt,125_Rapa,30,210
H3,wt,150_Rapa,30,210
A4,wt,Ctrl,30,210
B4,wt,0Pi,30,210
C4,wt,0Nitrogen,30,210
D4,wt,50_Rapa,30,210
E4,wt,62.5_Rapa,30,210
F4,wt,100_Rapa,30,210
G4,wt,125_Rapa,30,210
H4,wt,150_Rapa,30,210
A5,wt,Ctrl,60,240
B5,wt,0Pi,60,240
C5,wt,0Nitrogen,60,240
D5,wt,50_Rapa,60,240
E5,wt,62.5_Rapa,60,240
F5,wt,100_Rapa,60,240
G5,wt,125_Rapa,60,240
H5,wt,150_Rapa,60,240
A6,wt,Ctrl,60,240
B6,wt,0Pi,60,240
C6,wt,0Nitrogen,60,240
D6,wt,50_Rapa,60,240
E6,wt,62.5_Rapa,60,240
F6,wt,100_Rapa,60,240
G6,wt,125_Rapa,60,240
H6,wt,150_Rapa,60,240
A7,wt,Ctrl,90,
B7,wt,0Pi,90,
C7,wt,0Nitrogen,90,
D7,wt,50_Rapa,90,
E7,wt,62.5_Rapa,90,
F7,wt,100_Rapa,90,
G7,wt,125_Rapa,90,
H7,wt,150_Rapa,90,
A8,wt,Ctrl,90,
B8,wt,0Pi,90,
C8,wt,0Nitrogen,90,
D8,wt,50_Rapa,90,
E8,wt,62.5_Rapa,90,
F8,wt,100_Rapa,90,
G8,wt,125_Rapa,90,
H8,wt,150_Rapa,90,
A9,wt,Ctrl,120,
B9,wt,0Pi,120,
C9,wt,0Nitrogen,120,
D9,wt,50_Rapa,120,
E9,wt,62.5_Rapa,120,
F9,wt,100_Rapa,120,
G9,wt,125_Rapa,120,
H9,wt,150_Rapa,120,
A10,wt,Ctrl,120,
B10,wt,0Pi,120,
C10,wt,0Nitrogen,120,
D10,wt,50_Rapa,120,
E10,wt,62.5_Rapa,120,
F10,wt,100_Rapa,120,
G10,wt,125_Rapa,120,
H10,wt,150_Rapa,120,
A11,wt,Ctrl,150,
B11,wt,0Pi,150,
C11,wt,0Nitrogen,150,
D11,wt,50_Rapa,150,
E11,wt,62.5_Rapa,150,
F11,wt,100_Rapa,150,
G11,wt,125_Rapa,150,
H11,wt,150_Rapa,150,
A12,wt,Ctrl,150,
B12,wt,0Pi,150,
C12,wt,0Nitrogen,150,
D12,wt,50_Rapa,150,
E12,wt,62.5_Rapa,150,
F12,wt,100_Rapa,150,
G12,wt,125_Rapa,150,
H12,wt,150_Rapa,150,
