Sample,group_name,treat,time_1_min,time_2_min,time_3_min
A1,wt,0Pi,0,90,180
B1,wt,0Pi,0,90,180
C1,msn2_ko,0Pi,0,90,180
D1,msn2_ko,0Pi,0,90,180
E1,msn2_ko,0Pi,0,90,180
F1,msn4_ko,0Pi,0,90,180
G1,msn4_ko,0Pi,0,90,180
H1,msn4_ko,0Pi,0,90,180
A2,msn2msn4_ko,0Pi,0,90,180
B2,msn2msn4_ko,0Pi,0,90,180
C2,msn2msn4_ko,0Pi,0,90,180
D2,,,,,
E2,,,,,
F2,,,,,
G2,,,,,
H2,,,,,
A3,wt,ctrl,0,90,180
B3,wt,ctrl,0,90,180
C3,msn2_ko,ctrl,0,90,180
D3,msn2_ko,ctrl,0,90,180
E3,msn2_ko,ctrl,0,90,180
F3,msn4_ko,ctrl,0,90,180
G3,msn4_ko,ctrl,0,90,180
H3,msn4_ko,ctrl,0,90,180
A4,msn2msn4_ko,ctrl,0,90,180
B4,msn2msn4_ko,ctrl,0,90,180
C4,msn2msn4_ko,ctrl,0,90,180
D4,,,,,
E4,,,,,
F4,,,,,
G4,,,,,
H4,,,,,
A5,wt,0Pi,30,120,210
B5,wt,0Pi,30,120,210
C5,msn2_ko,0Pi,30,120,210
D5,msn2_ko,0Pi,30,120,210
E5,msn2_ko,0Pi,30,120,210
F5,msn4_ko,0Pi,30,120,210
G5,msn4_ko,0Pi,30,120,210
H5,msn4_ko,0Pi,30,120,210
A6,msn2msn4_ko,0Pi,30,120,210
B6,msn2msn4_ko,0Pi,30,120,210
C6,msn2msn4_ko,0Pi,30,120,210
D6,,,,,
E6,,,,,
F6,,,,,
G6,,,,,
H6,,,,,
A7,wt,ctrl,30,120,210
B7,wt,ctrl,30,120,210
C7,msn2_ko,ctrl,30,120,210
D7,msn2_ko,ctrl,30,120,210
E7,msn2_ko,ctrl,30,120,210
F7,msn4_ko,ctrl,30,120,210
G7,msn4_ko,ctrl,30,120,210
H7,msn4_ko,ctrl,30,120,210
A8,msn2msn4_ko,ctrl,30,120,210
B8,msn2msn4_ko,ctrl,30,120,210
C8,msn2msn4_ko,ctrl,30,120,210
D8,,,,,
E8,,,,,
F8,,,,,
G8,,,,,
H8,,,,,
A9,wt,0Pi,60,150,240
B9,wt,0Pi,60,150,240
C9,msn2_ko,0Pi,60,150,240
D9,msn2_ko,0Pi,60,150,240
E9,msn2_ko,0Pi,60,150,240
F9,msn4_ko,0Pi,60,150,240
G9,msn4_ko,0Pi,60,150,240
H9,msn4_ko,0Pi,60,150,240
A10,msn2msn4_ko,0Pi,60,150,240
B10,msn2msn4_ko,0Pi,60,150,240
C10,msn2msn4_ko,0Pi,60,150,240
D10,,,,,
E10,,,,,
F10,,,,,
G10,,,,,
H10,,,,,
A11,wt,ctrl,60,150,240
B11,wt,ctrl,60,150,240
C11,msn2_ko,ctrl,60,150,240
D11,msn2_ko,ctrl,60,150,240
E11,msn2_ko,ctrl,60,150,240
F11,msn4_ko,ctrl,60,150,240
G11,msn4_ko,ctrl,60,150,240
H11,msn4_ko,ctrl,60,150,240
A12,msn2msn4_ko,ctrl,60,150,240
B12,msn2msn4_ko,ctrl,60,150,240
C12,msn2msn4_ko,ctrl,60,150,240
D12,,,,,
E12,,,,,
F12,,,,,
G12,,,,,
H12,,,,,
