Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d012823-0min-rim15-B2-R2,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,40,750.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012823-0min-rim15-B2-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28731,40,718.275,95.770,95.770,510031,115712,477100,107001,433181,105452,155013.09,44326.35,30.39,38.31,149228.14,34197.65,31.28,31.96
d012823-0min-rim15-B2-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14600,40,365.000,48.667,99.932,460659,469592,443842,447294,433171,408693,112683.55,132629.56,24.46,28.24,106078.55,129352.40,23.90,28.92
d012823-0min-rim15-B2-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,14610,40,365.250,48.700,48.700,460791,469801,443900,447329,433171,408693,112847.48,132850.57,24.49,28.28,106141.56,129438.39,23.91,28.94
d012823-0min-rim15-B2-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,14600,40,365.000,48.667,48.667,3458,N/A,2978,N/A,3097,N/A,2079.22,N/A,60.12,N/A,1527.08,N/A,51.28,N/A
d012823-0min-rim15-B2-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,14610,40,365.250,48.700,50.851,460791,85,443900,84,433171,86,112847.48,8.56,24.49,10.06,106141.56,8.90,23.91,10.59
d012823-0min-rim15-B2-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28731,40,718.275,95.770,95.770,510031,105,477100,95,433181,93,155013.09,34.01,30.39,32.25,149228.14,20.76,31.28,21.85
d012823-0min-rim15-B2-R2,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,38,789.474,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012823-0min-rim15-B2-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28532,38,750.842,95.107,95.107,520159,117031,491531,109018,435249,111581,158127.41,44404.86,30.40,37.94,155617.40,34244.35,31.66,31.41
d012823-0min-rim15-B2-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15605,38,410.658,52.017,99.949,455964,467437,447192,452908,435249,437098,105524.96,124541.05,23.14,26.64,104231.23,126139.61,23.31,27.85
d012823-0min-rim15-B2-R2,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,15613,38,410.868,52.043,52.043,456155,467667,447272,452943,435249,437098,105838.69,124926.07,23.20,26.71,104290.53,126195.94,23.32,27.86
d012823-0min-rim15-B2-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,15605,38,410.658,52.017,52.017,3095,N/A,2683,N/A,3397,N/A,1861.17,N/A,60.13,N/A,1396.61,N/A,52.05,N/A
d012823-0min-rim15-B2-R2,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,15613,38,410.868,52.043,54.721,456155,86,447272,85,435249,86,105838.69,8.18,23.20,9.47,104290.53,7.41,23.32,8.72
d012823-0min-rim15-B2-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,28532,38,750.842,95.107,95.107,520159,105,491531,94,435249,86,158127.41,32.33,30.40,30.85,155617.40,19.27,31.66,20.50
d012823-0min-rim15-B2-R2,0min,0min,A3.fcs,A3,Experiment,None,N/A,All Events,N/A,N/A,30000,50,600.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012823-0min-rim15-B2-R2,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,SSC-H,28055,50,561.100,93.517,93.517,561604,121267,534957,114091,455665,113678,153325.37,42801.82,27.30,35.30,158759.77,33887.79,29.68,29.70
d012823-0min-rim15-B2-R2,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13747,50,274.940,45.823,99.840,501750,512710,487510,493486,455622,431085,112197.98,133595.63,22.36,26.06,110100.84,135143.44,22.58,27.39
d012823-0min-rim15-B2-R2,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-A,13769,50,275.380,45.897,45.897,502247,513277,487681,493783,455622,431085,112820.17,134253.09,22.46,26.16,110363.26,135522.98,22.63,27.45
d012823-0min-rim15-B2-R2,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,BL1-H,,13747,50,274.940,45.823,45.823,3826,N/A,3352,N/A,3900,N/A,2157.25,N/A,56.39,N/A,1620.48,N/A,48.34,N/A
d012823-0min-rim15-B2-R2,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-W,13769,50,275.380,45.897,49.079,502247,87,487681,86,455622,86,112820.17,8.87,22.46,10.16,110363.26,8.90,22.63,10.34
d012823-0min-rim15-B2-R2,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,FSC-W,28055,50,561.100,93.517,93.517,561604,108,534957,99,455665,86,153325.37,32.34,27.30,29.89,158759.77,23.72,29.68,23.96
d012823-0min-rim15-B2-R2,0min,0min,A4.fcs,A4,Experiment,None,N/A,All Events,N/A,N/A,30000,41,731.707,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012823-0min-rim15-B2-R2,0min,0min,A4.fcs,A4,Experiment,None,,cell,FSC-H,SSC-H,27966,41,682.098,93.220,93.220,562633,120571,539187,114112,482326,115715,155744.05,42005.96,27.68,34.84,162166.04,33910.03,30.08,29.72
d012823-0min-rim15-B2-R2,0min,0min,A4.fcs,A4,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13611,41,331.976,45.370,99.905,501608,512162,491728,496365,519231,461873,113871.82,135194.51,22.70,26.40,114744.34,139782.49,23.33,28.16
d012823-0min-rim15-B2-R2,0min,0min,A4.fcs,A4,Experiment,None,,single cell,FSC-H,FSC-A,13624,41,332.293,45.413,45.413,501870,512458,491804,496570,519231,461873,114218.73,135493.18,22.76,26.44,114924.48,140018.22,23.37,28.20
d012823-0min-rim15-B2-R2,0min,0min,A4.fcs,A4,Experiment,None,,CTA1-GFP,BL1-H,,13611,41,331.976,45.370,45.370,3478,N/A,3070,N/A,3751,N/A,1937.00,N/A,55.69,N/A,1510.77,N/A,49.21,N/A
d012823-0min-rim15-B2-R2,0min,0min,A4.fcs,A4,Experiment,None,,single cell,FSC-H,FSC-W,13624,41,332.293,45.413,48.716,501870,87,491804,86,519231,86,114218.73,8.93,22.76,10.24,114924.48,8.90,23.37,10.34
d012823-0min-rim15-B2-R2,0min,0min,A4.fcs,A4,Experiment,None,,cell,FSC-H,FSC-W,27966,41,682.098,93.220,93.220,562633,109,539187,99,482326,86,155744.05,34.06,27.68,31.25,162166.04,23.72,30.08,23.96
d012823-0min-rim15-B2-R2,0min,0min,B1.fcs,B1,Experiment,None,N/A,All Events,N/A,N/A,30000,32,937.500,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012823-0min-rim15-B2-R2,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,SSC-H,28743,32,898.219,95.810,95.810,507233,113108,476424,104372,433276,109583,156003.42,44520.46,30.76,39.36,149953.13,33751.39,31.47,32.34
d012823-0min-rim15-B2-R2,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14242,32,445.063,47.473,99.881,460456,467571,443093,444907,445546,422859,116502.19,136367.83,25.30,29.17,112238.75,135648.26,25.33,30.49
d012823-0min-rim15-B2-R2,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-A,14259,32,445.594,47.530,47.530,460841,468040,443242,445030,445546,422859,117053.05,136995.68,25.40,29.27,112489.31,135893.63,25.38,30.54
d012823-0min-rim15-B2-R2,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,BL1-H,,14242,32,445.063,47.473,47.473,3242,N/A,2864,N/A,3979,N/A,1864.70,N/A,57.51,N/A,1411.44,N/A,49.28,N/A
d012823-0min-rim15-B2-R2,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-W,14259,32,445.594,47.530,49.609,460841,84,443242,83,445546,86,117053.05,8.49,25.40,10.07,112489.31,8.90,25.38,10.72
d012823-0min-rim15-B2-R2,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,FSC-W,28743,32,898.219,95.810,95.810,507233,107,476424,95,433276,86,156003.42,37.98,30.76,35.46,149953.13,22.24,31.47,23.41
d012823-0min-rim15-B2-R2,0min,0min,B2.fcs,B2,Experiment,None,N/A,All Events,N/A,N/A,30000,39,769.231,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012823-0min-rim15-B2-R2,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,SSC-H,28708,39,736.103,95.693,95.693,510917,115306,484305,107721,453639,107499,162603.80,43659.41,31.83,37.86,162997.04,34840.36,33.66,32.34
d012823-0min-rim15-B2-R2,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15488,39,397.128,51.627,99.974,450904,461679,441174,446217,433264,441450,109283.32,128336.71,24.24,27.80,110788.77,131995.13,25.11,29.58
d012823-0min-rim15-B2-R2,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-A,15492,39,397.231,51.640,51.640,450995,461801,441229,446285,433264,441450,109419.35,128545.15,24.26,27.84,110854.00,132060.37,25.12,29.59
d012823-0min-rim15-B2-R2,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,BL1-H,,15488,39,397.128,51.627,51.627,3018,N/A,2541,N/A,3901,N/A,1934.47,N/A,64.09,N/A,1441.09,N/A,56.71,N/A
d012823-0min-rim15-B2-R2,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-W,15492,39,397.231,51.640,53.964,450995,86,441229,85,433264,87,109419.35,8.33,24.26,9.68,110854.00,8.90,25.12,10.47
