Sample,group_name,treat,time_1_min,time_2_min,time_3_min
A1,wt,0Pi,0,90,180
B1,wt,0Pi,0,90,180
C1,S1032E_S1038E,0Pi,0,90,180
D1,S1032E_S1038E,0Pi,0,90,180
E1,S1032E_S1038E,0Pi,0,90,180
F1,S986E_S1032E_S1038E,0Pi,0,90,180
G1,S986E_S1032E_S1038E,0Pi,0,90,180
H1,S986E_S1032E_S1038E,0Pi,0,90,180
A2,S986E_S1032E_S1050E,0Pi,0,90,180
B2,S986E_S1032E_S1050E,0Pi,0,90,180
C2,S986E_S1032E_S1050E,0Pi,0,90,180
D2,rim15_ko,0Pi,0,90,180
E2,rim15_ko,0Pi,0,90,180
F2,rim15_ko,0Pi,0,90,180
G2,,,,,
H2,,,,,
A3,wt,ctrl,0,90,180
B3,wt,ctrl,0,90,180
C3,S1032E_S1038E,ctrl,0,90,180
D3,S1032E_S1038E,ctrl,0,90,180
E3,S1032E_S1038E,ctrl,0,90,180
F3,S986E_S1032E_S1038E,ctrl,0,90,180
G3,S986E_S1032E_S1038E,ctrl,0,90,180
H3,S986E_S1032E_S1038E,ctrl,0,90,180
A4,S986E_S1032E_S1050E,ctrl,0,90,180
B4,S986E_S1032E_S1050E,ctrl,0,90,180
C4,S986E_S1032E_S1050E,ctrl,0,90,180
D4,rim15_ko,ctrl,0,90,180
E4,rim15_ko,ctrl,0,90,180
F4,rim15_ko,ctrl,0,90,180
G4,,,,,
H4,,,,,
A5,wt,0Pi,30,120,210
B5,wt,0Pi,30,120,210
C5,S1032E_S1038E,0Pi,30,120,210
D5,S1032E_S1038E,0Pi,30,120,210
E5,S1032E_S1038E,0Pi,30,120,210
F5,S986E_S1032E_S1038E,0Pi,30,120,210
G5,S986E_S1032E_S1038E,0Pi,30,120,210
H5,S986E_S1032E_S1038E,0Pi,30,120,210
A6,S986E_S1032E_S1050E,0Pi,30,120,210
B6,S986E_S1032E_S1050E,0Pi,30,120,210
C6,S986E_S1032E_S1050E,0Pi,30,120,210
D6,rim15_ko,0Pi,30,120,210
E6,rim15_ko,0Pi,30,120,210
F6,rim15_ko,0Pi,30,120,210
G6,,,,,
H6,,,,,
A7,wt,ctrl,30,120,210
B7,wt,ctrl,30,120,210
C7,S1032E_S1038E,ctrl,30,120,210
D7,S1032E_S1038E,ctrl,30,120,210
E7,S1032E_S1038E,ctrl,30,120,210
F7,S986E_S1032E_S1038E,ctrl,30,120,210
G7,S986E_S1032E_S1038E,ctrl,30,120,210
H7,S986E_S1032E_S1038E,ctrl,30,120,210
A8,S986E_S1032E_S1050E,ctrl,30,120,210
B8,S986E_S1032E_S1050E,ctrl,30,120,210
C8,S986E_S1032E_S1050E,ctrl,30,120,210
D8,rim15_ko,ctrl,30,120,210
E8,rim15_ko,ctrl,30,120,210
F8,rim15_ko,ctrl,30,120,210
G8,,,,,
H8,,,,,
A9,wt,0Pi,60,150,240
B9,wt,0Pi,60,150,240
C9,S1032E_S1038E,0Pi,60,150,240
D9,S1032E_S1038E,0Pi,60,150,240
E9,S1032E_S1038E,0Pi,60,150,240
F9,S986E_S1032E_S1038E,0Pi,60,150,240
G9,S986E_S1032E_S1038E,0Pi,60,150,240
H9,S986E_S1032E_S1038E,0Pi,60,150,240
A10,S986E_S1032E_S1050E,0Pi,60,150,240
B10,S986E_S1032E_S1050E,0Pi,60,150,240
C10,S986E_S1032E_S1050E,0Pi,60,150,240
D10,rim15_ko,0Pi,60,150,240
E10,rim15_ko,0Pi,60,150,240
F10,rim15_ko,0Pi,60,150,240
G10,,,,,
H10,,,,,
A11,wt,ctrl,60,150,240
B11,wt,ctrl,60,150,240
C11,S1032E_S1038E,ctrl,60,150,240
D11,S1032E_S1038E,ctrl,60,150,240
E11,S1032E_S1038E,ctrl,60,150,240
F11,S986E_S1032E_S1038E,ctrl,60,150,240
G11,S986E_S1032E_S1038E,ctrl,60,150,240
H11,S986E_S1032E_S1038E,ctrl,60,150,240
A12,S986E_S1032E_S1050E,ctrl,60,150,240
B12,S986E_S1032E_S1050E,ctrl,60,150,240
C12,S986E_S1032E_S1050E,ctrl,60,150,240
D12,rim15_ko,ctrl,60,150,240
E12,rim15_ko,ctrl,60,150,240
F12,rim15_ko,ctrl,60,150,240
G12,,,,,
H12,,,,,
