Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,A1,17074,7980,7983,4674.29,52.41,47.45
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,A2,19578,6236,7247,3899.07,55.6,48.59
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,A3,17440,7971,8991,4519.13,50.74,45.29
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,B1,17699,8147,7979,4872.38,52.78,47.88
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,B2,19796,6710,8684,3904.04,52.14,46.51
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,B3,17899,8453,9832,4697.59,49.96,45.48
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,C1,18169,6418,7239,3513.88,49.33,45.28
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,C3,17963,6564,6912,3332.44,46.3,42.15
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,D1,18418,6389,7131,3311.83,47.11,43.17
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,D3,18565,6482,7851,3186.69,45.09,41.72
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,E1,19388,6327,7250,3401.46,48.74,44.6
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,E3,18026,6479,6914,3272.89,46.31,42.23
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,F1,18404,6077,6232,3570.02,52.34,48.48
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,F3,17592,6246,7846,3452.41,49.65,46.4
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,G1,18154,5857,6913,3634.5,54.92,49.66
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,H1,17628,7136,9004,4358.87,54.03,48.14
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,C2,18207,4999,6139,3166.23,56.29,48.82
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,D2,18450,5312,6909,3007.61,50.86,47.05
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,E2,17293,5714,6418,3518.52,55.06,47.72
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,A4,16865,6493,6913,3810.35,52.37,46.26
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,B4,17697,7130,7363,3760.6,47.88,43.44
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,C4,16641,5181,5431,3148.57,54.32,46.47
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,D4,18130,5670,6510,3426.31,55.19,44.47
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,E4,17335,5842,6810,3416.86,52.65,46.52
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,G3,17636,6121,7479,3585.15,52.45,47.81
Rep1-0Pi-Ctrl,d101421-0min-0Pi-rim15-R1,0min,H3,17771,7475,7980,4304.1,51.66,46.05
Rep2-0Pi-Ctrl,d101521-0min-0Pi-rim15-R2,0min,A1,15768,7911,10007,5204.49,56.84,51.89
Rep2-0Pi-Ctrl,d101521-0min-0Pi-rim15-R2,0min,A2,16884,5540,6810,4118.1,62.56,52.45
Rep2-0Pi-Ctrl,d101521-0min-0Pi-rim15-R2,0min,A3,16220,8439,9152,4919.95,51.62,47.37
Rep2-0Pi-Ctrl,d101521-0min-0Pi-rim15-R2,0min,B1,16957,8726,9481,6274.92,62.29,47.44
Rep2-0Pi-Ctrl,d101521-0min-0Pi-rim15-R2,0min,B2,16972,6650,7983,4420.84,57.8,50.12
Rep2-0Pi-Ctrl,d101521-0min-0Pi-rim15-R2,0min,B3,17963,9380,9315,6001.14,56.3,45.88
Rep2-0Pi-Ctrl,d101521-0min-0Pi-rim15-R2,0min,C1,16938,5890,6603,3459.19,52.2,47.98
Rep2-0Pi-Ctrl,d101521-0min-0Pi-rim15-R2,0min,C3,14547,6264,6603,3315.68,48.1,44.38
Rep2-0Pi-Ctrl,d101521-0min-0Pi-rim15-R2,0min,D1,19076,5620,6607,3180.33,50.74,46.93
Rep2-0Pi-Ctrl,d101521-0min-0Pi-rim15-R2,0min,D3,18111,6414,7722,3390.88,47.93,44.45
Rep2-0Pi-Ctrl,d101521-0min-0Pi-rim15-R2,0min,E1,18929,5966,6514,3463.68,51.98,47.66
