Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,54,555.556,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28344,54,524.889,94.480,94.480,542907,119619,512362,112179,465745,113692,158703.89,43703.99,29.23,36.54,161335.05,35476.39,31.49,31.62
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13240,54,245.185,44.133,99.925,483280,502082,467658,481822,465803,455695,116133.17,139726.48,24.03,27.83,112945.95,142499.36,24.15,29.58
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,13250,54,245.370,44.167,44.167,483524,502396,467738,481984,465803,455695,116435.48,140143.34,24.08,27.89,113028.23,142743.24,24.16,29.62
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,13240,54,245.185,44.133,44.133,341,N/A,322,N/A,278,N/A,142.27,N/A,41.75,N/A,128.99,N/A,40.06,N/A
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,13250,54,245.370,44.167,46.747,483524,87,467738,86,465803,86,116435.48,8.39,24.08,9.63,113028.23,8.90,24.16,10.34
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28344,54,524.889,94.480,94.480,542907,110,512362,101,465745,86,158703.89,33.52,29.23,30.39,161335.05,25.20,31.49,24.95
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,60,500.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28003,60,466.717,93.343,93.343,562617,120499,535123,113721,453745,109639,157754.50,41845.28,28.04,34.73,164077.86,34706.18,30.66,30.52
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12726,60,212.100,42.420,99.914,493457,514510,480663,495446,449555,457740,111446.02,135373.83,22.58,26.31,107168.26,135147.88,22.30,27.28
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,12737,60,212.283,42.457,42.457,493733,514862,480749,495492,449555,457740,111798.93,135845.78,22.64,26.38,107209.77,135439.96,22.30,27.33
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,12726,60,212.100,42.420,42.420,351,N/A,333,N/A,279,N/A,141.52,N/A,40.28,N/A,130.47,N/A,39.18,N/A
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,12737,60,212.283,42.457,45.484,493733,88,480749,87,449555,86,111798.93,8.33,22.64,9.43,107209.77,8.90,22.30,10.22
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,28003,60,466.717,93.343,93.343,562617,112,535123,103,453745,86,157754.50,33.08,28.04,29.65,164077.86,25.20,30.66,24.47
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A3.fcs,A3,Experiment,None,N/A,All Events,N/A,N/A,30000,62,483.871,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,SSC-H,27120,62,437.419,90.400,90.400,586855,126173,564477,119099,492505,119760,156584.30,43069.69,26.68,34.14,171623.55,35371.13,30.40,29.70
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,11727,62,189.145,39.090,99.864,515421,537142,503079,519248,492616,519335,113348.25,137235.77,21.99,25.55,116252.15,144772.92,23.11,27.88
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-A,11743,62,189.403,39.143,39.143,515856,537665,503319,519441,492616,519335,113886.49,137874.08,22.08,25.64,116398.92,145036.83,23.13,27.92
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,BL1-H,,11727,62,189.145,39.090,39.090,375,N/A,353,N/A,312,N/A,157.82,N/A,42.10,N/A,136.40,N/A,38.64,N/A
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-W,11743,62,189.403,39.143,43.300,515856,89,503319,88,492616,87,113886.49,8.55,22.08,9.60,116398.92,8.90,23.13,10.11
d010323-0min-0NPi-D80-GFP-R3,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,FSC-W,27120,62,437.419,90.400,90.400,586855,114,564477,106,492505,87,156584.30,34.14,26.68,29.85,171623.55,28.17,30.40,26.57
d010323-0min-0NPi-D80-GFP-R3,0min,0min,B1.fcs,B1,Experiment,None,N/A,All Events,N/A,N/A,30000,50,600.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d010323-0min-0NPi-D80-GFP-R3,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,SSC-H,27379,50,547.580,91.263,91.263,532867,120178,506283,112826,459827,115646,170812.73,45146.92,32.06,37.57,167120.15,37560.19,33.01,33.29
d010323-0min-0NPi-D80-GFP-R3,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12294,50,245.880,40.980,99.927,478888,497135,465227,478269,459831,435303,115158.44,138229.65,24.05,27.81,109108.98,137107.88,23.45,28.67
