Sample,group_name,treat,time_1_min,time_2_min,time_3_min
A1,Cgmsn2::ScDal80pr-yeGFP,0Nitrogen,0,90,180
B1,Cgmsn2::ScDal80pr-yeGFP,0Nitrogen,0,90,180
C1,Cgmsn2::ScDal80pr-yeGFP,0Nitrogen,0,90,180
D1,K699-pRS315-ScDal80pr-yeGFP,0Nitrogen,0,90,180
E1,K699-pRS315-ScDal80pr-yeGFP,0Nitrogen,0,90,180
F1,K699-pRS315-ScDal80pr-yeGFP,0Nitrogen,0,90,180
G1,S288C-pRS315-ScDal80pr-yeGFP,0Nitrogen,0,90,180
H1,S288C-pRS315-ScDal80pr-yeGFP,0Nitrogen,0,90,180
A2,Cgmsn2::ScDal80pr-yeGFP,0Pi,0,90,180
B2,Cgmsn2::ScDal80pr-yeGFP,0Pi,0,90,180
C2,Cgmsn2::ScDal80pr-yeGFP,0Pi,0,90,180
D2,K699-pRS315-ScDal80pr-yeGFP,0Pi,0,90,180
E2,K699-pRS315-ScDal80pr-yeGFP,0Pi,0,90,180
F2,K699-pRS315-ScDal80pr-yeGFP,0Pi,0,90,180
G2,S288C-pRS315-ScDal80pr-yeGFP,0Pi,0,90,180
H2,S288C-pRS315-ScDal80pr-yeGFP,0Pi,0,90,180
A3,Cgmsn2::ScDal80pr-yeGFP,ctrl,0,90,180
B3,Cgmsn2::ScDal80pr-yeGFP,ctrl,0,90,180
C3,Cgmsn2::ScDal80pr-yeGFP,ctrl,0,90,180
D3,K699-pRS315-ScDal80pr-yeGFP,ctrl,0,90,180
E3,K699-pRS315-ScDal80pr-yeGFP,ctrl,0,90,180
F3,K699-pRS315-ScDal80pr-yeGFP,ctrl,0,90,180
G3,S288C-pRS315-ScDal80pr-yeGFP,ctrl,0,90,180
H3,S288C-pRS315-ScDal80pr-yeGFP,ctrl,0,90,180
A4,,,,,
B4,,,,,
C4,,,,,
D4,,,,,
E4,,,,,
F4,,,,,
G4,,,,,
H4,,,,,
A5,Cgmsn2::ScDal80pr-yeGFP,0Nitrogen,30,120,210
B5,Cgmsn2::ScDal80pr-yeGFP,0Nitrogen,30,120,210
C5,Cgmsn2::ScDal80pr-yeGFP,0Nitrogen,30,120,210
D5,K699-pRS315-ScDal80pr-yeGFP,0Nitrogen,30,120,210
E5,K699-pRS315-ScDal80pr-yeGFP,0Nitrogen,30,120,210
F5,K699-pRS315-ScDal80pr-yeGFP,0Nitrogen,30,120,210
G5,S288C-pRS315-ScDal80pr-yeGFP,0Nitrogen,30,120,210
H5,S288C-pRS315-ScDal80pr-yeGFP,0Nitrogen,30,120,210
A6,Cgmsn2::ScDal80pr-yeGFP,0Pi,30,120,210
B6,Cgmsn2::ScDal80pr-yeGFP,0Pi,30,120,210
C6,Cgmsn2::ScDal80pr-yeGFP,0Pi,30,120,210
D6,K699-pRS315-ScDal80pr-yeGFP,0Pi,30,120,210
E6,K699-pRS315-ScDal80pr-yeGFP,0Pi,30,120,210
F6,K699-pRS315-ScDal80pr-yeGFP,0Pi,30,120,210
