date	species	treatment	target	signal	whole_prot
20211217	Cg	rich	P-Rps6	4.097119927	642.0759125
20211217	Cg	noNi	P-Rps6	0.071894646	436.396534
20211217	Cg	noPi	P-Rps6	0.048330545	454.8846588
20211217	Sc	rich	P-Rps6	3.626069784	500.6718826
20211217	Sc	noNi	P-Rps6	0.861804962	475.075531
20211217	Sc	noPi	P-Rps6	3.931887507	636.3936539
20211217	Cg	rich	total Rps6	1.077999055	590.962101
20211217	Cg	noNi	total Rps6	0.736788332	473.0901146
20211217	Cg	noPi	total Rps6	0.472937346	588.9350243
20211217	Sc	rich	total Rps6	2.011683464	607.9288368
20211217	Sc	noNi	total Rps6	1.300308228	568.8069077
20211217	Sc	noPi	total Rps6	1.428873658	1114.571102
20220111	Sc	noPi	P-Rps6	3.443715215	146.7919559
20220111	Sc	noNi	P-Rps6	0.769920707	167.2492466
20220111	Sc	rich	P-Rps6	3.582338452	165.1583405
20220111	Cg	noPi	P-Rps6	0.010633349	186.6443634
20220111	Cg	noNi	P-Rps6	0.009837568	178.3262672
20220111	Cg	rich	P-Rps6	2.713458002	208.1820393
20220111	Sc	noPi	total Rps6	2.180235386	166.9924812
20220111	Sc	noNi	total Rps6	2.639034927	131.2083178
20220111	Sc	rich	total Rps6	2.426062763	145.7709799
20220111	Cg	noPi	total Rps6	0.509051204	156.0178509
20220111	Cg	noNi	total Rps6	0.727959156	138.470437
20220111	Cg	rich	total Rps6	1.098499596	183.9019184
20220113	Cg	rich	P-Rps6	3.813598335	481.0793903
20220113	Cg	noNi	P-Rps6	0.039618134	347.7654841
20220113	Cg	noPi	P-Rps6	-0.020084918	442.5648179
20220113	Sc	rich	P-Rps6	5.478148937	412.2940919
20220113	Sc	noNi	P-Rps6	0.692611217	344.2298858
20220113	Sc	noPi	P-Rps6	4.140626073	373.8891299
20220113	Cg	rich	total Rps6	0.936395884	362.7403321
20220113	Cg	noNi	total Rps6	0.840073109	342.2980986
20220113	Cg	noPi	total Rps6	0.629189253	444.726656
20220113	Sc	rich	total Rps6	3.074437141	459.5301633
20220113	Sc	noNi	total Rps6	2.483814478	316.1775427
20220113	Sc	noPi	total Rps6	1.96853137	395.2544973
