treatment	date	picture_name	genotype	nuc	cyto	total_fluorescent_cell
0Pi	d111522	rim15_ko_0Pi_1	rim15_ko	3	3	6
0Pi	d111522	rim15_ko_0Pi_2	rim15_ko	3	4	7
0Pi	d111522	rim15_ko_0Pi_3	rim15_ko	3	4	7
0Pi	d111522	rim15_ko_0Pi_4	rim15_ko	2	11	13
0Pi	d111522	rim15_ko_0Pi_5	rim15_ko	8	21	29
0Pi	d111622	rim15_ko_0Pi_1	rim15_ko	7	2	9
0Pi	d111622	rim15_ko_0Pi_2	rim15_ko	3	5	8
0Pi	d111622	rim15_ko_0Pi_3	rim15_ko	0	4	4
0Pi	d111622	rim15_ko_0Pi_4	rim15_ko	1	16	17
0Pi	d111622	rim15_ko_0Pi_5	rim15_ko	1	35	36
0Pi	d111622	rim15_ko_0Pi_6	rim15_ko	2	13	15
0Pi	d111722	rim15_ko_0Pi_1	rim15_ko	4	3	7
0Pi	d111722	rim15_ko_0Pi_2	rim15_ko	12	3	15
0Pi	d111722	rim15_ko_0Pi_3	rim15_ko	6	2	8
0Pi	d111722	rim15_ko_0Pi_4	rim15_ko	2	1	3
0Pi	d111722	rim15_ko_0Pi_5	rim15_ko	1	6	7
Ctrl	d111522	rim15_ko_Ctrl_1	rim15_ko	0	8	8
Ctrl	d111522	rim15_ko_Ctrl_2	rim15_ko	0	6	6
Ctrl	d111522	rim15_ko_Ctrl_3	rim15_ko	0	9	9
Ctrl	d111522	rim15_ko_Ctrl_4	rim15_ko	0	10	10
Ctrl	d111522	rim15_ko_Ctrl_5	rim15_ko	1	16	17
Ctrl	d111622	rim15_ko_Ctrl_1	rim15_ko	0	12	12
Ctrl	d111622	rim15_ko_Ctrl_2	rim15_ko	1	17	18
Ctrl	d111622	rim15_ko_Ctrl_3	rim15_ko	1	11	12
Ctrl	d111622	rim15_ko_Ctrl_4	rim15_ko	0	14	14
Ctrl	d111622	rim15_ko_Ctrl_5	rim15_ko	1	13	14
Ctrl	d111722	rim15_ko_Ctrl_1	rim15_ko	0	13	13
Ctrl	d111722	rim15_ko_Ctrl_2	rim15_ko	2	10	12
Ctrl	d111722	rim15_ko_Ctrl_3	rim15_ko	1	17	18
Ctrl	d111722	rim15_ko_Ctrl_4	rim15_ko	3	49	52
Ctrl	d111722	rim15_ko_Ctrl_5	rim15_ko	5	20	25
0Pi	d111522	wt_ko_0Pi_1	wt	4	0	4
0Pi	d111522	wt_ko_0Pi_2	wt	2	0	2
0Pi	d111522	wt_ko_0Pi_3	wt	11	5	16
0Pi	d111522	wt_ko_0Pi_4	wt	17	10	27
0Pi	d111522	wt_ko_0Pi_5	wt	21	13	34
0Pi	d111622	wt_ko_0Pi_1	wt	8	3	11
0Pi	d111622	wt_ko_0Pi_2	wt	5	2	7
0Pi	d111622	wt_ko_0Pi_3	wt	4	2	6
0Pi	d111622	wt_ko_0Pi_4	wt	7	1	8
0Pi	d111622	wt_ko_0Pi_5	wt	3	1	4
0Pi	d111722	wt_ko_0Pi_1	wt	19	21	40
0Pi	d111722	wt_ko_0Pi_2	wt	13	7	20
0Pi	d111722	wt_ko_0Pi_3	wt	13	8	21
0Pi	d111722	wt_ko_0Pi_4	wt	6	10	16
0Pi	d111722	wt_ko_0Pi_5	wt	8	13	21
Ctrl	d111522	wt_ko_Ctrl_1	wt	0	10	10
Ctrl	d111522	wt_ko_Ctrl_2	wt	5	23	28
Ctrl	d111522	wt_ko_Ctrl_3	wt	2	20	22
Ctrl	d111522	wt_ko_Ctrl_4	wt	2	32	34
Ctrl	d111522	wt_ko_Ctrl_5	wt	2	17	19
Ctrl	d111622	wt_ko_Ctrl_1	wt	0	5	5
Ctrl	d111622	wt_ko_Ctrl_2	wt	0	6	6
Ctrl	d111622	wt_ko_Ctrl_3	wt	2	6	8
Ctrl	d111622	wt_ko_Ctrl_4	wt	2	10	12
Ctrl	d111622	wt_ko_Ctrl_5	wt	2	8	10
Ctrl	d111722	wt_ko_Ctrl_1	wt	0	7	7
Ctrl	d111722	wt_ko_Ctrl_2	wt	2	11	13
Ctrl	d111722	wt_ko_Ctrl_3	wt	0	2	2
Ctrl	d111722	wt_ko_Ctrl_4	wt	0	9	9
Ctrl	d111722	wt_ko_Ctrl_5	wt	0	8	8
