Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d051223-0min-SCH9-3E-R3,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,38,789.474,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d051223-0min-SCH9-3E-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28821,38,758.447,96.070,96.070,460058,142110,431619,130588,371760,109556,143951.77,56154.85,31.29,39.51,137081.19,48746.40,31.76,37.33
d051223-0min-SCH9-3E-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13015,38,342.500,43.383,99.969,418787,437075,405258,416034,371703,349173,98022.75,120330.24,23.41,27.53,97953.90,119592.44,24.17,28.75
d051223-0min-SCH9-3E-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,13019,38,342.605,43.397,43.397,418888,437223,405356,416081,371703,349173,98175.27,120608.86,23.44,27.59,98066.58,119625.06,24.19,28.75
d051223-0min-SCH9-3E-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,13015,38,342.500,43.383,43.383,5150,N/A,4490,N/A,4794,N/A,2823.75,N/A,54.83,N/A,2140.87,N/A,47.68,N/A
d051223-0min-SCH9-3E-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,13019,38,342.605,43.397,45.172,418888,87,405356,86,371703,86,98175.27,6.76,23.44,7.76,98066.58,7.41,24.19,8.62
d051223-0min-SCH9-3E-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28821,38,758.447,96.070,96.070,460058,104,431619,97,371760,86,143951.77,28.43,31.29,27.32,137081.19,16.31,31.76,16.81
d051223-0min-SCH9-3E-R3,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,37,810.811,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d051223-0min-SCH9-3E-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28861,37,780.027,96.203,96.203,483373,114578,445179,103744,404661,107482,162111.65,47790.10,33.54,41.71,150016.88,34830.72,33.70,33.57
d051223-0min-SCH9-3E-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14031,37,379.216,46.770,99.900,435478,442732,415959,418019,400349,390229,114295.80,132472.89,26.25,29.92,104271.26,124698.52,25.07,29.83
d051223-0min-SCH9-3E-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,14045,37,379.595,46.817,46.817,435873,443149,416036,418151,400349,390229,114922.12,133067.61,26.37,30.03,104410.62,124769.68,25.10,29.84
d051223-0min-SCH9-3E-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,14031,37,379.216,46.770,46.770,3809,N/A,3286,N/A,4106,N/A,2164.68,N/A,56.84,N/A,1647.17,N/A,50.13,N/A
d051223-0min-SCH9-3E-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,14045,37,379.595,46.817,48.664,435873,86,416036,85,400349,86,114922.12,7.84,26.37,9.13,104410.62,7.41,25.10,8.72
d051223-0min-SCH9-3E-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,28861,37,780.027,96.203,96.203,483373,106,445179,96,404661,86,162111.65,33.54,33.54,31.70,150016.88,19.27,33.70,20.08
d051223-0min-SCH9-3E-R3,0min,0min,B1.fcs,B1,Experiment,None,N/A,All Events,N/A,N/A,30000,46,652.174,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d051223-0min-SCH9-3E-R3,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,SSC-H,28206,46,613.174,94.020,94.020,556127,125607,529088,119750,474126,123849,153477.18,44313.35,27.60,35.28,154554.38,39184.38,29.21,32.72
d051223-0min-SCH9-3E-R3,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,11479,46,249.543,38.263,99.904,474850,493503,465245,476236,474128,457629,99438.32,125684.19,20.94,25.47,96004.28,124428.69,20.64,26.13
d051223-0min-SCH9-3E-R3,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-A,11490,46,249.783,38.300,38.300,475164,493922,465350,476358,474128,457629,99912.15,126349.65,21.03,25.58,96113.99,124545.81,20.65,26.15
d051223-0min-SCH9-3E-R3,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,BL1-H,,11479,46,249.543,38.263,38.263,4567,N/A,4297,N/A,4628,N/A,1879.47,N/A,41.15,N/A,1586.38,N/A,36.92,N/A
d051223-0min-SCH9-3E-R3,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-W,11490,46,249.783,38.300,40.736,475164,89,465350,88,474128,87,99912.15,7.63,21.03,8.57,96113.99,7.41,20.65,8.42
d051223-0min-SCH9-3E-R3,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,FSC-W,28206,46,613.174,94.020,94.020,556127,114,529088,104,474126,87,153477.18,33.90,27.60,29.75,154554.38,23.72,29.21,22.81
d051223-0min-SCH9-3E-R3,0min,0min,B2.fcs,B2,Experiment,None,N/A,All Events,N/A,N/A,30000,42,714.286,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d051223-0min-SCH9-3E-R3,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,SSC-H,28586,42,680.619,95.287,95.287,500964,119575,463245,109074,425013,111671,161808.67,47924.44,32.30,40.08,154132.58,35600.19,33.27,32.64
d051223-0min-SCH9-3E-R3,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13844,42,329.619,46.147,99.971,443616,453620,426244,431446,390058,371712,112022.24,130731.24,25.25,28.82,104588.53,126241.91,24.54,29.26
d051223-0min-SCH9-3E-R3,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-A,13848,42,329.714,46.160,46.160,443687,453724,426274,431471,390058,371712,112123.64,130881.38,25.27,28.85,104601.88,126298.24,24.54,29.27
d051223-0min-SCH9-3E-R3,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,BL1-H,,13844,42,329.619,46.147,46.147,4273,N/A,3741,N/A,4420,N/A,2335.91,N/A,54.67,N/A,1788.02,N/A,47.80,N/A
d051223-0min-SCH9-3E-R3,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-W,13848,42,329.714,46.160,48.443,443687,87,426274,85,390058,86,112123.64,7.84,25.27,9.04,104601.88,7.41,24.54,8.72
