Sample,group_name,treat,time_1_min,time_2_min,time_3_min
A1,wt,0Pi,0,90,180
B1,wt,0Pi,0,90,180
C1,pho80_ko,0Pi,0,90,180
D1,pho80_ko,0Pi,0,90,180
E1,pho80_ko_Sch9_2E,0Pi,0,90,180
F1,pho80_ko_Sch9_2E,0Pi,0,90,180
G1,pho81_ko,0Pi,0,90,180
H1,pho81_ko,0Pi,0,90,180
A2,pho81_ko_Sch9_2E,0Pi,0,90,180
B2,pho81_ko_Sch9_2E,0Pi,0,90,180
C2,wt_CgSCH9-Nat,0Pi,0,90,180
D2,wt_CgSCH9-Nat,0Pi,0,90,180
E2,CgSCH9_3E-Nat,0Pi,0,90,180
F2,CgSCH9_3E-Nat,0Pi,0,90,180
G2,,,,,
H2,,,,,
A3,wt,ctrl,0,90,180
B3,wt,ctrl,0,90,180
C3,pho80_ko,ctrl,0,90,180
D3,pho80_ko,ctrl,0,90,180
E3,pho80_ko_Sch9_2E,ctrl,0,90,180
F3,pho80_ko_Sch9_2E,ctrl,0,90,180
G3,pho81_ko,ctrl,0,90,180
H3,pho81_ko,ctrl,0,90,180
A4,pho81_ko_Sch9_2E,ctrl,0,90,180
B4,pho81_ko_Sch9_2E,ctrl,0,90,180
C4,wt_CgSCH9-Nat,ctrl,0,90,180
D4,wt_CgSCH9-Nat,ctrl,0,90,180
E4,CgSCH9_3E-Nat,ctrl,0,90,180
F4,CgSCH9_3E-Nat,ctrl,0,90,180
G4,,,,,
H4,,,,,
A5,wt,0Pi,30,120,210
B5,wt,0Pi,30,120,210
C5,pho80_ko,0Pi,30,120,210
D5,pho80_ko,0Pi,30,120,210
E5,pho80_ko_Sch9_2E,0Pi,30,120,210
F5,pho80_ko_Sch9_2E,0Pi,30,120,210
G5,pho81_ko,0Pi,30,120,210
H5,pho81_ko,0Pi,30,120,210
A6,pho81_ko_Sch9_2E,0Pi,30,120,210
B6,pho81_ko_Sch9_2E,0Pi,30,120,210
C6,wt_CgSCH9-Nat,0Pi,30,120,210
D6,wt_CgSCH9-Nat,0Pi,30,120,210
E6,CgSCH9_3E-Nat,0Pi,30,120,210
F6,CgSCH9_3E-Nat,0Pi,30,120,210
G6,,,,,
H6,,,,,
A7,wt,ctrl,30,120,210
B7,wt,ctrl,30,120,210
C7,pho80_ko,ctrl,30,120,210
D7,pho80_ko,ctrl,30,120,210
E7,pho80_ko_Sch9_2E,ctrl,30,120,210
F7,pho80_ko_Sch9_2E,ctrl,30,120,210
G7,pho81_ko,ctrl,30,120,210
H7,pho81_ko,ctrl,30,120,210
A8,pho81_ko_Sch9_2E,ctrl,30,120,210
B8,pho81_ko_Sch9_2E,ctrl,30,120,210
C8,wt_CgSCH9-Nat,ctrl,30,120,210
D8,wt_CgSCH9-Nat,ctrl,30,120,210
E8,CgSCH9_3E-Nat,ctrl,30,120,210
F8,CgSCH9_3E-Nat,ctrl,30,120,210
G8,,,,,
H8,,,,,
A9,wt,0Pi,60,150,240
B9,wt,0Pi,60,150,240
C9,pho80_ko,0Pi,60,150,240
D9,pho80_ko,0Pi,60,150,240
E9,pho80_ko_Sch9_2E,0Pi,60,150,240
F9,pho80_ko_Sch9_2E,0Pi,60,150,240
G9,pho81_ko,0Pi,60,150,240
H9,pho81_ko,0Pi,60,150,240
A10,pho81_ko_Sch9_2E,0Pi,60,150,240
B10,pho81_ko_Sch9_2E,0Pi,60,150,240
C10,wt_CgSCH9-Nat,0Pi,60,150,240
D10,wt_CgSCH9-Nat,0Pi,60,150,240
E10,CgSCH9_3E-Nat,0Pi,60,150,240
F10,CgSCH9_3E-Nat,0Pi,60,150,240
G10,,,,,
H10,,,,,
A11,wt,ctrl,60,150,240
B11,wt,ctrl,60,150,240
C11,pho80_ko,ctrl,60,150,240
D11,pho80_ko,ctrl,60,150,240
E11,pho80_ko_Sch9_2E,ctrl,60,150,240
F11,pho80_ko_Sch9_2E,ctrl,60,150,240
G11,pho81_ko,ctrl,60,150,240
H11,pho81_ko,ctrl,60,150,240
A12,pho81_ko_Sch9_2E,ctrl,60,150,240
B12,pho81_ko_Sch9_2E,ctrl,60,150,240
C12,wt_CgSCH9-Nat,ctrl,60,150,240
D12,wt_CgSCH9-Nat,ctrl,60,150,240
E12,CgSCH9_3E-Nat,ctrl,60,150,240
F12,CgSCH9_3E-Nat,ctrl,60,150,240
G12,,,,,
H12,,,,,
