Sample,group_name,treat,time_1_min,time_2_min,time_3_min
A1,wt,0Pi,0,90,180
B1,wt,0Pi,0,90,180
C1,msn4_nat_ko,0Pi,0,90,180
D1,msn4_nat_ko,0Pi,0,90,180
E1,msn4_nat_ko,0Pi,0,90,180
F1,msn4_u3_ko,0Pi,0,90,180
G1,msn4_u3_ko,0Pi,0,90,180
H1,rim15_ko,0Pi,0,90,180
A2,rim15_ko,0Pi,0,90,180
B2,rim15_ko,0Pi,0,90,180
C2,msn4rim15_ko,0Pi,0,90,180
D2,msn4rim15_ko,0Pi,0,90,180
E2,msn4rim15_ko,0Pi,0,90,180
F2,,,,,
G2,,,,,
H2,,,,,
A3,wt,ctrl,0,90,180
B3,wt,ctrl,0,90,180
C3,msn4_nat_ko,ctrl,0,90,180
D3,msn4_nat_ko,ctrl,0,90,180
E3,msn4_nat_ko,ctrl,0,90,180
F3,msn4_u3_ko,ctrl,0,90,180
G3,msn4_u3_ko,ctrl,0,90,180
H3,rim15_ko,ctrl,0,90,180
A4,rim15_ko,ctrl,0,90,180
B4,rim15_ko,ctrl,0,90,180
C4,msn4rim15_ko,ctrl,0,90,180
D4,msn4rim15_ko,ctrl,0,90,180
E4,msn4rim15_ko,ctrl,0,90,180
F4,,,,,
G4,,,,,
H4,,,,,
A5,wt,0Pi,30,120,210
B5,wt,0Pi,30,120,210
C5,msn4_nat_ko,0Pi,30,120,210
D5,msn4_nat_ko,0Pi,30,120,210
E5,msn4_nat_ko,0Pi,30,120,210
F5,msn4_u3_ko,0Pi,30,120,210
G5,msn4_u3_ko,0Pi,30,120,210
H5,rim15_ko,0Pi,30,120,210
A6,rim15_ko,0Pi,30,120,210
B6,rim15_ko,0Pi,30,120,210
C6,msn4rim15_ko,0Pi,30,120,210
D6,msn4rim15_ko,0Pi,30,120,210
E6,msn4rim15_ko,0Pi,30,120,210
F6,,,,,
G6,,,,,
H6,,,,,
A7,wt,ctrl,30,120,210
B7,wt,ctrl,30,120,210
C7,msn4_nat_ko,ctrl,30,120,210
D7,msn4_nat_ko,ctrl,30,120,210
E7,msn4_nat_ko,ctrl,30,120,210
F7,msn4_u3_ko,ctrl,30,120,210
G7,msn4_u3_ko,ctrl,30,120,210
H7,rim15_ko,ctrl,30,120,210
A8,rim15_ko,ctrl,30,120,210
B8,rim15_ko,ctrl,30,120,210
C8,msn4rim15_ko,ctrl,30,120,210
D8,msn4rim15_ko,ctrl,30,120,210
E8,msn4rim15_ko,ctrl,30,120,210
F8,,,,,
G8,,,,,
H8,,,,,
A9,wt,0Pi,60,150,240
B9,wt,0Pi,60,150,240
C9,msn4_nat_ko,0Pi,60,150,240
D9,msn4_nat_ko,0Pi,60,150,240
E9,msn4_nat_ko,0Pi,60,150,240
F9,msn4_u3_ko,0Pi,60,150,240
G9,msn4_u3_ko,0Pi,60,150,240
H9,rim15_ko,0Pi,60,150,240
A10,rim15_ko,0Pi,60,150,240
B10,rim15_ko,0Pi,60,150,240
C10,msn4rim15_ko,0Pi,60,150,240
D10,msn4rim15_ko,0Pi,60,150,240
E10,msn4rim15_ko,0Pi,60,150,240
F10,,,,,
G10,,,,,
H10,,,,,
A11,wt,ctrl,60,150,240
B11,wt,ctrl,60,150,240
C11,msn4_nat_ko,ctrl,60,150,240
D11,msn4_nat_ko,ctrl,60,150,240
E11,msn4_nat_ko,ctrl,60,150,240
F11,msn4_u3_ko,ctrl,60,150,240
G11,msn4_u3_ko,ctrl,60,150,240
H11,rim15_ko,ctrl,60,150,240
A12,rim15_ko,ctrl,60,150,240
B12,rim15_ko,ctrl,60,150,240
C12,msn4rim15_ko,ctrl,60,150,240
D12,msn4rim15_ko,ctrl,60,150,240
E12,msn4rim15_ko,ctrl,60,150,240
F12,,,,,
G12,,,,,
H12,,,,,
