Plate,Sample,Treatment,Species,Gate,X Parameter,Count,%Total,%Gated,X Mean,X Median,X Peak,X SD,X %CV,X rSD,X %rCV
d032723-DCFCA-R8,A5,0Pi,Cg,High_ROS,BL1-H,5963,9.225,19.877,1265,1182,1013,661.36,52.27,176.43,14.93
d032723-DCFCA-R8,A6,0Pi,Cg,High_ROS,BL1-H,5889,9.077,19.63,1267,1180,1012,531.16,41.92,173.46,14.7
d032723-DCFCA-R8,B5,0.2mM,Cg,High_ROS,BL1-H,4132,6.397,13.773,1286,1157,1013,1406.33,109.37,158.64,13.71
d032723-DCFCA-R8,B6,0.2mM,Cg,High_ROS,BL1-H,4012,6.362,13.373,1257,1154,1012,681.16,54.19,151.23,13.1
d032723-DCFCA-R8,C5,1mM,Cg,High_ROS,BL1-H,5331,8.112,17.77,1276,1170,1012,848.45,66.51,164.57,14.07
d032723-DCFCA-R8,C6,1mM,Cg,High_ROS,BL1-H,5378,8.584,17.927,1276,1165,1035,883.58,69.23,160.12,13.74
d032723-DCFCA-R8,D5,2mM,Cg,High_ROS,BL1-H,6841,10.283,22.803,1334,1183,1048,1263.63,94.73,183.84,15.54
d032723-DCFCA-R8,D6,2mM,Cg,High_ROS,BL1-H,6711,10.305,22.37,1305,1184,1035,1740.95,133.39,174.95,14.78
d032723-DCFCA-R8,E5,10mM,Cg,High_ROS,BL1-H,8514,14.307,28.38,1337,1202,1013,1904.14,142.41,195.7,16.28
d032723-DCFCA-R8,E6,10mM,Cg,High_ROS,BL1-H,8690,14.537,28.967,1312,1205,1012,1294.04,98.66,195.7,16.24
d032723-DCFCA-R8,F5,20mM,Cg,High_ROS,BL1-H,7398,11.08,24.66,1303,1194,1012,1354.71,103.94,189.77,15.89
d032723-DCFCA-R8,F6,20mM,Cg,High_ROS,BL1-H,7704,12.851,25.68,1326,1202,1035,1385.42,104.48,195.7,16.28
d032723-DCFCA-R8,G5,100mM,Cg,High_ROS,BL1-H,11300,18.525,37.667,18240,8745,1048,21618.9,118.52,11220.32,128.31
d032723-DCFCA-R8,G6,100mM,Cg,High_ROS,BL1-H,9250,16.756,30.833,16236,8128,1035,18456.84,113.68,10354.48,127.39
d032723-DCFCA-R8,H5,Ctrl,Cg,High_ROS,BL1-H,3416,5.445,11.387,1324,1154,1024,1506.22,113.76,149.74,12.98
d032723-DCFCA-R8,H6,Ctrl,Cg,High_ROS,BL1-H,3780,5.79,12.6,1260,1154,1013,803.25,63.72,148.26,12.85
d032723-DCFCA-R8,A3,0Pi,Cg,High_ROS,BL1-H,7108,6.302,23.693,1309,1190,1012,1028.95,78.62,180.88,15.2
d032723-DCFCA-R8,A4,0Pi,Cg,High_ROS,BL1-H,4288,4.868,14.293,1389,1171,1013,3973.7,286.16,171.98,14.69
d032723-DCFCA-R8,B3,0.2mM,Cg,High_ROS,BL1-H,13891,13.169,46.303,1392,1267,1035,1586.91,114.01,246.11,19.42
d032723-DCFCA-R8,B4,0.2mM,Cg,High_ROS,BL1-H,13603,13.96,45.343,1388,1268,1036,2132.57,153.63,244.63,19.29
d032723-DCFCA-R8,C3,1mM,Cg,High_ROS,BL1-H,14729,14.767,49.097,1458,1279,1013,3506.71,240.55,255.01,19.94
d032723-DCFCA-R8,C4,1mM,Cg,High_ROS,BL1-H,14455,13.369,48.183,1459,1281,1024,3584.78,245.64,255.01,19.91
d032723-DCFCA-R8,D3,2mM,Cg,High_ROS,BL1-H,15274,15.566,50.913,1445,1292,1013,2455.67,169.9,265.39,20.54
d032723-DCFCA-R8,D4,2mM,Cg,High_ROS,BL1-H,15127,14.742,50.423,1473,1290,1012,2985.44,202.65,263.9,20.46
d032723-DCFCA-R8,E3,10mM,Cg,High_ROS,BL1-H,17256,18.959,57.52,1534,1338,1012,3806.19,248.06,306.16,22.89
d032723-DCFCA-R8,E4,10mM,Cg,High_ROS,BL1-H,17286,19.856,57.62,1481,1339,1059,1981.55,133.83,303.93,22.7
d032723-DCFCA-R8,F3,20mM,Cg,High_ROS,BL1-H,16492,17.878,54.973,1584,1324,1048,3737.98,235.94,295.04,22.28
d032723-DCFCA-R8,F4,20mM,Cg,High_ROS,BL1-H,13836,13.997,46.12,1451,1287,1035,2178.73,150.16,269.09,20.92
d032723-DCFCA-R8,G3,100mM,Cg,High_ROS,BL1-H,27094,32.367,90.313,47528,30065,83281,51027.53,107.36,39059.1,129.92
d032723-DCFCA-R8,G4,100mM,Cg,High_ROS,BL1-H,26922,32.193,89.74,49024,28995,79196,54581.13,111.33,38641.74,133.27
d032723-DCFCA-R8,H3,Ctrl,Cg,High_ROS,BL1-H,4352,4.652,14.507,1615,1170,1012,5648.08,349.74,169.02,14.45
d032723-DCFCA-R8,H4,Ctrl,Cg,High_ROS,BL1-H,3773,3.397,12.577,1442,1152,1036,3662.56,254.02,149.74,13
d032723-DCFCA-R8,A11,0Pi,Sc,High_ROS,BL1-H,8806,8.516,29.353,1320,1212,1035,831.74,63,203.12,16.76
d032723-DCFCA-R8,A12,0Pi,Sc,High_ROS,BL1-H,6439,5.528,21.463,1403,1178,1012,2382.75,169.87,173.46,14.73
d032723-DCFCA-R8,B11,0.2mM,Sc,High_ROS,BL1-H,7655,6.876,25.517,1512,1192,1036,2999.59,198.41,180.88,15.17
d032723-DCFCA-R8,B12,0.2mM,Sc,High_ROS,BL1-H,7879,5.946,27.312,1679,1186,1013,5336.85,317.86,179.39,15.13
