Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,N/A,All Events,N/A,N/A,112244,116,967.621,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,cell,FSC-H,SSC-H,97680,116,842.069,87.025,87.025,391099,141371,368902,132331,320494,119835,162418.66,57497.37,41.53,40.67,158068.88,56341.76,42.85,42.58
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,High_ROS,BL1-H,,10686,116,92.121,9.520,35.620,1316,N/A,1232,N/A,1047,N/A,341.58,N/A,25.96,N/A,222.39,N/A,18.05,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,2000_gate,BL1-H,,319,116,2.750,0.284,1.063,2362,N/A,2192,N/A,2018,N/A,1061.10,N/A,44.92,N/A,197.19,N/A,9.00,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,500_gate,BL1-H,,26806,116,231.086,23.882,89.353,982,N/A,918,N/A,712,N/A,363.54,N/A,37.04,N/A,317.28,N/A,34.56,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,single cell,BL1-H,,30000,116,258.621,26.727,26.727,919,N/A,869,N/A,712,N/A,389.29,N/A,42.35,N/A,345.45,N/A,39.75,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,single cell,FSC-H,FSC-W,30000,116,258.621,26.727,30.713,394250,87,380026,86,320516,87,95967.46,6.58,24.34,7.60,97572.87,5.93,25.68,6.90
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,cell,FSC-H,FSC-W,97680,116,842.069,87.025,87.025,391099,103,368902,95,320494,92,162418.66,32.26,41.53,31.29,158068.88,16.31,42.85,17.17
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,single cell,BL1-H,SSC-A,30000,116,258.621,26.727,26.727,919,150332,869,142055,963,132095,389.29,54839.38,42.35,36.48,345.45,51521.83,39.75,36.27
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,High ROS,BL1-H,SSC-A,10903,116,93.991,9.714,36.343,1309,181162,1227,174978,1045,169031,341.01,58553.55,26.04,32.32,223.87,57682.03,18.25,32.97
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,single cell,BL1-H,SSC-A,30000,116,258.621,26.727,26.727,919,150332,869,142055,963,132095,389.29,54839.38,42.35,36.48,345.45,51521.83,39.75,36.27
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,single cell,BL1-H,SSC-A,30000,116,258.621,26.727,26.727,919,150332,869,142055,963,132095,389.29,54839.38,42.35,36.48,345.45,51521.83,39.75,36.27
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,N/A,All Events,N/A,N/A,68374,70,976.771,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,cell,FSC-H,SSC-H,65476,70,935.371,95.762,95.762,501700,120981,486559,111921,441303,107518,159630.42,50056.06,31.82,41.38,157481.77,38028.69,32.37,33.98
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,High_ROS,BL1-H,,3074,70,43.914,4.496,10.247,1227,N/A,1149,N/A,1012,N/A,538.87,N/A,43.91,N/A,144.55,N/A,12.59,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,2000_gate,BL1-H,,41,70,0.586,0.060,0.137,3140,N/A,2312,N/A,2060,N/A,3981.88,N/A,126.80,N/A,268.35,N/A,11.61,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,500_gate,BL1-H,,20008,70,285.829,29.263,66.693,785,N/A,726,N/A,540,N/A,309.25,N/A,39.38,N/A,203.12,N/A,27.98,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,single cell,BL1-H,,30000,70,428.571,43.876,43.876,647,N/A,607,N/A,540,N/A,323.66,N/A,50.02,N/A,259.45,N/A,42.74,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,single cell,FSC-H,FSC-W,30000,70,428.571,43.876,45.818,444515,88,438294,87,422872,86,103190.76,7.58,23.21,8.65,97945.00,7.41,22.35,8.52
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,cell,FSC-H,FSC-W,65476,70,935.371,95.762,95.762,501700,110,486559,98,441303,86,159630.42,38.63,31.82,34.97,157481.77,22.24,32.37,22.69
