Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,N/A,All Events,N/A,N/A,70701,85,831.776,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,cell,FSC-H,SSC-H,68643,85,807.565,97.089,97.089,483043,126027,462914,117364,414734,113604,156140.40,50651.20,32.32,40.19,151167.38,44159.24,32.66,37.63
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,High_ROS,BL1-H,,6585,85,77.471,9.314,21.950,1353,N/A,1195,N/A,1048,N/A,4126.83,N/A,304.92,N/A,191.26,N/A,16.00,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,2000_gate,BL1-H,,164,85,1.929,0.232,0.547,5397,N/A,2231,N/A,2234,N/A,25870.05,N/A,479.32,N/A,249.82,N/A,11.20,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,500_gate,BL1-H,,24315,85,286.059,34.391,81.050,905,N/A,821,N/A,735,N/A,2168.15,N/A,239.69,N/A,262.42,N/A,31.96,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,single cell,BL1-H,,30000,85,352.941,42.432,42.432,806,N/A,744,N/A,735,N/A,1962.87,N/A,243.50,N/A,305.42,N/A,41.05,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,single cell,FSC-H,FSC-W,30000,85,352.941,42.432,43.704,435457,88,422294,87,398369,86,102329.78,7.39,23.50,8.44,94973.87,7.41,22.49,8.52
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,cell,FSC-H,FSC-W,68643,85,807.565,97.089,97.089,483043,108,462914,98,414734,86,156140.40,34.69,32.32,32.05,151167.38,20.76,32.66,21.18
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,single cell,BL1-H,SSC-A,30000,85,352.941,42.432,42.432,806,120671,744,115422,745,109529,1962.87,42629.84,243.50,35.33,305.42,36597.24,41.05,31.71
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,High ROS,BL1-H,SSC-A,6787,85,79.847,9.600,22.623,1343,153349,1187,144964,1003,127776,4065.39,50134.92,302.73,32.69,192.74,43524.69,16.24,30.02
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,single cell,BL1-H,SSC-A,30000,85,352.941,42.432,42.432,806,120671,744,115422,745,109529,1962.87,42629.84,243.50,35.33,305.42,36597.24,41.05,31.71
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,single cell,BL1-H,SSC-A,30000,85,352.941,42.432,42.432,806,120671,744,115422,745,109529,1962.87,42629.84,243.50,35.33,305.42,36597.24,41.05,31.71
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,N/A,All Events,N/A,N/A,65715,83,791.747,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,cell,FSC-H,SSC-H,63365,83,763.434,96.424,96.424,512958,118209,496542,109980,424957,109512,152665.80,47381.07,29.76,40.08,154171.12,35534.96,31.05,32.31
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,High_ROS,BL1-H,,2992,83,36.048,4.553,9.973,1386,N/A,1144,N/A,1012,N/A,2625.41,N/A,189.49,N/A,148.26,N/A,12.96,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,2000_gate,BL1-H,,84,83,1.012,0.128,0.280,8034,N/A,2600,N/A,2194,N/A,14184.95,N/A,176.57,N/A,780.59,N/A,30.03,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,500_gate,BL1-H,,19643,83,236.663,29.891,65.477,807,N/A,725,N/A,507,N/A,1060.66,N/A,131.40,N/A,200.15,N/A,27.61,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,single cell,BL1-H,,30000,83,361.446,45.652,45.652,656,N/A,600,N/A,507,N/A,884.65,N/A,134.80,N/A,257.97,N/A,43.00,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,single cell,FSC-H,FSC-W,30000,83,361.446,45.652,47.345,445231,88,438466,87,435242,86,101951.99,7.59,22.90,8.62,95798.20,7.41,21.85,8.52
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,cell,FSC-H,FSC-W,63365,83,763.434,96.424,96.424,512958,109,496542,99,424957,86,152665.80,34.08,29.76,31.23,154171.12,20.76,31.05,20.97
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,single cell,BL1-H,SSC-A,30000,83,361.446,45.652,45.652,656,106424,600,105664,669,109597,884.65,34934.91,134.80,32.83,257.97,30386.63,43.00,28.76
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,High ROS,BL1-H,SSC-A,3098,83,37.325,4.714,10.327,1372,141847,1136,131820,1005,117805,2581.04,45455.42,188.08,32.05,146.78,35243.63,12.92,26.74
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,single cell,BL1-H,SSC-A,30000,83,361.446,45.652,45.652,656,106424,600,105664,669,109597,884.65,34934.91,134.80,32.83,257.97,30386.63,43.00,28.76
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,single cell,BL1-H,SSC-A,30000,83,361.446,45.652,45.652,656,106424,600,105664,669,109597,884.65,34934.91,134.80,32.83,257.97,30386.63,43.00,28.76
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,C4.fcs,C4,Experiment,None,N/A,All Events,N/A,N/A,71388,92,775.957,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,C4.fcs,C4,Experiment,None,,cell,FSC-H,SSC-H,67238,92,730.848,94.187,94.187,487820,110624,475422,105197,451617,97267,165644.25,42254.82,33.96,38.20,163194.23,35760.31,34.33,33.99
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,C4.fcs,C4,Experiment,None,,High_ROS,BL1-H,,7040,92,76.522,9.862,23.467,1353,N/A,1197,N/A,1035,N/A,2053.72,N/A,151.79,N/A,191.26,N/A,15.98,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,C4.fcs,C4,Experiment,None,,2000_gate,BL1-H,,185,92,2.011,0.259,0.617,5241,N/A,2259,N/A,2136,N/A,12005.51,N/A,229.05,N/A,309.86,N/A,13.72,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,C4.fcs,C4,Experiment,None,,500_gate,BL1-H,,24115,92,262.120,33.780,80.383,916,N/A,828,N/A,781,N/A,1150.55,N/A,125.54,N/A,274.28,N/A,33.13,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,C4.fcs,C4,Experiment,None,,single cell,BL1-H,,30000,92,326.087,42.024,42.024,811,N/A,746,N/A,781,N/A,1053.93,N/A,129.89,N/A,323.21,N/A,43.33,N/A
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,C4.fcs,C4,Experiment,None,,single cell,FSC-H,FSC-W,30000,92,326.087,42.024,44.618,437295,88,437619,87,441379,86,100461.11,7.30,22.97,8.34,97326.02,7.41,22.24,8.52
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,C4.fcs,C4,Experiment,None,,cell,FSC-H,FSC-W,67238,92,730.848,94.187,94.187,487820,105,475422,97,451617,86,165644.25,30.19,33.96,28.66,163194.23,19.27,34.33,19.87
