date,species,replicate,time,total,budded,unbudded
d040723,Cg,R1,0,50,36,14
d040723,Cg,R1,0,37,31,6
d040723,Cg,R1,0,36,29,7
d040723,Cg,R1,0,26,22,4
d040723,Sc,R1,0,33,18,15
d040723,Sc,R1,0,28,19,9
d040723,Sc,R1,0,32,25,7
d040723,Sc,R1,0,28,21,7
d040723,Cg,R1,45,115,81,34
d040723,Cg,R1,45,96,56,40
d040723,Cg,R1,45,110,76,34
d040723,Cg,R1,45,112,80,32
d040723,Cg,R2,45,112,74,38
d040723,Cg,R2,45,125,73,52
d040723,Cg,R2,45,124,71,53
d040723,Cg,R2,45,126,90,36
d040723,Sc,R1,45,90,46,44
d040723,Sc,R1,45,78,41,37
d040723,Sc,R1,45,61,32,29
d040723,Sc,R1,45,50,26,24
d040723,Sc,R2,45,71,34,37
d040723,Sc,R2,45,85,44,41
d040723,Sc,R2,45,58,31,27
d040723,Sc,R2,45,78,37,41
d040723,Cg,R1,90,60,18,42
d040723,Cg,R1,90,48,17,31
d040723,Cg,R1,90,69,29,40
d040723,Cg,R1,90,47,14,33
d040723,Cg,R2,90,42,20,22
d040723,Cg,R2,90,78,19,59
d040723,Cg,R2,90,57,18,39
d040723,Cg,R2,90,85,24,61
d040723,Sc,R1,90,65,43,22
d040723,Sc,R1,90,67,48,19
d040723,Sc,R1,90,73,50,23
d040723,Sc,R1,90,42,25,17
d040723,Sc,R2,90,46,30,16
d040723,Sc,R2,90,49,32,17
d040723,Sc,R2,90,57,35,22
d040723,Sc,R2,90,39,25,14
d041023,Sc,R1,0,36,29,7
d041023,Sc,R1,0,25,19,6
d041023,Sc,R1,0,41,33,8
d041023,Sc,R1,0,28,22,6
d041023,Sc,R2,0,25,19,6
d041023,Sc,R2,0,36,26,10
d041023,Sc,R2,0,26,21,5
d041023,Sc,R2,0,30,20,10
d041023,Sc,R1,20,49,35,14
d041023,Sc,R1,20,55,36,19
d041023,Sc,R1,20,49,33,16
d041023,Sc,R1,20,35,19,16
d041023,Sc,R2,20,58,41,17
d041023,Sc,R2,20,44,31,13
d041023,Sc,R2,20,54,37,17
d041023,Sc,R2,20,33,15,18
d041023,Sc,R1,45,79,50,29
d041023,Sc,R1,45,72,43,29
d041023,Sc,R1,45,64,42,22
d041023,Sc,R1,45,73,39,34
d041023,Sc,R2,45,76,47,29
d041023,Sc,R2,45,54,27,27
d041023,Sc,R2,45,67,43,24
d041023,Sc,R2,45,90,50,40
d041023,Sc,R1,75,31,16,15
d041023,Sc,R1,75,40,21,19
d041023,Sc,R1,75,41,29,12
d041023,Sc,R1,75,39,22,17
d041023,Sc,R2,75,32,17,15
d041023,Sc,R2,75,42,28,14
d041023,Sc,R2,75,29,18,11
d041023,Sc,R2,75,41,29,12
d041023,Sc,R1,105,47,26,21
d041023,Sc,R1,105,46,23,23
d041023,Sc,R1,105,46,29,17
d041023,Sc,R1,105,45,27,18
d041023,Sc,R2,105,51,28,23
d041023,Sc,R2,105,53,24,29
d041023,Sc,R2,105,62,31,31
d041023,Sc,R2,105,53,24,29
d041023,Sc,R1,135,79,30,49
d041023,Sc,R1,135,80,30,50
d041023,Sc,R1,135,67,25,42
d041023,Sc,R1,135,65,23,42
d041023,Sc,R2,135,66,17,49
d041023,Sc,R2,135,64,21,43
d041123,Cg,R1,0,115,87,28
d041123,Cg,R2,0,66,49,17
d041123,Cg,R2,0,74,51,23
d041123,Cg,R2,0,68,52,16
d041123,Cg,R2,0,72,43,29
d041123,Cg,R1,20,47,36,11
d041123,Cg,R1,20,49,36,13
d041123,Cg,R1,20,55,40,15
d041123,Cg,R1,20,63,47,16
d041123,Cg,R2,20,71,52,19
d041123,Cg,R2,20,55,42,13
d041123,Cg,R2,20,60,41,19
d041123,Cg,R2,20,49,34,15
d041123,Cg,R1,45,51,35,16
d041123,Cg,R1,45,54,36,18
d041123,Cg,R1,45,53,42,11
d041123,Cg,R1,45,51,41,10
d041123,Cg,R2,45,62,36,26
d041123,Cg,R2,45,63,47,16
d041123,Cg,R2,45,55,42,13
d041123,Cg,R2,45,61,43,18
d041123,Cg,R1,75,45,26,19
d041123,Cg,R1,75,39,22,17
d041123,Cg,R1,75,40,25,15
d041123,Cg,R1,75,36,25,11
d041123,Cg,R2,75,37,23,14
d041123,Cg,R2,75,45,24,21
d041123,Cg,R2,75,39,20,19
d041123,Cg,R2,75,43,21,22
d041123,Cg,R1,105,50,24,26
d041123,Cg,R1,105,38,16,22
d041123,Cg,R1,105,55,30,25
d041123,Cg,R1,105,50,20,30
d041123,Cg,R2,105,56,29,27
d041123,Cg,R2,105,72,36,36
d041123,Cg,R2,105,50,24,26
d041123,Cg,R2,105,54,22,32
d041123,Cg,R1,135,53,18,35
d041123,Cg,R1,135,46,17,29
d041123,Cg,R1,135,38,10,28
d041123,Cg,R1,135,40,7,33
d041123,Cg,R2,135,66,16,50
d041123,Cg,R2,135,55,15,40
d041123,Cg,R2,135,53,14,39
d041123,Cg,R2,135,47,6,41
