date,Species,Treatment,Time_point_min,Buds,unbuded,total_count,Replicate,Percent_unbud,Percent_bud,genotype
d040723,Cg,Ctrl,0,36,14,50,R1,28,72,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,Ctrl,0,31,6,37,R1,16.21621622,83.78378378,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,Ctrl,0,29,7,36,R1,19.44444444,80.55555556,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,Ctrl,0,22,4,26,R1,15.38461538,84.61538462,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Sc,Ctrl,0,18,15,33,R1,45.45454545,54.54545455,S288C; ura3::pho84pr-GFP
d040723,Sc,Ctrl,0,19,9,28,R1,32.14285714,67.85714286,S288C; ura3::pho84pr-GFP
d040723,Sc,Ctrl,0,25,7,32,R1,21.875,78.125,S288C; ura3::pho84pr-GFP
d040723,Sc,Ctrl,0,21,7,28,R1,25,75,S288C; ura3::pho84pr-GFP
d040723,Cg,0Pi,45,81,34,115,R1,29.56521739,70.43478261,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,45,56,40,96,R1,41.66666667,58.33333333,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,45,76,34,110,R1,30.90909091,69.09090909,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,45,80,32,112,R1,28.57142857,71.42857143,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,45,74,38,112,R1,33.92857143,66.07142857,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,45,73,52,125,R1,41.6,58.4,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,45,71,53,124,R1,42.74193548,57.25806452,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,45,90,36,126,R1,28.57142857,71.42857143,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Sc,0Pi,45,46,44,90,R1,48.88888889,51.11111111,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,45,41,37,78,R1,47.43589744,52.56410256,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,45,32,29,61,R1,47.54098361,52.45901639,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,45,26,24,50,R1,48,52,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,45,34,37,71,R1,52.11267606,47.88732394,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,45,44,41,85,R1,48.23529412,51.76470588,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,45,31,27,58,R1,46.55172414,53.44827586,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,45,37,41,78,R1,52.56410256,47.43589744,S288C; ura3::pho84pr-GFP
d040723,Cg,0Pi,90,18,42,60,R1,70,30,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,90,17,31,48,R1,64.58333333,35.41666667,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,90,29,40,69,R1,57.97101449,42.02898551,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,90,14,33,47,R1,70.21276596,29.78723404,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,90,20,22,42,R1,52.38095238,47.61904762,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,90,19,59,78,R1,75.64102564,24.35897436,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,90,18,39,57,R1,68.42105263,31.57894737,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Cg,0Pi,90,24,61,85,R1,71.76470588,28.23529412,BG2; plasmid_pCU-CgPho84pr-yeGFP
d040723,Sc,0Pi,90,43,22,65,R1,33.84615385,66.15384615,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,90,48,19,67,R1,28.35820896,71.64179104,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,90,50,23,73,R1,31.50684932,68.49315068,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,90,25,17,42,R1,40.47619048,59.52380952,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,90,30,16,46,R1,34.7826087,65.2173913,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,90,32,17,49,R1,34.69387755,65.30612245,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,90,35,22,57,R1,38.59649123,61.40350877,S288C; ura3::pho84pr-GFP
d040723,Sc,0Pi,90,25,14,39,R1,35.8974359,64.1025641,S288C; ura3::pho84pr-GFP
d041023,Sc,Ctrl,0,29,7,36,R2,19.44444444,80.55555556,S288C; ura3::pho84pr-GFP
