Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d121721-0min-0Pi-gtr1-R2,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,27,1111.111,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d121721-0min-0Pi-gtr1-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,27825,27,1030.556,92.750,92.750,491439,128719,464036,119308,402361,123885,167362.02,50136.37,34.06,38.95,164129.75,38968.66,35.37,32.66
d121721-0min-0Pi-gtr1-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14350,27,531.481,47.833,99.764,455689,476379,437328,451449,400204,431059,120627.57,146047.60,26.47,30.66,119096.51,148297.06,27.23,32.85
d121721-0min-0Pi-gtr1-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,14384,27,532.741,47.947,47.947,456385,477340,437699,451798,400204,431059,121488.38,147298.40,26.62,30.86,119616.17,148790.03,27.33,32.93
d121721-0min-0Pi-gtr1-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,14350,27,531.481,47.833,47.833,8342,N/A,7530,N/A,7977,N/A,4932.76,N/A,59.13,N/A,3874.78,N/A,51.46,N/A
d121721-0min-0Pi-gtr1-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,14384,27,532.741,47.947,51.695,456385,86,437699,84,400204,86,121488.38,8.32,26.62,9.70,119616.17,7.41,27.33,8.82
d121721-0min-0Pi-gtr1-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,27825,27,1030.556,92.750,92.750,491439,107,464036,94,402361,86,167362.02,47.11,34.06,44.04,164129.75,17.79,35.37,18.93
d121721-0min-0Pi-gtr1-R2,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,67,447.761,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d121721-0min-0Pi-gtr1-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28558,67,426.239,95.193,95.193,511463,124756,488692,118387,453540,119795,154939.29,44200.46,30.29,35.43,149705.53,35586.85,30.63,30.06
d121721-0min-0Pi-gtr1-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,17171,67,256.284,57.237,99.930,478917,499186,465677,479804,433062,388050,114661.75,136917.79,23.94,27.43,117246.97,142049.39,25.18,29.61
d121721-0min-0Pi-gtr1-R2,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,17183,67,256.463,57.277,57.277,479120,499472,465760,479938,433062,388050,114894.25,137304.23,23.98,27.49,117304.79,142129.45,25.19,29.61
d121721-0min-0Pi-gtr1-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,17171,67,256.284,57.237,57.237,8587,N/A,7866,N/A,8998,N/A,4294.80,N/A,50.02,N/A,3484.11,N/A,44.29,N/A
d121721-0min-0Pi-gtr1-R2,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,17183,67,256.463,57.277,60.169,479120,88,465760,87,433062,87,114894.25,8.02,23.98,9.10,117304.79,7.41,25.19,8.52
d121721-0min-0Pi-gtr1-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,28558,67,426.239,95.193,95.193,511463,101,488692,93,453540,87,154939.29,31.41,30.29,31.19,149705.53,14.83,30.63,15.94
d121721-0min-0Pi-gtr1-R2,0min,0min,A3.fcs,A3,Experiment,None,N/A,All Events,N/A,N/A,30000,28,1071.429,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d121721-0min-0Pi-gtr1-R2,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,SSC-H,27139,28,969.250,90.463,90.463,495575,128981,475552,122598,455715,128052,174196.96,49512.45,35.15,38.39,174398.23,39582.45,36.67,32.29
d121721-0min-0Pi-gtr1-R2,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14209,28,507.464,47.363,99.852,464639,484173,451207,463098,455751,414780,121417.74,146322.93,26.13,30.22,126267.11,154414.27,27.98,33.34
d121721-0min-0Pi-gtr1-R2,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-A,14230,28,508.214,47.433,47.433,465032,484765,451438,463323,455751,414780,121831.89,147052.17,26.20,30.33,126586.61,154656.67,28.04,33.38
d121721-0min-0Pi-gtr1-R2,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,BL1-H,,14209,28,507.464,47.363,47.363,8297,N/A,7728,N/A,8683,N/A,4863.19,N/A,58.61,N/A,4043.05,N/A,52.32,N/A
