Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,A1,16251,7998,10017,5084.12,55.84,50.18
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,A2,18319,8028,7847,5161.48,56.08,49.7
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,A3,16369,8465,10008,5121.82,53.29,47.81
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,B1,18098,8447,10007,4577.43,49.19,43.41
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,B2,16738,7307,7477,5800.97,66,56.18
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,B3,17199,8875,8986,4538.42,46.81,41.36
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,C1,9806,3150,4966,2625.56,70.6,61.42
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,C3,10303,2991,4275,2248.58,65.76,57.35
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,D1,10255,2690,3426,2104.15,67.41,58.48
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,D3,10046,2772,3252,2065.08,64.73,56.84
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,E1,5614,1190,642,1126.51,76.38,63.66
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,E3,4807,1253,1210,1201.48,77.65,61.53
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,F1,18645,8697,7130,5373.1,53.7,48.6
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,F3,16711,9873,10770,5380.49,48.65,44.36
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,G1,18386,8553,8256,5489.23,55.17,50.19
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,H1,19227,8335,10012,5399.07,55.54,50.55
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,C2,17845,8307,10188,5484.14,57.42,50.4
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,D2,16898,8244,8246,5137.89,54.68,48.52
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,A4,15740,8647,10385,5055.47,52.48,46.48
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,B4,16095,7974,7977,5777.83,61.46,52.26
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,C4,16157,8880,10568,5295.07,53.25,46.41
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,D4,16911,8880,8545,4998.56,50.84,43.68
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,G3,19237,9786,9659,5578.85,50.41,45.69
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,H3,19084,9413,8386,5413.82,50.53,45.54
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,E2,18288,5842,5971,3246.57,50.06,44.83
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,F2,19379,6254,6418,3312.12,48.33,43.62
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,G2,19459,6282,6910,3342.23,48.58,43.54
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,E4,16989,6586,7242,3257.58,45.57,41.6
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,F4,17343,6685,7241,3374.92,46.22,40.94
Rep3-0Pi-Ctrl,d011322-0min-0Pi-gtr1-R3,0min,G4,17424,6694,6807,3248.14,44.82,40.99
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,A1,16723,8521,9660,4946.04,51.94,46.49
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,A2,16028,8309,10017,4561.71,49.49,44.38
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,A3,15690,8817,10194,4647.23,48.08,44.26
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,B1,17994,8421,9827,4237,46.08,40.93
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,B2,16386,8133,8540,5220.48,56.79,47.71
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,B3,15404,8928,10189,4293.71,44.13,40.65
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,C1,8055,2909,3581,4387.73,106.69,68.35
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,C3,8464,2987,3143,4594.98,105.46,68.06
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,D1,7556,2859,4330,2693.22,76.89,62.01
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,D3,7352,2509,2932,1955.02,67.23,58.38
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,E1,4858,1488,992,1513.16,80.97,71.89
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,E3,2904,1654,955,1535.29,74.44,66.84
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,F1,15757,9303,10013,5007.15,48.16,42.66
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,F3,17143,9498,11200,4820.14,45.77,41.57
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,G1,15795,9343,9148,5000.07,47.84,42.65
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,H1,17779,7744,7979,4127.83,47.83,41.72
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,C2,16464,7585,7597,4676.11,54.85,47.89
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,D2,16670,8393,9316,4403.54,47.86,43.65
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,A4,15480,8768,9311,4442.68,46.37,42.03
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,B4,16073,8613,9817,5281.75,54.51,45.62
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,C4,15832,8092,8391,4537.99,50.43,44.65
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,D4,14842,8865,9652,4395.69,45.37,41.76
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,G3,16853,9298,8989,4689.67,45.22,39.72
Rep1-0Pi-Ctrl,d121521-0min-0Pi-gtr1-R1,0min,H3,16925,8720,8684,4120.93,43.07,38.66
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,A1,14350,7530,7977,4932.76,59.13,51.46
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,A2,17171,7866,8998,4294.8,50.02,44.29
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,A3,14209,7728,8683,4863.19,58.61,52.32
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,B1,15928,8194,9481,4840.96,53.64,47.65
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,B2,16756,6880,7724,4651.39,59.36,51.63
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,B3,15396,8297,9478,4387.95,48.63,43.31
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,C1,6140,1608,1451,1608.45,80.26,64.26
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,C3,5630,1569,1344,1775.84,89.61,68.32
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,D1,6879,1590,1165,1384.28,73.24,60.61
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,D3,6376,1640,1802,1364.3,70.48,60.89
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,E1,2250,997,588,948.54,77.13,64.39
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,E3,3678,1084,828,975.87,75.3,67.56
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,F1,17009,7659,8115,4564.51,52.63,46.01
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,F3,15744,9671,9652,4691.02,44.28,38.8
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,G1,17196,7328,8836,4422.31,53.35,46.01
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,H1,17326,7053,7716,4197.51,52.46,45.53
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,C2,16653,7804,9484,4319.82,50.18,45.5
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,D2,16584,7773,9315,4396.21,50.83,45.2
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,A4,15805,8351,9306,4580.71,52.6,45.5
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,B4,14944,7834,7980,4658.78,53.65,45.03
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,C4,15502,8711,9485,4478.38,48.14,42.75
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,D4,15804,9051,9148,4444.5,45.51,41.69
