Sample,group_name,treat,time_1_min,time_2_min,time_3_min
A1,wt,0Pi,0,90,180
B1,wt,0Pi,0,90,180
C1,bcy1_ko,0Pi,0,90,180
D1,bcy1_ko,0Pi,0,90,180
E1,bcy1_ko,0Pi,0,90,180
F1,gtr1_ko,0Pi,0,90,180
G1,gtr1_ko,0Pi,0,90,180
H1,gtr1_ko,0Pi,0,90,180
A2,msn4_KI,0Pi,0,90,180
B2,msn4_KI,0Pi,0,90,180
C2,msn4_KI,0Pi,0,90,180
D2,msn4_KI,0Pi,0,90,180
E2,msn4_ko,0Pi,0,90,180
F2,msn4_ko,0Pi,0,90,180
G2,msn4_ko,0Pi,0,90,180
H2,,,,,
A3,wt,ctrl,0,90,180
B3,wt,ctrl,0,90,180
C3,bcy1_ko,ctrl,0,90,180
D3,bcy1_ko,ctrl,0,90,180
E3,bcy1_ko,ctrl,0,90,180
F3,gtr1_ko,ctrl,0,90,180
G3,gtr1_ko,ctrl,0,90,180
H3,gtr1_ko,ctrl,0,90,180
A4,msn4_KI,ctrl,0,90,180
B4,msn4_KI,ctrl,0,90,180
C4,msn4_KI,ctrl,0,90,180
D4,msn4_KI,ctrl,0,90,180
E4,msn4_ko,ctrl,0,90,180
F4,msn4_ko,ctrl,0,90,180
G4,msn4_ko,ctrl,0,90,180
H4,,,,,
A5,wt,0Pi,30,120,210
B5,wt,0Pi,30,120,210
C5,bcy1_ko,0Pi,30,120,210
D5,bcy1_ko,0Pi,30,120,210
E5,bcy1_ko,0Pi,30,120,210
F5,gtr1_ko,0Pi,30,120,210
G5,gtr1_ko,0Pi,30,120,210
H5,gtr1_ko,0Pi,30,120,210
A6,msn4_KI,0Pi,30,120,210
B6,msn4_KI,0Pi,30,120,210
C6,msn4_KI,0Pi,30,120,210
D6,msn4_KI,0Pi,30,120,210
E6,msn4_ko,0Pi,30,120,210
F6,msn4_ko,0Pi,30,120,210
G6,msn4_ko,0Pi,30,120,210
H6,,,,,
A7,wt,ctrl,30,120,210
B7,wt,ctrl,30,120,210
C7,bcy1_ko,ctrl,30,120,210
D7,bcy1_ko,ctrl,30,120,210
E7,bcy1_ko,ctrl,30,120,210
F7,gtr1_ko,ctrl,30,120,210
G7,gtr1_ko,ctrl,30,120,210
H7,gtr1_ko,ctrl,30,120,210
A8,msn4_KI,ctrl,30,120,210
B8,msn4_KI,ctrl,30,120,210
C8,msn4_KI,ctrl,30,120,210
D8,msn4_KI,ctrl,30,120,210
E8,msn4_ko,ctrl,30,120,210
F8,msn4_ko,ctrl,30,120,210
G8,msn4_ko,ctrl,30,120,210
H8,,,,,
A9,wt,0Pi,60,150,240
B9,wt,0Pi,60,150,240
C9,bcy1_ko,0Pi,60,150,240
D9,bcy1_ko,0Pi,60,150,240
E9,bcy1_ko,0Pi,60,150,240
F9,gtr1_ko,0Pi,60,150,240
G9,gtr1_ko,0Pi,60,150,240
H9,gtr1_ko,0Pi,60,150,240
A10,msn4_KI,0Pi,60,150,240
B10,msn4_KI,0Pi,60,150,240
C10,msn4_KI,0Pi,60,150,240
D10,msn4_KI,0Pi,60,150,240
E10,msn4_ko,0Pi,60,150,240
F10,msn4_ko,0Pi,60,150,240
G10,msn4_ko,0Pi,60,150,240
H10,,,,,
A11,wt,ctrl,60,150,240
B11,wt,ctrl,60,150,240
C11,bcy1_ko,ctrl,60,150,240
D11,bcy1_ko,ctrl,60,150,240
E11,bcy1_ko,ctrl,60,150,240
F11,gtr1_ko,ctrl,60,150,240
G11,gtr1_ko,ctrl,60,150,240
H11,gtr1_ko,ctrl,60,150,240
A12,msn4_KI,ctrl,60,150,240
B12,msn4_KI,ctrl,60,150,240
C12,msn4_KI,ctrl,60,150,240
D12,msn4_KI,ctrl,60,150,240
E12,msn4_ko,ctrl,60,150,240
F12,msn4_ko,ctrl,60,150,240
G12,msn4_ko,ctrl,60,150,240
H12,,,,,
