Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d041823-0min-tpd3-tip41-R2,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,36,833.333,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041823-0min-tpd3-tip41-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28878,36,802.167,96.260,96.260,527973,117269,502333,110221,461814,111596,148826.88,43113.32,28.19,36.76,147230.33,33168.73,29.31,30.09
d041823-0min-tpd3-tip41-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13791,36,383.083,45.970,99.920,481103,492850,467491,473385,482258,461932,114685.57,134927.23,23.84,27.38,111933.33,135085.61,23.94,28.54
d041823-0min-tpd3-tip41-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,13802,36,383.389,46.007,46.007,481307,493140,467651,473551,482258,461932,114918.36,135279.93,23.88,27.43,111898.49,135320.61,23.93,28.58
d041823-0min-tpd3-tip41-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,13791,36,383.083,45.970,45.970,4408,N/A,3989,N/A,4521,N/A,2275.46,N/A,51.62,N/A,1761.33,N/A,44.15,N/A
d041823-0min-tpd3-tip41-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,13802,36,383.389,46.007,47.794,481307,87,467651,86,482258,86,114918.36,8.06,23.88,9.27,111898.49,7.41,23.93,8.62
d041823-0min-tpd3-tip41-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28878,36,802.167,96.260,96.260,527973,110,502333,100,461814,86,148826.88,36.18,28.19,32.82,147230.33,23.72,29.31,23.72
d041823-0min-tpd3-tip41-R2,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,41,731.707,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041823-0min-tpd3-tip41-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28334,41,691.073,94.447,94.447,534115,118270,505543,110573,449519,115681,152908.41,43266.38,28.63,36.58,149214.79,32887.77,29.52,29.74
d041823-0min-tpd3-tip41-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13729,41,334.854,45.763,99.956,473362,486452,460731,467242,447622,402420,107997.51,127585.63,22.82,26.23,103885.78,125344.93,22.55,26.83
