Sample,group_name,treat,time_1_min,time_2_min,time_3_min
A1,wt,0Pi,0,90,180
B1,wt,0Pi,0,90,180
C1,tpd3_ko,0Pi,0,90,180
D1,tpd3_ko,0Pi,0,90,180
E1,tpd3_ko,0Pi,0,90,180
F1,tip41_ko,0Pi,0,90,180
G1,tip41_ko,0Pi,0,90,180
H1,tip41_ko,0Pi,0,90,180
A2,rom2_ko,0Pi,0,90,180
B2,rom2_ko,0Pi,0,90,180
C2,wt,ceramide_0Pi,0,90,180
D2,wt,ceramide_0Pi,0,90,180
E2,,,,,
F2,,,,,
G2,,,,,
H2,,,,,
A3,wt,ctrl,0,90,180
B3,wt,ctrl,0,90,180
C3,tpd3_ko,ctrl,0,90,180
D3,tpd3_ko,ctrl,0,90,180
E3,tpd3_ko,ctrl,0,90,180
F3,tip41_ko,ctrl,0,90,180
G3,tip41_ko,ctrl,0,90,180
H3,tip41_ko,ctrl,0,90,180
A4,rom2_ko,ctrl,0,90,180
B4,rom2_ko,ctrl,0,90,180
C4,wt,ceramide_ctrl,0,90,180
D4,wt,ceramide_ctrl,0,90,180
E4,,,,,
F4,,,,,
G4,,,,,
H4,,,,,
A5,wt,0Pi,30,120,210
B5,wt,0Pi,30,120,210
C5,tpd3_ko,0Pi,30,120,210
D5,tpd3_ko,0Pi,30,120,210
E5,tpd3_ko,0Pi,30,120,210
F5,tip41_ko,0Pi,30,120,210
G5,tip41_ko,0Pi,30,120,210
H5,tip41_ko,0Pi,30,120,210
A6,rom2_ko,0Pi,30,120,210
B6,rom2_ko,0Pi,30,120,210
C6,wt,ceramide_0Pi,30,120,210
D6,wt,ceramide_0Pi,30,120,210
E6,,,,,
F6,,,,,
G6,,,,,
H6,,,,,
A7,wt,ctrl,30,120,210
B7,wt,ctrl,30,120,210
C7,tpd3_ko,ctrl,30,120,210
D7,tpd3_ko,ctrl,30,120,210
E7,tpd3_ko,ctrl,30,120,210
F7,tip41_ko,ctrl,30,120,210
G7,tip41_ko,ctrl,30,120,210
H7,tip41_ko,ctrl,30,120,210
A8,rom2_ko,ctrl,30,120,210
B8,rom2_ko,ctrl,30,120,210
C8,wt,ceramide_ctrl,30,120,210
D8,wt,ceramide_ctrl,30,120,210
E8,,,,,
F8,,,,,
G8,,,,,
H8,,,,,
A9,wt,0Pi,60,150,240
B9,wt,0Pi,60,150,240
C9,tpd3_ko,0Pi,60,150,240
D9,tpd3_ko,0Pi,60,150,240
E9,tpd3_ko,0Pi,60,150,240
F9,tip41_ko,0Pi,60,150,240
G9,tip41_ko,0Pi,60,150,240
H9,tip41_ko,0Pi,60,150,240
A10,rom2_ko,0Pi,60,150,240
B10,rom2_ko,0Pi,60,150,240
C10,wt,ceramide_0Pi,60,150,240
D10,wt,ceramide_0Pi,60,150,240
E10,,,,,
F10,,,,,
G10,,,,,
H10,,,,,
A11,wt,ctrl,60,150,240
B11,wt,ctrl,60,150,240
C11,tpd3_ko,ctrl,60,150,240
D11,tpd3_ko,ctrl,60,150,240
E11,tpd3_ko,ctrl,60,150,240
F11,tip41_ko,ctrl,60,150,240
G11,tip41_ko,ctrl,60,150,240
H11,tip41_ko,ctrl,60,150,240
A12,rom2_ko,ctrl,60,150,240
B12,rom2_ko,ctrl,60,150,240
C12,wt,ceramide_ctrl,60,150,240
D12,wt,ceramide_ctrl,60,150,240
E12,,,,,
F12,,,,,
G12,,,,,
H12,,,,,
