Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d011322-0min-0Pi-gtr1-R3,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,31,967.742,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d011322-0min-0Pi-gtr1-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28031,31,904.226,93.437,93.437,491228,129174,460389,119021,396130,115709,159394.16,49658.58,32.45,38.44,151253.37,37314.08,32.85,31.35
d011322-0min-0Pi-gtr1-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16251,31,524.226,54.170,99.785,459648,479763,439796,453545,392322,414670,118376.25,141757.98,25.75,29.55,113355.15,138999.68,25.77,30.65
d011322-0min-0Pi-gtr1-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,16286,31,525.355,54.287,54.287,460135,480568,440248,453781,392322,414670,118905.79,142738.96,25.84,29.70,113802.89,139457.80,25.85,30.73
d011322-0min-0Pi-gtr1-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,16251,31,524.226,54.170,54.170,9105,N/A,7998,N/A,10017,N/A,5084.12,N/A,55.84,N/A,4013.40,N/A,50.18,N/A
d011322-0min-0Pi-gtr1-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,16286,31,525.355,54.287,58.100,460135,85,440248,83,392322,86,118905.79,8.48,25.84,10.01,113802.89,7.41,25.85,8.93
d011322-0min-0Pi-gtr1-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28031,31,904.226,93.437,93.437,491228,101,460389,90,396130,92,159394.16,40.67,32.45,40.17,151253.37,14.83,32.85,16.47
d011322-0min-0Pi-gtr1-R3,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,77,389.610,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d011322-0min-0Pi-gtr1-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,27944,77,362.909,93.147,93.147,514407,121626,483279,112718,418847,101388,160698.84,45574.19,31.24,37.47,149950.90,34692.10,31.03,30.78
d011322-0min-0Pi-gtr1-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,18319,77,237.909,61.063,99.962,475232,496048,458031,471743,418845,449676,112485.73,134399.23,23.67,27.09,109083.78,132539.99,23.82,28.10
