Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d041723-0min-tpd3-tip41-R1,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,38,789.474,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041723-0min-tpd3-tip41-R1,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28714,38,755.632,95.713,95.713,496608,115149,467080,107035,408602,109601,154328.81,44063.34,31.08,38.27,140076.79,32517.12,29.99,30.38
d041723-0min-tpd3-tip41-R1,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14887,38,391.763,49.623,99.899,455279,465710,441248,445203,404510,428887,113518.68,134314.00,24.93,28.84,108348.41,131462.14,24.55,29.53
d041723-0min-tpd3-tip41-R1,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,14902,38,392.158,49.673,49.673,455633,466113,441397,445468,404510,428887,114038.53,134861.36,25.03,28.93,108550.78,131760.88,24.59,29.58
d041723-0min-tpd3-tip41-R1,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,14887,38,391.763,49.623,49.623,4280,N/A,3787,N/A,4061,N/A,2247.50,N/A,52.51,N/A,1730.19,N/A,45.69,N/A
d041723-0min-tpd3-tip41-R1,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,14902,38,392.158,49.673,51.898,455633,85,441397,83,404510,86,114038.53,8.39,25.03,9.90,108550.78,7.41,24.59,8.93
d041723-0min-tpd3-tip41-R1,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28714,38,755.632,95.713,95.713,496608,104,467080,94,408602,86,154328.81,33.23,31.08,31.98,140076.79,19.27,29.99,20.50
d041723-0min-tpd3-tip41-R1,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,41,731.707,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041723-0min-tpd3-tip41-R1,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28064,41,684.488,93.547,93.547,525252,118663,495217,110571,445434,105505,156938.19,44531.47,29.88,37.53,150695.91,33140.56,30.43,29.97
d041723-0min-tpd3-tip41-R1,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14683,41,358.122,48.943,99.878,474274,486260,461862,467843,423042,408607,114859.36,136086.49,24.22,27.99,111669.43,136234.63,24.18,29.12
