geneID,geneName,category,peak,figure,chr,start,end,strand,desc,ortholog
CAGL0A00605g,NA,cell cycle arrest in response to nitrogen starvation,0.5,fig1.sup2,ChrA_C_glabrata_CBS138,83851,81929,C,"Ortholog(s) have anaphase-promoting complex binding, cyclin binding, ubiquitin ligase activator activity",CDH1
CAGL0C01903g,NA,cell cycle arrest in response to nitrogen starvation,0.5,fig1.sup2,ChrC_C_glabrata_CBS138,235488,233179,C,"Ortholog(s) have DNA binding, ubiquitin protein ligase activity and role in anaphase-promoting complex-dependent catabolic process, mitotic sister chromatid segregation, protein ubiquitination",CDC27
CAGL0F00495g,NA,cell cycle arrest in response to nitrogen starvation,0.5,fig1.sup2,ChrF_C_glabrata_CBS138,76312,68882,C,"Ortholog(s) have protein kinase activity, protein serine/threonine kinase activity",TOR1
CAGL0M09735g,MEC3,DNA damage checkpoint,0.5,fig1.sup2,ChrM_C_glabrata_CBS138,974713,976005,W,Putative protein involved in DNA damage checkpoint; gene is upregulated in azole-resistant strain,MEC3
CAGL0J08393g,NA,DNA damage checkpoint,0.5,fig1.sup2,ChrJ_C_glabrata_CBS138,880128,882287,W,"Ortholog(s) have damaged DNA binding activity, role in DNA damage checkpoint signaling, establishment of protein localization, telomere maintenance via telomerase and nuclear chromosome localization",LCD1
CAGL0D03564g,NA,DNA damage checkpoint,0.5,fig1.sup2,ChrD_C_glabrata_CBS138,372026,370971,C,"Ortholog(s) have protein phosphatase activator activity, protein phosphatase regulator activity, protein serine/threonine phosphatase inhibitor activity",SDS22
CAGL0K02079g,GLC7,DNA damage checkpoint,4,fig1.sup2,ChrK_C_glabrata_CBS138,180893,181831,W,"Putative serine-threonine phosphoprotein phosphatase 1, catalytic chain",GLC7
CAGL0G07271g,NA,DNA damage checkpoint,2,fig1.sup2,ChrG_C_glabrata_CBS138,703995,703408,C,Putative thioredoxin peroxidase; protein differentially expressed in azole resistant strain,TSA1
CAGL0A04213g,NA,DNA damage checkpoint,2,fig1.sup2,ChrA_C_glabrata_CBS138,431577,433496,W,"Ortholog(s) have role in DNA damage checkpoint signaling, G2/M transition of mitotic cell cycle and cytoplasm localization",PIN4
CAGL0J02508g,AWP1,adhesins,0.5,fig1.sup3,ChrJ_C_glabrata_CBS138,268488,265876,C,Adhesin-like protein; identified in cell wall extracts by mass spectrometry; belongs to adhesin cluster VI; predicted GPI anchor,NA
